Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason
Index,Unmatched (Index),"'Artistic temperament', development of concept",E28 Conceptual Object,,,,A,Unmatched Index Entry
Index,Unmatched (Index),'Baciccio',E21 Person,,,,B,Unmatched Index Entry
Index,Unmatched (Index),'Monsù Desiderio',E21 Person,,,,M,Unmatched Index Entry
Index,Unmatched (Index),'Rosichino',E21 Person,,,,Q-R,Unmatched Index Entry
Index,Unmatched (Index),'Status-seeking' by artists in 17th-century Rome,E28 Conceptual Object,,,,S,Unmatched Index Entry
Index,Unmatched (Index),Accademia degli Umoristi,E74 Group,,,,A,Unmatched Index Entry
Index,Unmatched (Index),Accademia dei Lincei,E74 Group,,,,A,Unmatched Index Entry
Index,Unmatched (Index),Accademia del Disegno,E74 Group,,,,A,Unmatched Index Entry
Index,Unmatched (Index),Accademia di Pittura e Scultura,E74 Group,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Acqua, Cristoforo dall'",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Adda, Cardinal d'",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Aix-la-Chapelle, Peace of",E5 Event,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Albani, Cardinal Annibale",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Albani, Francesco",E53 Place,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Albani, Gianfrancesco (Pope Clement XI)",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Albergati-Capacelli, Francesco",E53 Place,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Albrizzi, Almor¨°",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Albrizzi, Giambattista",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Aldobrandini, Ippolito (Pope Clement VIII)",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Algarotti, Bonomo",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),Alticchiero (Querini villa),E22 Man-Made Object,,,,A,Unmatched Index Entry
Index,Unmatched (Index),Altieri palace,E22 Man-Made Object,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Altieri, Don Gasparo",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Altieri, Emilio (Pope Clement X)",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Amelot de la Houssaye, A. N.",E21 Person,,,,A,Unmatched Index Entry
Index,Unmatched (Index),"Angeli, Filippo d' (Napoletano)",E21 Person,,,,A,Unmatched Index Entry
