Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Normalized_Name
Index,Unmatched (Index),"'Artistic temperament', development of concept",E28 Conceptual Object,,,,A,Unmatched Index Entry,"'Artistic temperament', development of concept"
Index,Unmatched (Index),'Baciccio',E21 Person,,,,B,Unmatched Index Entry,'Baciccio'
Index,Unmatched (Index),'Monsù Desiderio',E21 Person,,,,M,Unmatched Index Entry,'Monsù Desiderio'
Index,Unmatched (Index),'Rosichino',E21 Person,,,,Q-R,Unmatched Index Entry,'Rosichino'
Index,Unmatched (Index),'Status-seeking' by artists in 17th-century Rome,E28 Conceptual Object,,,,S,Unmatched Index Entry,'Status-seeking' by artists in 17th-century Rome
Index,Unmatched (Index),Accademia degli Umoristi,E74 Group,,,,A,Unmatched Index Entry,Accademia degli Umoristi
Index,Unmatched (Index),Accademia dei Lincei,E74 Group,,,,A,Unmatched Index Entry,Accademia dei Lincei
Index,Unmatched (Index),Accademia del Disegno,E74 Group,,,,A,Unmatched Index Entry,Accademia del Disegno
Index,Unmatched (Index),Accademia di Pittura e Scultura,E74 Group,,,,A,Unmatched Index Entry,Accademia di Pittura e Scultura
Index,Unmatched (Index),"Acqua, Cristoforo dall'",E21 Person,,,,A,Unmatched Index Entry,Cristoforo dall' Acqua
Index,Unmatched (Index),"Adda, Cardinal d'",E21 Person,,,,A,Unmatched Index Entry,d' Adda
Index,Unmatched (Index),"Aix-la-Chapelle, Peace of",E5 Event,,,,A,Unmatched Index Entry,"Aix-la-Chapelle, Peace of"
Index,Unmatched (Index),"Albani, Cardinal Annibale",E21 Person,,,,A,Unmatched Index Entry,Annibale Albani
Index,Unmatched (Index),"Albani, Francesco",E53 Place,,,,A,Unmatched Index Entry,"Albani, Francesco"
Index,Unmatched (Index),"Albani, Gianfrancesco (Pope Clement XI)",E21 Person,,,,A,Unmatched Index Entry,Gianfrancesco Albani
Index,Unmatched (Index),"Albergati-Capacelli, Francesco",E53 Place,,,,A,Unmatched Index Entry,"Albergati-Capacelli, Francesco"
Index,Unmatched (Index),"Albrizzi, Almor¨°",E21 Person,,,,A,Unmatched Index Entry,Almor¨° Albrizzi
Index,Unmatched (Index),"Albrizzi, Giambattista",E21 Person,,,,A,Unmatched Index Entry,Giambattista Albrizzi
Index,Unmatched (Index),"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,,,,A,Unmatched Index Entry,Pietro Aldobrandini
Index,Unmatched (Index),"Aldobrandini, Ippolito (Pope Clement VIII)",E21 Person,,,,A,Unmatched Index Entry,Ippolito Aldobrandini
Index,Unmatched (Index),"Algarotti, Bonomo",E21 Person,,,,A,Unmatched Index Entry,Bonomo Algarotti
Index,Unmatched (Index),Alticchiero (Querini villa),E22 Man-Made Object,,,,A,Unmatched Index Entry,Alticchiero
Index,Unmatched (Index),Altieri palace,E22 Man-Made Object,,,,A,Unmatched Index Entry,Altieri palace
Index,Unmatched (Index),"Altieri, Don Gasparo",E21 Person,,,,A,Unmatched Index Entry,Gasparo Altieri
Index,Unmatched (Index),"Altieri, Emilio (Pope Clement X)",E21 Person,,,,A,Unmatched Index Entry,Emilio Altieri
Index,Unmatched (Index),"Amelot de la Houssaye, A. N.",E21 Person,,,,A,Unmatched Index Entry,A. N. Amelot de la Houssaye
Index,Unmatched (Index),"Angeli, Filippo d' (Napoletano)",E21 Person,,,,A,Unmatched Index Entry,Filippo d' Angeli
Index,Unmatched (Index),"Anne of Austria, Regent of France",E53 Place,,,,A,Unmatched Index Entry,"Anne of Austria, Regent of France"
Index,Unmatched (Index),"Anne, Queen of England",E21 Person,,,,A,Unmatched Index Entry,of England Anne
Index,Unmatched (Index),Anti-papal satire in reign of Alexander VII,E28 Conceptual Object,,,,A,Unmatched Index Entry,Anti-papal satire in reign of Alexander VII
Index,Unmatched (Index),"Antonazzi, Antonio Maria",E21 Person,,,,A,Unmatched Index Entry,Antonio Maria Antonazzi
Index,Unmatched (Index),"Aquaviva, Claudio",E21 Person,,,,A,Unmatched Index Entry,Claudio Aquaviva
Index,Unmatched (Index),"Arcadia, Society of",E74 Group,,,,A,Unmatched Index Entry,"Arcadia, Society of"
Index,Unmatched (Index),"Arconato, Galeazzo",E21 Person,,,,A,Unmatched Index Entry,Galeazzo Arconato
Index,Unmatched (Index),Ariosto,E21 Person,,,,A,Unmatched Index Entry,Ariosto
Index,Unmatched (Index),"Arlington, Lord",E21 Person,,,,A,Unmatched Index Entry,Arlington
Index,Unmatched (Index),"Armanni, G. A.",E21 Person,,,,A,Unmatched Index Entry,G. A. Armanni
Index,Unmatched (Index),"Arpino, Cavaliere d'",E21 Person,,,,A,Unmatched Index Entry,d' Arpino
Index,Unmatched (Index),"Arrighi-Landini, Orazio",E21 Person,,,,A,Unmatched Index Entry,Orazio Arrighi-Landini
Index,Unmatched (Index),Arrighini,E21 Person,,,,A,Unmatched Index Entry,Arrighini
Index,Unmatched (Index),Art dealers,E74 Group,,,,A,Unmatched Index Entry,Art dealers
Index,Unmatched (Index),Art exhibitions,E5 Event,,,,A,Unmatched Index Entry,Art exhibitions
Index,Unmatched (Index),"Artist's position in society, Andrea Memmo on",E28 Conceptual Object,,,,A,Unmatched Index Entry,"Artist's position in society, Andrea Memmo on"
Index,Unmatched (Index),"Artists, status of in 17th-century Rome",E28 Conceptual Object,,,,A,Unmatched Index Entry,"Artists, status of in 17th-century Rome"
Index,Unmatched (Index),"Arundel, Lord",E21 Person,,,,A,Unmatched Index Entry,Arundel
Index,Unmatched (Index),"Astalli (Pamfili), Camillo",E21 Person,,,,A,Unmatched Index Entry,Camillo Astalli
Index,Unmatched (Index),"Audran, Benoit",E21 Person,,,,A,Unmatched Index Entry,Benoit Audran
Index,Unmatched (Index),"Augustus II of Poland (Frederick Augustus I, Elector of Saxony)",E21 Person,,,,A,Unmatched Index Entry,Augustus II of Poland
Index,Unmatched (Index),"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",E21 Person,,,,A,Unmatched Index Entry,Augustus III of Poland
Index,Unmatched (Index),"Azzolini, Cardinal",E21 Person,,,,A,Unmatched Index Entry,Azzolini
Index,Unmatched (Index),Baglioni collection,E22 Man-Made Object,,,,B,Unmatched Index Entry,Baglioni collection
Index,Unmatched (Index),"Bagnara, Duchess of",E21 Person,,,,B,Unmatched Index Entry,of Bagnara
Index,Unmatched (Index),"Bagutti, Pietro Martire",E21 Person,,,,B,Unmatched Index Entry,Pietro Martire Bagutti
Index,Unmatched (Index),"Baines, Sir Thomas",E21 Person,,,,B,Unmatched Index Entry,Thomas Baines
Index,Unmatched (Index),"Baldoini, Giovanni Gasparo",E21 Person,,,,B,Unmatched Index Entry,Giovanni Gasparo Baldoini
Index,Unmatched (Index),Bamboccianti,E74 Group,,,,B,Unmatched Index Entry,Bamboccianti
Index,Unmatched (Index),"Bandino, Cardinal",E21 Person,,,,B,Unmatched Index Entry,Bandino
Index,Unmatched (Index),"Baratta, Francesco",E53 Place,,,,B,Unmatched Index Entry,"Baratta, Francesco"
Index,Unmatched (Index),"Barbarigo, Caterina",E21 Person,,,,B,Unmatched Index Entry,Caterina Barbarigo
Index,Unmatched (Index),"Barbaro, Antonio",E21 Person,,,,B,Unmatched Index Entry,Antonio Barbaro
Index,Unmatched (Index),Barberini family,E74 Group,,,,B,Unmatched Index Entry,Barberini family
Index,Unmatched (Index),Barberini palace,E22 Man-Made Object,,,,B,Unmatched Index Entry,Barberini palace
Index,Unmatched (Index),"Barberini, Cardinal Antonio (brother to Urban VIII) (Cardinal di S. Onofrio)",E21 Person,,,,B,Unmatched Index Entry,Antonio Barberini
Index,Unmatched (Index),"Barberini, Cardinal Antonio (nephew to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Antonio Barberini
Index,Unmatched (Index),"Barberini, Cardinal Francesco (nephew to Urban VIII)",E53 Place,,,,B,Unmatched Index Entry,"Barberini, Cardinal Francesco"
Index,Unmatched (Index),"Barberini, Carlo (brother to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Carlo Barberini
Index,Unmatched (Index),"Barberini, Maffeo (Pope Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Maffeo Barberini
Index,Unmatched (Index),"Barberini, Monsignor Francesco (uncle to Urban VIII)",E53 Place,,,,B,Unmatched Index Entry,"Barberini, Monsignor Francesco"
Index,Unmatched (Index),"Barberini, Prince Maffeo (son of Taddeo Barberini)",E21 Person,,,,B,Unmatched Index Entry,Maffeo Barberini
Index,Unmatched (Index),"Barberini, Taddeo (nephew to Urban VIII)",E21 Person,,,,B,Unmatched Index Entry,Taddeo Barberini
Index,Unmatched (Index),"Baretti, Giuseppe",E21 Person,,,,B,Unmatched Index Entry,Giuseppe Baretti
Index,Unmatched (Index),Barnabotti,E74 Group,,,,B,Unmatched Index Entry,Barnabotti
Index,Unmatched (Index),"Baronio, Cardinal",E21 Person,,,,B,Unmatched Index Entry,Baronio
Index,Unmatched (Index),"Bartoli, Pietro Santo",E21 Person,,,,B,Unmatched Index Entry,Pietro Santo Bartoli
Index,Unmatched (Index),"Bartolommeo, Fra",E21 Person,,,,B,Unmatched Index Entry,Bartolommeo
Index,Unmatched (Index),"Bassanino, Virgilio",E21 Person,,,,B,Unmatched Index Entry,Virgilio Bassanino
Index,Unmatched (Index),"Bassano, Jacopo",E21 Person,,,,B,Unmatched Index Entry,Jacopo Bassano
Index,Unmatched (Index),"Bassi, Francesco (il Cremonese)",E53 Place,,,,B,Unmatched Index Entry,"Bassi, Francesco"
Index,Unmatched (Index),"Batoni, Pompeo",E21 Person,,,,B,Unmatched Index Entry,Pompeo Batoni
Index,Unmatched (Index),"Beccari, Dr",E21 Person,,,,B,Unmatched Index Entry,Beccari
Index,Unmatched (Index),"Bedford, John, 4th Duke of",E21 Person,,,,B,Unmatched Index Entry,"John, 4th of Bedford"
Index,Unmatched (Index),"Bellori, Gian Pietro",E21 Person,,,,B,Unmatched Index Entry,Gian Pietro Bellori
Index,Unmatched (Index),"Bellucci, Giovanni Battista",E21 Person,,,,B,Unmatched Index Entry,Giovanni Battista Bellucci
Index,Unmatched (Index),"Bencovich, Federico",E21 Person,,,,B,Unmatched Index Entry,Federico Bencovich
Index,Unmatched (Index),"Bentivoglio, Ippotilo",E21 Person,,,,B,Unmatched Index Entry,Ippotilo Bentivoglio
Index,Unmatched (Index),"Bermis, Cardinal de",E21 Person,,,,B,Unmatched Index Entry,de Bermis
Index,Unmatched (Index),Bernardine Baccinelli,E21 Person,,,,B,Unmatched Index Entry,Bernardine Baccinelli
Index,Unmatched (Index),"Berreguete, Pedro",E21 Person,,,,B,Unmatched Index Entry,Pedro Berreguete
Index,Unmatched (Index),"Berrettini, Pietro (Pietro da Cortona)",E21 Person,,,,B,Unmatched Index Entry,Pietro Berrettini
Index,Unmatched (Index),"Bianconi, G. L.",E21 Person,,,,B,Unmatched Index Entry,G. L. Bianconi
Index,Unmatched (Index),"Biffi, Giambattista",E21 Person,,,,B,Unmatched Index Entry,Giambattista Biffi
Index,Unmatched (Index),"Bingley, Lord",E21 Person,,,,B,Unmatched Index Entry,Bingley
Index,Unmatched (Index),"Blainville, Monsieur de",E21 Person,,,,B,Unmatched Index Entry,Monsieur de Blainville
Index,Unmatched (Index),"Boccage, Mme de",E21 Person,,,,B,Unmatched Index Entry,de Boccage
Index,Unmatched (Index),Bologna,E53 Place,,,,B,Unmatched Index Entry,Bologna
Index,Unmatched (Index),Bombelli Sebastiano,E21 Person,,,,B,Unmatched Index Entry,Bombelli Sebastiano
Index,Unmatched (Index),"Bonati, Giovanni",E21 Person,,,,B,Unmatched Index Entry,Giovanni Bonati
Index,Unmatched (Index),"Boncampagni, Ugo (Pope Gregory XIII)",E21 Person,,,,B,Unmatched Index Entry,Ugo Boncampagni
Index,Unmatched (Index),Bonfiglioli collection,E22 Man-Made Object,,,,B,Unmatched Index Entry,Bonfiglioli collection
Index,Unmatched (Index),"Boni, Giacomo Antonio",E21 Person,,,,B,Unmatched Index Entry,Giacomo Antonio Boni
Index,Unmatched (Index),Book illustration,E28 Conceptual Object,,,,B,Unmatched Index Entry,Book illustration
Index,Unmatched (Index),Borghese Palace,E22 Man-Made Object,,,,B,Unmatched Index Entry,Borghese Palace
Index,Unmatched (Index),"Borghese, Camillo (Pope Paul V)",E21 Person,,,,B,Unmatched Index Entry,Camillo Borghese
Index,Unmatched (Index),"Borgognone, Giacomo (Jacques Courtois)",E21 Person,,,,B,Unmatched Index Entry,Giacomo Borgognone
Index,Unmatched (Index),"Borgognone, Guglielmo (Guillaume Courtois)",E21 Person,,,,B,Unmatched Index Entry,Guglielmo Borgognone
Index,Unmatched (Index),"Boscarati, Felice",E21 Person,,,,B,Unmatched Index Entry,Felice Boscarati
Index,Unmatched (Index),"Boscovich, P.",E21 Person,,,,B,Unmatched Index Entry,P. Boscovich
Index,Unmatched (Index),"Bossuet, Jacques-Bénigne",E21 Person,,,,B,Unmatched Index Entry,Jacques-Bénigne Bossuet
Index,Unmatched (Index),"Bottari, Giovanni",E21 Person,,,,B,Unmatched Index Entry,Giovanni Bottari
Index,Unmatched (Index),"Bouchardon, Edmé",E21 Person,,,,B,Unmatched Index Entry,Edmé Bouchardon
Index,Unmatched (Index),"Boucher, François",E21 Person,,,,B,Unmatched Index Entry,François Boucher
Index,Unmatched (Index),"Bracci, Pietro",E21 Person,,,,B,Unmatched Index Entry,Pietro Bracci
Index,Unmatched (Index),"Bracciano, Duke of",E21 Person,,,,B,Unmatched Index Entry,of Bracciano
Index,Unmatched (Index),"Bracciano, Paolo Giordano I Orsini, Duke of",E21 Person,,,,B,Unmatched Index Entry,"Paolo Giordano I Orsini, of Bracciano"
Index,Unmatched (Index),"Bracciano, Paolo Giordona II Orsini, Duke of",E21 Person,,,,B,Unmatched Index Entry,"Paolo Giordona II Orsini, of Bracciano"
Index,Unmatched (Index),"Bramante, Donato",E21 Person,,,,B,Unmatched Index Entry,Donato Bramante
Index,Unmatched (Index),"Bramer, Leonard",E21 Person,,,,B,Unmatched Index Entry,Leonard Bramer
Index,Unmatched (Index),"Brand, Johannes Christian",E21 Person,,,,B,Unmatched Index Entry,Johannes Christian Brand
Index,Unmatched (Index),"Breughel, Abram",E21 Person,,,,B,Unmatched Index Entry,Abram Breughel
Index,Unmatched (Index),"Breughel, Velvet",E21 Person,,,,B,Unmatched Index Entry,Velvet Breughel
Index,Unmatched (Index),"Breuil, Toussaint du",E21 Person,,,,B,Unmatched Index Entry,Toussaint du Breuil
Index,Unmatched (Index),"Breval, John",E21 Person,,,,B,Unmatched Index Entry,John Breval
Index,Unmatched (Index),"Brienne, Lomenie de",E21 Person,,,,B,Unmatched Index Entry,Lomenie de Brienne
Index,Unmatched (Index),"Brosses, Président Charles De",E21 Person,,,,B,Unmatched Index Entry,Charles De Brosses
Index,Unmatched (Index),"Brugiori, Domenico",E21 Person,,,,B,Unmatched Index Entry,Domenico Brugiori
Index,Unmatched (Index),"Brusasorci, Felice",E21 Person,,,,B,Unmatched Index Entry,Felice Brusasorci
Index,Unmatched (Index),"Brydges, Grey",E21 Person,,,,B,Unmatched Index Entry,Grey Brydges
Index,Unmatched (Index),"Brühl, Count",E21 Person,,,,B,Unmatched Index Entry,Brühl
Index,Unmatched (Index),"Buckingham, Charles Villiers, Duke of",E21 Person,,,,B,Unmatched Index Entry,"Charles Villiers, of Buckingham"
Index,Unmatched (Index),"Buckingham, John Sheffield, Duke of",E21 Person,,,,B,Unmatched Index Entry,"John Sheffield, of Buckingham"
Index,Unmatched (Index),"Burlington, Lord",E21 Person,,,,B,Unmatched Index Entry,Burlington
Index,Unmatched (Index),"Byng, Admiral",E21 Person,,,,B,Unmatched Index Entry,Admiral Byng
Index,Unmatched (Index),"Cadani, Stefano",E21 Person,,,,C,Unmatched Index Entry,Stefano Cadani
Index,Unmatched (Index),Caime,E21 Person,,,,C,Unmatched Index Entry,Caime
Index,Unmatched (Index),"Camerata, Giuseppe",E21 Person,,,,C,Unmatched Index Entry,Giuseppe Camerata
Index,Unmatched (Index),"Camerino, Giovanni Angelo da",E21 Person,,,,C,Unmatched Index Entry,Giovanni Angelo da Camerino
Index,Unmatched (Index),"Canal, Gerolamo",E21 Person,,,,C,Unmatched Index Entry,Gerolamo Canal
Index,Unmatched (Index),"Canale, Procuratore",E21 Person,,,,C,Unmatched Index Entry,Procuratore Canale
Index,Unmatched (Index),Canaletto,E21 Person,,,,C,Unmatched Index Entry,Canaletto
Index,Unmatched (Index),Candiani,E21 Person,,,,C,Unmatched Index Entry,Candiani
Index,Unmatched (Index),Canons (Duke of Chandos),E53 Place,,,,C,Unmatched Index Entry,Canons
Index,Unmatched (Index),"Caprara, Marshal",E21 Person,,,,C,Unmatched Index Entry,Marshal Caprara
Index,Unmatched (Index),Capuchins,E74 Group,,,,C,Unmatched Index Entry,Capuchins
