Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Formal_Full_Name,Normalization_Category,Wikidata_QID,Wikidata_Label,Wikidata_Description,Wikidata_Candidates
Index,Unmatched (Index),"'Artistic temperament', development of concept",E28 Conceptual Object,,,,A,Unmatched Index Entry,Development of concept Artistic temperament',Work,,,,No match found
Index,Unmatched (Index),'Baciccio',E21 Person,,,,B,Unmatched Index Entry,Giovanni Battista Gaulli,Person,Q520573,Giovanni Battista Gaulli,Italian painter of the late Baroque (1639-1709),"Q520573 (Giovanni Battista Gaulli: Italian painter of the late Baroque (1639-1709)) | Q117798140 (Giovanni Battista Gaulli, called il Baciccio (ca. 1639-1709): painting by Giuseppe Macpherson after Giovanni Battista Gaulli)"
Index,Unmatched (Index),'Monsù Desiderio',E21 Person,,,,M,Unmatched Index Entry,François de Nomé,Person,Q1887392,François de Nomé,French painter of the Baroque period,Q1887392 (François de Nomé: French painter of the Baroque period)
Index,Unmatched (Index),'Rosichino',E21 Person,,,,Q-R,Unmatched Index Entry,'Rosichino',Person,,,,No match found
Index,Unmatched (Index),'Status-seeking' by artists in 17th-century Rome,E28 Conceptual Object,,,,S,Unmatched Index Entry,Status-seeking' by artists in 17th-century Rome,Work,,,,No match found
Index,Unmatched (Index),Accademia degli Umoristi,E74 Group,,,,A,Unmatched Index Entry,Accademia degli Umoristi,Place,Q3603986,Accademia degli Umoristi,Italian academy founded in 1603,Q3603986 (Accademia degli Umoristi: Italian academy founded in 1603)
Index,Unmatched (Index),Accademia dei Lincei,E74 Group,,,,A,Unmatched Index Entry,Accademia dei Lincei,Place,Q338432,Lincean Academy,academy of sciences,Q338432 (Lincean Academy: academy of sciences) | Q3639657 (Biblioteca dell'Accademia Nazionale dei Lincei e Corsiniana: conservation library in Italy) | Q6870680 (Minuscule 591: New Testament manuscript)
Index,Unmatched (Index),Accademia del Disegno,E74 Group,,,,A,Unmatched Index Entry,Accademia del Disegno,Place,Q1760178,Accademia delle Arti del Disegno,"academy of artists in Florence, Italy","Q1760178 (Accademia delle Arti del Disegno: academy of artists in Florence, Italy) | Q125817227 (Accademia del Disegno Chapel of Santissima Annunziata: )"
Index,Unmatched (Index),Accademia di Pittura e Scultura,E74 Group,,,,A,Unmatched Index Entry,Accademia di Pittura e Scultura,Place,,,,No match found
Index,Unmatched (Index),"Acqua, Cristoforo dall'",E21 Person,,,,A,Unmatched Index Entry,Cristoforo dall' Acqua,Person,Q5186480,Cristoforo Dall'Acqua,Italian engraver and painter (1734-1787),Q5186480 (Cristoforo Dall'Acqua: Italian engraver and painter (1734-1787))
Index,Unmatched (Index),"Adda, Cardinal d'",E21 Person,,,,A,Unmatched Index Entry,D' Adda,Person,,,,No match found
Index,Unmatched (Index),"Aix-la-Chapelle, Peace of",E5 Event,,,,A,Unmatched Index Entry,"Aix-la-Chapelle, Peace of",Work,,,,No match found
Index,Unmatched (Index),"Albani, Cardinal Annibale",E21 Person,,,,A,Unmatched Index Entry,Annibale Albani,Person,Q566836,Annibale Albani,Italian cardinal (1682-1751),Q566836 (Annibale Albani: Italian cardinal (1682-1751))
Index,Unmatched (Index),"Albani, Francesco",E53 Place,,,,A,Unmatched Index Entry,"Albani, Francesco",Place,Q103892759,"Albani, Francesco",,"Q103892759 (Albani, Francesco: ) | Q103889518 (Albani, Francesco: encyclopedia article) | Q103892757 (Albani, Francesco: ) | Q358147 (Francesco Albani: Baroque painter (1578–1660))"
Index,Unmatched (Index),"Albani, Gianfrancesco (Pope Clement XI)",E21 Person,,,,A,Unmatched Index Entry,Gianfrancesco Albani,Person,Q129967,Clement XI,pope of the Catholic Church from 1700 to 1721,Q129967 (Clement XI: pope of the Catholic Church from 1700 to 1721) | Q500785 (Gian Francesco Albani: Catholic cardinal (1775–1803))
Index,Unmatched (Index),"Albergati-Capacelli, Francesco",E53 Place,,,,A,Unmatched Index Entry,"Albergati-Capacelli, Francesco",Place,,,,No match found
Index,Unmatched (Index),"Albrizzi, Almor¨°",E21 Person,,,,A,Unmatched Index Entry,Almor¨° Albrizzi,Person,,,,No match found
Index,Unmatched (Index),"Albrizzi, Giambattista",E21 Person,,,,A,Unmatched Index Entry,Giambattista Albrizzi,Person,Q110411843,Giambattista Albrizzi,17 Feb 1706 Venezia -,"Q110411843 (Giambattista Albrizzi: 17 Feb 1706 Venezia -) | Q21748854 (Giovanni Battista Albrizzi: Italian publisher and journalist (1698-1777)) | Q110412008 (Giambattista Albrizzi, Procuratore: 3 Dec 1683 -)"
Index,Unmatched (Index),"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,,,,A,Unmatched Index Entry,Pietro Aldobrandini,Person,Q691894,Pietro Aldobrandini,Catholic cardinal (1571-1621),Q691894 (Pietro Aldobrandini: Catholic cardinal (1571-1621)) | Q61580865 (Pietro Aldobrandini: Italian jurisconsult and lawyer (-1587)) | Q110459615 (Pietro Aldobrandini: 17 Aug 1461 - 1522)
Index,Unmatched (Index),"Aldobrandini, Ippolito (Pope Clement VIII)",E21 Person,,,,A,Unmatched Index Entry,Ippolito Aldobrandini,Person,Q170395,Clement VIII,pope of the Catholic Church from 1592 to 1605 (1536–1605),Q170395 (Clement VIII: pope of the Catholic Church from 1592 to 1605 (1536–1605)) | Q1050128 (Ippolito Aldobrandini: Catholic cardinal) | Q397465 (Ippolito Aldobrandini: Wikimedia disambiguation page)
Index,Unmatched (Index),"Algarotti, Bonomo",E21 Person,,,,A,Unmatched Index Entry,Bonomo Algarotti,Person,Q133609885,Bonomo Algarotti,,Q133609885 (Bonomo Algarotti: )
Index,Unmatched (Index),Alticchiero (Querini villa),E22 Man-Made Object,,,,A,Unmatched Index Entry,Villa Alticchiero,Place (Reclassified),,,,No match found
Index,Unmatched (Index),Altieri palace,E22 Man-Made Object,,,,A,Unmatched Index Entry,Palazzo Altieri,Place (Reclassified),Q908759,Palazzo Altieri,"palazzo in Rome, Italy","Q24204873 (Palazzo Altieri (Oriolo Romano): building in Oriolo Romano, Province of Viterbo, Italy) | Q908759 (Palazzo Altieri: palazzo in Rome, Italy) | Q110701287 (Palazzo Altieri, Rome. Studies of the moulding around a ceiling decoration and frieze: ) | Q110701332 (Palazzo Altieri, Rome. Study of a ceiling decoration, nr 5: ) | Q110701294 (Palazzo Altieri, Rome. Study of a ceiling decoration, nr 4: )"
Index,Unmatched (Index),"Altieri, Don Gasparo",E21 Person,,,,A,Unmatched Index Entry,Gasparo Altieri,Person,,,,No match found
Index,Unmatched (Index),"Altieri, Emilio (Pope Clement X)",E21 Person,,,,A,Unmatched Index Entry,Emilio Altieri,Person,Q155956,Clement X,pope of the Catholic Church from 1670 to 1676,"Q155956 (Clement X: pope of the Catholic Church from 1670 to 1676) | Q27999369 (Emilio Altieri, 7th Prince of Oriolo: Italian noble (1819-1900)) | Q27999317 (Emilio Altieri, 2nd Prince of Oriolo: Italian noble (1670 -1721))"
Index,Unmatched (Index),"Amelot de la Houssaye, A. N.",E21 Person,,,,A,Unmatched Index Entry,A. N. Amelot de la Houssaye,Person,,,,No match found
Index,Unmatched (Index),"Angeli, Filippo d' (Napoletano)",E21 Person,,,,A,Unmatched Index Entry,Filippo d' Angeli,Person,Q601644,Filippo Napoletano,Italian painter (1589-1629),Q601644 (Filippo Napoletano: Italian painter (1589-1629))
Index,Unmatched (Index),"Anne of Austria, Regent of France",E53 Place,,,,A,Unmatched Index Entry,"Anne of Austria, Regent of France",Place,,,,No match found
Index,Unmatched (Index),"Anne, Queen of England",E21 Person,,,,A,Unmatched Index Entry,Of England Anne,Person,,,,No match found
Index,Unmatched (Index),Anti-papal satire in reign of Alexander VII,E28 Conceptual Object,,,,A,Unmatched Index Entry,Anti-papal satire in reign of Alexander VII,Work,,,,No match found
Index,Unmatched (Index),"Antonazzi, Antonio Maria",E21 Person,,,,A,Unmatched Index Entry,Antonio Maria Antonazzi,Person,,,,No match found
Index,Unmatched (Index),"Aquaviva, Claudio",E21 Person,,,,A,Unmatched Index Entry,Claudio Aquaviva,Person,Q681779,Claudio Acquaviva,Superior General of the Society of Jesus,Q681779 (Claudio Acquaviva: Superior General of the Society of Jesus)
Index,Unmatched (Index),"Arcadia, Society of",E74 Group,,,,A,Unmatched Index Entry,"Arcadia, Society of",Place,,,,No match found
Index,Unmatched (Index),"Arconato, Galeazzo",E21 Person,,,,A,Unmatched Index Entry,Galeazzo Arconato,Person,Q47009360,Galeazzo Arconati,,Q47009360 (Galeazzo Arconati: )
Index,Unmatched (Index),Ariosto,E21 Person,,,,A,Unmatched Index Entry,Ariosto,Person,Q98102304,Ariosto,given name,Q98102304 (Ariosto: given name) | Q48900 (Ludovico Ariosto: Italian poet (1474–1533)) | Q125273333 (Ariosto: male given name) | Q1238886 (Portrait of Gerolamo (?) Barbarigo: painting by Titian) | Q59531717 (Ariosto: family name)
Index,Unmatched (Index),"Arlington, Lord",E21 Person,,,,A,Unmatched Index Entry,Arlington,Person,Q17943,Arlington,"suburban city in Tarrant County, Texas, United States","Q17943 (Arlington: suburban city in Tarrant County, Texas, United States) | Q2090461 (Arlington: town in Middlesex County, Massachusetts, United States) | Q49279759 (Arlington: census-designated place coextensive with Arlington County, Virginia, United States) | Q107126 (Arlington County: county in Virginia, United States; part of Washington metropolitan area) | Q37572111 (Arlington: family name)"
Index,Unmatched (Index),"Armanni, G. A.",E21 Person,,,,A,Unmatched Index Entry,G. A. Armanni,Person,,,,No match found
Index,Unmatched (Index),"Arpino, Cavaliere d'",E21 Person,,,,A,Unmatched Index Entry,D' Arpino,Person,,,,No match found
Index,Unmatched (Index),"Arrighi-Landini, Orazio",E21 Person,,,,A,Unmatched Index Entry,Orazio Arrighi-Landini,Person,,,,Q61472319 (Orazio Arrighi Landini: author (1718-1775))
Index,Unmatched (Index),Arrighini,E21 Person,,,,A,Unmatched Index Entry,Arrighini,Person,Q101034892,Arrighini,family name,Q101034892 (Arrighini: family name) | Q73730689 (Arrighini: Wikimedia disambiguation page)
Index,Unmatched (Index),Art dealers,E74 Group,,,,A,Unmatched Index Entry,Art dealers,Place,Q28091835,Art dealers,painting by R.L.J. Henkes,Q56856618 (commercial art gallery: place where art is sold) | Q28091835 (Art dealers: painting by R.L.J. Henkes) | Q123131588 (Art Dealers [2022–present definition]: NAICS industry classification) | Q123152079 (Art Dealers [1997–2022 definition]: superseded NAICS industry classification) | Q48559401 (Art dealers involved in wartime trading in looted art in France: document with list of names)
Index,Unmatched (Index),Art exhibitions,E5 Event,,,,A,Unmatched Index Entry,Art exhibitions,Work,,,,"Q130571436 (Art exhibitions in Milan: Wikimedia category) | Q108200573 (Art Exhibitions Bureau: arts organisation) | Q114875169 (Art Exhibitions Australia Limited: Australian government agency, 1980-) | Q119392868 (Art Exhibitions from the Perspective of the Ritual View of Communication: ) | Q58634216 (Art Exhibitions and Art Catalogues: 1899 article written by M. H. Spielmann)"
