Original Entity Name,Type,Original_Files
"'Artistic temperament', development of concept",E28 Conceptual Object,A_refined.csv
'Baciccio',E21 Person,B_refined.csv
'Monsù Desiderio',E21 Person,M_refined.csv
'Rosichino',E21 Person,Q-R_refined.csv
'Status-seeking' by artists in 17th-century Rome,E28 Conceptual Object,S_refined.csv
A Dance to the Music of Time,E22 Man-Made Object,work-English_table.csv
A Donor Presented to the Virgin,E22 Man-Made Object,work-English_table.csv
A Seaport,E22 Man-Made Object,work-English_table.csv
A storm at sea,E22 Man-Made Object,work-English_table.csv
"A study for the Fountain of the Four Rivers, Piazza Navona, Rome",E22 Man-Made Object,work-English_table.csv
A. C. Sewter,E21 Person,name-English_table.csv
A.M. Zanetti the Elder with Marchese Gerini,E22 Man-Made Object,work-English_table.csv
Abbey of Monte Cassino,E53 Place,gio-English_table.csv
Abbey of Santa Giustina,E53 Place,gio-English_table.csv
Abel Desjardins,E21 Person,name-English_table.csv
Abel-Fran?ois Poisson de Vandières,E21 Person,name-English_table.csv
Abigail,E21 Person,name-English_table.csv
Abigail giving Presents to David,E22 Man-Made Object,work-English_table.csv
Abraham Brueghel,E21 Person,name-English_table.csv
Abraham Nicolas Amelot de la Houssaye,E21 Person,name-English_table.csv
Abruzzo,E53 Place,gio-English_table.csv
Academy at Parma,E53 Place,gio-English_table.csv
Académie Fran?aise,E53 Place,gio-English_table.csv
Accademia Albrizziana,E74 Group,A_refined.csv; gio-English_table.csv
Accademia Carrara,E53 Place,gio-English_table.csv
Accademia degli Umoristi,E74 Group,A_refined.csv
Accademia dei Cacadubbi,E53 Place,gio-English_table.csv
Accademia dei Concordi di Rovigo,E53 Place,gio-English_table.csv
Accademia dei Lincei,E74 Group,A_refined.csv
Accademia del Disegno,E74 Group,A_refined.csv
Accademia di Belle Arti di Venezia,E53 Place,gio-English_table.csv
Accademia di Firenze,E53 Place,gio-English_table.csv
Accademia di Pittura e Scultura,E74 Group,A_refined.csv
Accademia di San Luca,E74 Group,A_refined.csv; gio-English_table.csv
Accbremia Albrizziana,E53 Place,gio-English_table.csv
Achille Bosisio,E21 Person,name-English_table.csv
Achille Neri,E21 Person,name-English_table.csv
"Acqua, Cristoforo dall'",E21 Person,A_refined.csv
Adam Bartsch,E21 Person,name-English_table.csv
"Adda, Cardinal d'",E21 Person,A_refined.csv
Addison,E22 Man-Made Object,work-English_table.csv
Adolf Salvatore Cavallo,E21 Person,name-English_table.csv
Adolfo Venturi,E21 Person,name-English_table.csv
Adonis,E21 Person,name-English_table.csv
Adoration of the Magi,E22 Man-Made Object,work-English_table.csv
Adriaen van der Werff,E21 Person,name-English_table.csv
Adriatic Sea,E53 Place,gio-English_table.csv
Aedes Barberina ad Quirinalem,E22 Man-Made Object,work-English_table.csv
Aeneas,E21 Person,name-English_table.csv
Aeneas de Caprara,E21 Person,name-English_table.csv
Aeneid,E22 Man-Made Object,work-English_table.csv
Agamemnon,E21 Person,name-English_table.csv
Agnolo Galli,E21 Person,G_refined.csv; name-English_table.csv
Agostino Andrea Chigi,E21 Person,name-English_table.csv
Agostino Barelli,E21 Person,B_refined.csv; name-English_table.csv
Agostino Ciampelli,E21 Person,C_refined.csv; name-English_table.csv
Agostino Mascardi,E21 Person,M_refined.csv; name-English_table.csv
Agostino Masucci,E21 Person,name-English_table.csv
Agostino Mitelli,E21 Person,M_refined.csv; name-English_table.csv
Agostino Sagredo,E21 Person,name-English_table.csv
Agostino Tassi,E21 Person,T_refined.csv; name-English_table.csv
"Aix-la-Chapelle, Peace of",E5 Event,A_refined.csv
Alan Noel Latimer Munby,E21 Person,name-English_table.csv
"Albani, Cardinal Annibale",E21 Person,A_refined.csv
"Albani, Francesco",E53 Place,A_refined.csv
"Albani, Gianfrancesco (Pope Clement XI)",E21 Person,A_refined.csv
"Albergati-Capacelli, Francesco",E53 Place,A_refined.csv
Albergo del Moretto,E53 Place,gio-English_table.csv
Albert Ilg,E21 Person,name-English_table.csv
Alberto Cametti,E21 Person,name-English_table.csv
Alberto Vecchi,E21 Person,name-English_table.csv
Albrecht Dürer,E21 Person,D_refined.csv; name-English_table.csv
"Albrizzi, Almor¨°",E21 Person,A_refined.csv
"Albrizzi, Giambattista",E21 Person,A_refined.csv
Aldo De Rinaldis,E21 Person,name-English_table.csv
Aldo Ravà,E21 Person,name-English_table.csv
"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,A_refined.csv
"Aldobrandini, Ippolito (Pope Clement VIII)",E21 Person,A_refined.csv
Alessandro Albani,E21 Person,name-English_table.csv
Alessandro Algardi,E21 Person,A_refined.csv; name-English_table.csv
Alessandro Baudi di Vesme,E21 Person,name-English_table.csv
Alessandro Bettagno,E21 Person,name-English_table.csv
Alessandro Borgia,E21 Person,name-English_table.csv
Alessandro Farnese (cardinal),E21 Person,name-English_table.csv
"Alessandro Farnese, Duke of Parma",E21 Person,name-English_table.csv
Alessandro Galilei,E21 Person,G_refined.csv; name-English_table.csv
Alessandro Gherardini,E21 Person,G_refined.csv; name-English_table.csv
Alessandro Longhi,E21 Person,L_refined.csv; name-English_table.csv
Alessandro Ludovisi,E21 Person,name-English_table.csv
Alessandro Luzio,E21 Person,name-English_table.csv
Alessandro Magnasco,E21 Person,M_refined.csv; name-English_table.csv
Alessandro Marabottini,E21 Person,name-English_table.csv
Alessandro Marchesini,E21 Person,name-English_table.csv
Alessandro Orsini,E21 Person,O_refined.csv; name-English_table.csv
Alessandro Peretti di Montalto,E21 Person,name-English_table.csv
Alessandro Scarlatti,E21 Person,S_refined.csv; name-English_table.csv
Alessandro Sforza,E21 Person,name-English_table.csv
Alessandro Turchi,E21 Person,T_refined.csv; name-English_table.csv
Alessandro Varotari,E21 Person,name-English_table.csv
Alessandro Vasalli,E21 Person,name-English_table.csv
Alessandro Vittrici,E21 Person,name-English_table.csv
Alessandro Zen,E21 Person,name-English_table.csv
Alessandro de' Medici,E21 Person,name-English_table.csv
"Alexander Hamilton, 10th Duke of Hamilton",E21 Person,name-English_table.csv
Alexander III,E21 Person,name-English_table.csv
Alexander Sauli,E21 Person,name-English_table.csv
Alexander the Great,E21 Person,name-English_table.csv
Alfonso Gesualdo,E21 Person,name-English_table.csv
Alfonso I d'Este,E21 Person,name-English_table.csv
Alfonso Pérez Sánchez,E21 Person,name-English_table.csv
Alfred Sensier,E21 Person,name-English_table.csv
Alfredo Bardella,E21 Person,name-English_table.csv
"Algarotti, Bonomo",E21 Person,A_refined.csv
Alice Binion,E21 Person,name-English_table.csv
Allan Hume,E21 Person,name-English_table.csv
Allegory of Clemency,E22 Man-Made Object,work-English_table.csv
Allegory of Coral fishing,E22 Man-Made Object,work-English_table.csv
Allegory of Divine Providence and Barberini Power,E22 Man-Made Object,work-English_table.csv
Allegory of Divine Wisdom,E22 Man-Made Object,work-English_table.csv
Allegory of Fortune,E22 Man-Made Object,work-English_table.csv
Allegory of Rome,E22 Man-Made Object,work-English_table.csv
Allegory of Venice,E22 Man-Made Object,work-English_table.csv
Allegory of the Arts,E22 Man-Made Object,work-English_table.csv
Allegory of the Education of the Crown Prince of the Palatinate,E22 Man-Made Object,work-English_table.csv
Aloysius Gonzaga,E21 Person,name-English_table.csv
Alps,E53 Place,gio-English_table.csv
Altar Paintings for the Parish Church of San Canciano,E22 Man-Made Object,work-English_table.csv
Altar of Friendship,E53 Place,gio-English_table.csv; work-English_table.csv
Altar of Tranquility and Rural Life,E22 Man-Made Object,work-English_table.csv
Altar of Wealth and Apollo,E22 Man-Made Object,work-English_table.csv
Altarpiece for Chiesa Nuova,E22 Man-Made Object,work-English_table.csv
Altarpiece for Santa Maria dei Cappuccini,E22 Man-Made Object,work-English_table.csv
Altarpiece for St. Sebastian,E22 Man-Made Object,work-English_table.csv
Altarpiece for the Augustinian Church,E22 Man-Made Object,work-English_table.csv
Altarpieces for the Royal Chapel,E22 Man-Made Object,work-English_table.csv
Alte Pinakothek,E53 Place,gio-English_table.csv
Altero Matteoli,E21 Person,name-English_table.csv
Alticchiero (Querini villa),E22 Man-Made Object,A_refined.csv
Altieri,E53 Place,gio-English_table.csv
Altieri palace,E22 Man-Made Object,A_refined.csv
"Altieri, Don Gasparo",E21 Person,A_refined.csv
"Altieri, Emilio (Pope Clement X)",E21 Person,A_refined.csv
Alvise Mocenigo,E21 Person,name-English_table.csv
Alvise Pisani,E21 Person,name-English_table.csv
Amadeo Swajer,E21 Person,S_refined.csv; name-English_table.csv
Amalfi,E53 Place,gio-English_table.csv
Amalia Mezzetti,E21 Person,name-English_table.csv
Ambroise Dubois,E21 Person,name-English_table.csv
"Amelot de la Houssaye, A. N.",E21 Person,A_refined.csv
Amico Ricci,E21 Person,name-English_table.csv
Amor Vincit Omnia,E22 Man-Made Object,work-English_table.csv
Amsterdam,E53 Place,gio-English_table.csv
Anatole de Montaiglon,E21 Person,name-English_table.csv
Andrea Brustolon,E21 Person,B_refined.csv; name-English_table.csv
Andrea Camassei,E21 Person,C_refined.csv; name-English_table.csv
Andrea Carlone,E21 Person,name-English_table.csv
Andrea Celesti,E21 Person,C_refined.csv; name-English_table.csv
Andrea Doria,E21 Person,name-English_table.csv
Andrea Ferreri,E21 Person,name-English_table.csv
Andrea Gerini,E21 Person,name-English_table.csv
Andrea Giacomo Podestà,E21 Person,name-English_table.csv
Andrea Locatelli,E21 Person,L_refined.csv; name-English_table.csv
Andrea Mantegna,E21 Person,M_refined.csv; name-English_table.csv
Andrea Memmo,E21 Person,M_refined.csv; name-English_table.csv
Andrea Ottini,E21 Person,O_refined.csv; name-English_table.csv
Andrea Palladio,E21 Person,P_refined.csv; name-English_table.csv
Andrea Pozzo,E21 Person,P_refined.csv; name-English_table.csv
Andrea Procaccini,E21 Person,P_refined.csv; name-English_table.csv
Andrea Querini,E21 Person,Q-R_refined.csv; name-English_table.csv
Andrea Sacchi,E21 Person,S_refined.csv; name-English_table.csv
Andrea Schiavone,E21 Person,S_refined.csv; name-English_table.csv
Andrea Tessier,E21 Person,name-English_table.csv
Andrea Toresani,E21 Person,name-English_table.csv
Andrea Tron,E21 Person,name-English_table.csv
Andrea Vaccaro,E21 Person,UVWXYZ_refined.csv; name-English_table.csv
Andrea Zucchi,E21 Person,UVWXYZ_refined.csv; name-English_table.csv
Andrea del Rosso,E21 Person,Q-R_refined.csv; name-English_table.csv
Andrea del Sarto,E21 Person,S_refined.csv; name-English_table.csv
Andreas Scherber,E21 Person,name-English_table.csv
Andreina Griseri,E21 Person,name-English_table.csv
Andrew Fountaine,E21 Person,name-English_table.csv
Andrew the Apostle,E21 Person,name-English_table.csv
Andromache weeping before Aeneas,E22 Man-Made Object,work-English_table.csv
André Félibien,E21 Person,F_refined.csv; name-English_table.csv
Andrés Marzo,E21 Person,name-English_table.csv
Angel with the Superscription,E22 Man-Made Object,work-English_table.csv
"Angeli, Filippo d' (Napoletano)",E21 Person,A_refined.csv
Angelica Griè,E21 Person,name-English_table.csv
Angelo Borzelli,E21 Person,name-English_table.csv
Angelo Calogerà,E21 Person,name-English_table.csv
Angelo Caroselli,E21 Person,C_refined.csv; name-English_table.csv
Angelo Cesi,E21 Person,C_refined.csv; name-English_table.csv
Angelo Contarini,E21 Person,name-English_table.csv
Angelo Crespi,E21 Person,name-English_table.csv
Angelo Custode,E22 Man-Made Object,work-English_table.csv
Angelo Giori,E21 Person,G_refined.csv; name-English_table.csv
Angelo Maria Querini,E21 Person,name-English_table.csv
Angelo Michele Colonna,E21 Person,C_refined.csv; name-English_table.csv
Angelo Pinetti,E21 Person,name-English_table.csv
Angelo Querini,E21 Person,Q-R_refined.csv; name-English_table.csv
Angelo Solerti,E21 Person,name-English_table.csv
Angelo Trevisani,E21 Person,name-English_table.csv
Angels carrying the Instruments of the Passion and of St. Philip in Ecstasy,E22 Man-Made Object,work-English_table.csv
"Anglesey Abbey, Gardens and Lode Mill",E53 Place,gio-English_table.csv
Aniello Falcone,E21 Person,F_refined.csv; name-English_table.csv
Animals and Figures in the Flemish Style|des animaux et figures à la flamande,E22 Man-Made Object,work-English_table.csv
Ann Sutherland Harris,E21 Person,name-English_table.csv
Anna Banti,E21 Person,name-English_table.csv
