Refined_Formal_Name,Original-QID,Second-Query_QID,LLM-Fillin_QID,Second-Query_Label
A storm at sea,Q102961376,Q20020027,,A Storm at Sea
Achille Neri,Q20488569,Q122905814,,Achille Neri
Adonis,Q163920,Q147534,,Adonis
Aeneas,Q82732,Q20000656,,Aeneas
Agamemnon,Q128176,Q514891,,Agamemnon
Agnolo Galli,Q127691377,Q363296,,Agnolo Gaddi
Alessandro Algardi,Q336798,Q26111373,,Alessandro Algardi
Alessandro Borgia,Q3609880,Q2197044,,Alessandro Borgia
Alessandro Orsini,Q2832804,Q11904881,,Alessandro Orsini
Alessandro Sforza,Q953878,Q2832818,,Alessandro Sforza
Allegory of Divine Wisdom,Q111821593,Q26699586,,Allegory of Divine Wisdom
Altarpiece for St. Sebastian,Q65508996,,Q65508996,
Altarpiece for the Augustinian Church,Q56558993,,Q56558993,
Andrea Doria,Q156521,Q108451660,,Andrea Doria
Andrea Tron,Q110224729,Q110352115,,Andrea Tron
Andrew Fountaine,Q4756994,Q75244499,,Andrew Fountaine
Angel with the Superscription,Q15181138,Q29026912,,Angel with the Superscription
Angelo Crespi,Q3616942,Q114122885,,Angelo Crespi
Antenor,Q571969,Q745125,,Antenor
Anthony Blunt,Q508392,Q75639217,,Anthony Blunt
Antonio Battistella,Q61472533,Q599831,,Antonio Battistella
Antonio Cappello,Q15731838,Q16527426,,Antonio Cappello
Antonio Lombardo,Q602863,Q30611830,,Antonio Lombardo
Antonio Ruffo,Q88949215,Q108765904,,Antonio Ruffo
Apollo,Q37340,Q665812,,Apollo
Apollo flaying Marsyas,Q67203478,Q97185664,,Apollo Flaying Marsyas
Aristotle,Q868,Q84473023,,Aristotle
Arnold Hauser,Q365852,Q695303,,Arnold Hauser
Assumption of the Virgin,Q117379114,Q1899740,,Assumption of the Virgin
Aurora,Q108741948,Q1066178,,Aurora
Bacchanal,Q29384647,Q111648805,,Bacchanal
Barbara Mazza,Q124847240,Q116784390,,Barbara Mazza
Basilica di Santa Maria Maggiore,Q186282,Q77245219,,basilica di Santa Maria Maggiore
Brera,Q426609,Q104052296,,Brera
Bruno Brunelli,Q59524453,Q113237839,,Bruno Brunelli
Bust of Epicurus,Q125809381,Q131543691,,Bust of Epicurus
Cambridgeshire,Q23112,Q30612390,,Cambridgeshire
Camillo Rospigliosi,Q43288825,Q76114659,,Camillo Rospigliosi
Carl Bildt,Q2070822,Q52922,,Carl Bildt
