Plate_ID,Sub_ID,Artist,Title_Description,Location,Matched_Full_Name,Matched_QID
1,,Valentin,Allegory of Rome,"Finnish Institute, Rome",Valentin (Art Dealer); Valentin de Boulogne,Q852779; Q1337275
2,a,Caravaggio,Maffeo Barberini,"Private Collection, Florence",Caravaggio,Q42207
2,b,Bernini,Maffeo Barberini as Pope Urban VIII,"Palazzo dei Conservatori, Rome",Domenico Bernini; Gian Lorenzo Bernini; Pietro Bernini,Q2338440; Q160538; Q712397
3,a,Ottavio Leoni,Cardinal Francesco Barberini,,Ottavio Leoni,Q389768
3,b,Carlo Maratta,Cardinal Antonio Barberini,"Duke of Northumberland, Alnwick Castle",Carlo Maratta,Q538998
4,a,Van Dyck,Cardinal Bentivoglio,"Pitti, Florence",Anthony van Dyck,Q150679
4,b,Pietro da Cortona,Marcello Sacchetti,"Villa Borghese, Rome",Pietro da Cortona,Q333323
5,,Bernini,Cardinal Scipione Borghese,"Villa Borghese, Rome",Domenico Bernini; Gian Lorenzo Bernini; Pietro Bernini,Q2338440; Q160538; Q712397
6,,Guglielmo Baur,View ofVilla Borghese in 1630,"Villa Borghese, Rome",,
7,,Domenichino,Hunt of Diana,"Villa Borghese, Rome",Domenichino,Q320118
8,,Matteo Castelli,"Barberini Chapel in S. Andrea della Valle, Rome",,Matteo Castelli,Q1909346
9,,Guido Abbatini,"Frontispiece of Girolamo Teti: Aedes Barberinae ad Quirinalem, Rome 1642, with view of Palazzo Barberini",,Guidobaldo Abbatini,Q282810
10,a,Pietro da Cortona,Rape of the Sabines,"Pinacoteca Capitolina, Rome",Pietro da Cortona,Q333323
10,b,Pietro da Cortona,Rape of Helen,"Ufficio dell’Assessore Comunale alle Belle Arti, Rome",Pietro da Cortona,Q333323
11,a,Gio. Maria Bottalla,Meeting of Esau and Jacob,"Pinacoteca Capitolina, Rome",,
11,b,Pietro Testa,Joseph Sold by his Brothers,"Pinacoteca Capitolina, Rome",Pietro Testa,Q2155480
12,,Andrea Sacchi,Allegory of Divine Wisdom,"Palazzo Barberini, Rome",Andrea Sacchi,Q495008
