Name,QID,Source,Context,Match_Method
Accademia Albrizziana,,Index,Location: Venice,
Accademia del Disegno,,Index,Location: Florence,
Accademia di Pittura e Scultura,,Index,Location: Venice,
Alticchiero (Querini villa),,Index,Location: ,
Baglioni collection,,Index,Location: Venice,
Bonfiglioli collection,,Index,Location: Bologna,
Collection os the North 264 Carolina Museum of Art,,List of Plates,"45 Pompeo Batoni: The Triumph of Venice (Collection os the North 264 Carolina Museum of Art, Raleigh. Samuel H. Kress Collection)",
Finnish Institute,,List of Plates,"I Valentin: Allegory of Rome (Finnish Institute, Rome) 24",
"Francavilla, Pietro",,Index,Location: ,
Galleria Nazionale,,List of Plates,"21 a Sassoferrato: Madonna of the Rosary with Saints Dominic and Catherine (S. Sabina, Rome) 126 b Sassoferrato: Madonna and Child (Galleria Nazionale, Rome)",
Giovanelli collection,,Index,Location: Venice,
Hapsburg collections from Prague,,Index,Location: ,
Metropolitan Museum,,List of Plates,"34 Velasquez: Juan de Pareja (Metropolitan Museum, New York)",
Museum Boy mans—van 104 Beuningen,,List of Plates,"17 a Bernini: Caricature of Cassiano dal Pozzo (Museum Boy mans—van 104 Beuningen, Rotterdam) b Claude Mellan: Vincenzo Giustiniani c Ottavio Leoni: Paolo Giordano Orsini, Duke of Bracciano",
"Parma, Academy",,Index,Location: ,
Pesaro palace,,Index,Location: Venice,
Pinacoteca Capitolina,,List of Plates,"10 a Pietro da Cortona: Rape of the Sabines (Pinacoteca Capitolina, Rome)",
Pitti,,List of Plates,"4 a Van Dyck: Cardinal Bentivoglio (Pitti, Florence)",
Raleigh. Samuel H. Kress Collection,,List of Plates,"45 Pompeo Batoni: The Triumph of Venice (Collection os the North 264 Carolina Museum of Art, Raleigh. Samuel H. Kress Collection)",
Riccardi palace,,Index,Location: Florence,
S. Sabina,,List of Plates,"21 a Sassoferrato: Madonna of the Rosary with Saints Dominic and Catherine (S. Sabina, Rome) 126 b Sassoferrato: Madonna and Child (Galleria Nazionale, Rome)",
"San Giovanni, Giovanni da",,Index,Location: ,
"San Rocco, Scuola di",,Index,Location: Venice,
Uffizi,,List of Plates,"b G. M. Crespi: Girl at her toilet (Uffizi, Florence)",
Vatican palace,,Index,Location: Rome,
Zenobio palace,,Index,Location: Venice,
formerly Palazzo Buonaccorsi,,List of Plates,"33 a Solimena: Dido and Aeneas (formerly Palazzo Buonaccorsi, Macerata) 216",
