Name,QID,,Source,Context,Match_Method
Accademia Albrizziana（Palazzo Albrizzi）,Q3889518,,Index,Location: Venice,
Accademia del Disegno（Accademia delle Arti del Disegno）,Q1760178,,Index,Location: Florence,
Accademia di Pittura e Scultura（Accademia di Belle Arti di Venezia）,Q338505,,Index,Location: Venice,
Alticchiero (Querini villa),Q16621528,,Index,Location: ,
Baglioni collection,,家族收藏名，删除,Index,Location: Venice,
Bonfiglioli collection,,家族收藏名，删除,Index,Location: Bologna,
North Carolina Museum of Art,Q1459878,,List of Plates,"45 Pompeo Batoni: The Triumph of Venice (Collection os the North 264 Carolina Museum of Art, Raleigh. Samuel H. Kress Collection)",
Finnish Institute,,查不到，删除,List of Plates,"I Valentin: Allegory of Rome (Finnish Institute, Rome) 24",
"Francavilla, Pietro",,人名，删除,Index,Location: ,
Galleria Nazionale d'Arte Antica,Q2266081,,List of Plates,"21 a Sassoferrato: Madonna of the Rosary with Saints Dominic and Catherine (S. Sabina, Rome) 126 b Sassoferrato: Madonna and Child (Galleria Nazionale, Rome)",
Giovanelli collection,,家族收藏名，删除,Index,Location: Venice,
Hapsburg collections from Prague,,家族收藏名，删除,Index,Location: ,
Metropolitan Museum,Q160236,,List of Plates,"34 Velasquez: Juan de Pareja (Metropolitan Museum, New York)",
Museum Boijmans Van Beuningen,Q679527,,List of Plates,"17 a Bernini: Caricature of Cassiano dal Pozzo (Museum Boy mans—van 104 Beuningen, Rotterdam) b Claude Mellan: Vincenzo Giustiniani c Ottavio Leoni: Paolo Giordano Orsini, Duke of Bracciano",
Accademia di Belle Arti di Parma,Q3604017,,Index,Location: ,
Ca' Pesaro,Q756807,,Index,Location: Venice,
Capitoline Museums,Q333906,,List of Plates,"10 a Pietro da Cortona: Rape of the Sabines (Pinacoteca Capitolina, Rome)",
Palazzo Pitti,Q29286,,List of Plates,"4 a Van Dyck: Cardinal Bentivoglio (Pitti, Florence)",
Raleigh. Samuel H. Kress Collection,,家族收藏名，删除,List of Plates,"45 Pompeo Batoni: The Triumph of Venice (Collection os the North 264 Carolina Museum of Art, Raleigh. Samuel H. Kress Collection)",
Riccardi palace,Q89522223,,Index,Location: Florence,
Basilica of Saint Sabina,Q592244,,List of Plates,"21 a Sassoferrato: Madonna of the Rosary with Saints Dominic and Catherine (S. Sabina, Rome) 126 b Sassoferrato: Madonna and Child (Galleria Nazionale, Rome)",
"San Giovanni, Giovanni da",,人名，删除,Index,Location: ,
Scuola Grande di San Rocco,Q1270723,,Index,Location: Venice,
Uffizi Gallery,Q51252,,List of Plates,"b G. M. Crespi: Girl at her toilet (Uffizi, Florence)",
Apostolic Palace,Q145093,,Index,Location: Rome,
Palazzo Zenobio,Q3891097,,Index,Location: Venice,
Palazzo Buonaccorsi Gallery of Ancient Art,Q109732673,,List of Plates,"33 a Solimena: Dido and Aeneas (formerly Palazzo Buonaccorsi, Macerata) 216",
