Name,QID,Source,Context,Match_Method
Accademia Albrizziana,,Index,Location: Venice,
Accademia degli Umoristi,Q3603986,Index,Location: Rome,Exact Match
Accademia dei Lincei,Q3639657,Index,Location: Rome,Exact Match
Accademia del Disegno,,Index,Location: Florence,
Accademia di Pittura e Scultura,,Index,Location: Venice,
Accademia di S. Luca,Q338523,Index,Location: Rome,Substitution Match
Alticchiero (Querini villa),,Index,Location: ,
Altieri palace,Q908759,Index,Location: Rome,Substitution Match
Art Institute of Chicago Robert A. Waller Fund,Q239303,List of Plates,19 a Poussin: Moses trampling on Pharaoh’s crown (Louvre) b Claude: View of Delphi with a Procession (Art Institute of Chicago Robert A. Waller Fund),Substring Match (art institute of chicago)
Baglioni collection,,Index,Location: Venice,
Barberini palace,Q1136614,Index,Location: ,Substitution Match
"Barberini, Cardinal Antonio (brother to Urban VIII) (Cardinal di S. Onofrio)",Q131579,Index,Location: ,Substring Match (urban viii)
Bonfiglioli collection,,Index,Location: Bologna,
Borghese Palace,Q3889704,Index,Location: Rome,Substitution Match
British Museum,Q6373,List of Plates,46 Pellegrini: Pierre Motteux and his family (British Museum),Exact Match
Cibo palace,Q3889880,Index,Location: Rome,Substitution Match
Clerici Palace,Q94998806,Index,Location: Milan,Substitution Match
Collection os the North 264 Carolina Museum of Art,,List of Plates,"45 Pompeo Batoni: The Triumph of Venice (Collection os the North 264 Carolina Museum of Art, Raleigh. Samuel H. Kress Collection)",
Colonna palace,Q1971299,Index,Location: Rome,Substitution Match
Contarini villa,Q4231625,Index,Location: Mira,Substring Match (contarini)
Farnese Palace,Q848386,Index,Location: Rome,Substitution Match
Finnish Institute,,List of Plates,"I Valentin: Allegory of Rome (Finnish Institute, Rome) 24",
Fitzwilliam Museum,Q1421440,List of Plates,"b Carlo Dolci: Sir Thomas Baines (Fitzwilliam Museum, Cambridge)",Exact Match
Foscarini palace,Q124024161,Index,Location: ,Substitution Match
"Francavilla, Pietro",,Index,Location: ,
French Academy in Rome,Q337494,Index,Location: ,Exact Match
Galleria Nazionale,,List of Plates,"21 a Sassoferrato: Madonna of the Rosary with Saints Dominic and Catherine (S. Sabina, Rome) 126 b Sassoferrato: Madonna and Child (Galleria Nazionale, Rome)",
Galleria Spada,Q3757699,List of Plates,"22 a Michelangelo Cerquozzi: The artist with a group of friends (Kassel, Kunstsammlungen) b Michelangelo Cerquozzi: The Revolt of Masaniello (Galleria Spada, Rome)",Exact Match
Giovanelli collection,,Index,Location: Venice,
Gondi palace,Q1083014,Index,Location: Paris,Substitution Match
Grassi collection,Q23038852,Index,Location: Venice,Substring Match (grassi)
Hapsburg collections from Prague,,Index,Location: ,
Kunsthistorisches Museum,Q95569,List of Plates,"28 a Guido Cagnacci: Death of Cleopatra (Kunsthistorisches Museum, Vienna) b Burnacini: The Elysian Fields from the opera La Monarchia Latina Trionfante, Vienna 1678",Exact Match
Labia collection,Q1406501,Index,Location: Venice,Substring Match (labia)
Louvre,Q908517,Both,19 a Poussin: Moses trampling on Pharaoh’s crown (Louvre) b Claude: View of Delphi with a Procession (Art Institute of Chicago Robert A. Waller Fund),Exact Match
Manin palace,Q124029132,Index,Location: Venice,Substitution Match
Marucelli Palace,Q3890107,Index,Location: Florence,Substitution Match
Metropolitan Museum,,List of Plates,"34 Velasquez: Juan de Pareja (Metropolitan Museum, New York)",
Montanari palace,Q3757774,Index,Location: Vicenza,Substitution Match
