Refined_Formal_Name,Original-QID
A Dance to the Music of Time (Poussin),Q1392936
A Donor Presented to the Virgin,Q123597533
A Seaport,Q52242065
A storm at sea,Q102961376
A. E. Popham,Q709195
A. N. L. Munby,Q3607762
A. S. Turberville,Q52305974
Abate Scarselli,Q49788414
Abbey of Monte Cassino,Q334051
Abbey of Santa Giustina,Q219502
Abbé Clément,Q84562933
Abbé Richard,Q306915
Abel Desjardins,Q2821500
"Abel-François Poisson, marquis de Marigny",Q65022270
Abigail,Q4416778
Abraham Brueghel,Q1824525
Abraham Hume,Q17198983
Abraham Nicolas Amelot de la Houssaye,Q2667383
Abruzzo,Q1284
Academy of Fine Arts of Parma,Q3604017
Académie Française,Q161806
Académie royale de peinture et de sculpture,Q337579
Accademia Albrizziana,
Accademia Carrara,Q338367
Accademia degli Umoristi,Q3603986
Accademia dei Cacadubbi,
Accademia dei Concordi (Rovigo),Q3603991
Accademia dei Lincei,Q3639657
Accademia dell'Arcadia,Q9138745
Accademia delle Arti del Disegno,Q1760178
Accademia di Belle Arti di Brera,Q338472
Accademia di Belle Arti di Firenze,Q4585397
Accademia di Belle Arti di Venezia,Q338505
Accademia di San Luca,Q338523
Achille Bosisio,
Achille Neri,Q20488569
Adam von Bartsch,Q78785
Adolfo Venturi,Q2824734
Adolph S. Cavallo,Q77518121
Adonis,Q163920
Adoration of the Magi,Q122664454
Adriaen van der Werff,Q368053
Adriatic Sea,Q13924
Adrien Maurice de Noailles,Q376707
Aedes Barberina ad Quirinalem,
Aeneas,Q82732
Aeneas' Flight from Troy,Q20000656
Aeneid,Q60220
Agamemnon,Q128176
Agnolo Galli,Q127691377
Agony in the Garden,Q5967673
Agostino Barelli,Q395578
Agostino Chigi,Q395635
Agostino Ciampelli,Q1061864
Agostino Mascardi,Q3606791
Agostino Masucci,Q395680
Agostino Mitelli,Q1427142
Agostino Sagredo,Q3606820
Agostino Tassi,Q395741
Albergo del Moretto,
Albert Charles Sewter,Q18934833
Albert Ilg,Q86432
Alberto Cametti,Q5601360
Alberto Vecchi,Q131758432
Albrecht Dürer,Q5580
Aldo De Rinaldis,Q51529772
Aldo Ravà,Q105102298
Alessandro Albani,Q540338
Alessandro Algardi,Q336798
Alessandro Baudi di Vesme,Q52157623
Alessandro Bettagno,Q59527613
Alessandro Borgia,Q3609880
Alessandro Farnese (Cardinal),Q554961
Alessandro Galilei,Q176742
Alessandro Gherardini,Q327785
Alessandro Longhi,Q1855242
Alessandro Luzio,Q3610091
Alessandro Magnasco,Q516941
Alessandro Marabottini,Q19753755
Alessandro Marchesini,Q3460024
Alessandro Orsini,Q2832804
Alessandro Peretti di Montalto,Q82659
Alessandro Saluzzi,Q18507717
Alessandro Scarlatti,Q183087
Alessandro Sforza,Q953878
Alessandro Turchi,Q507279
Alessandro Varotari,Q1727824
Alessandro Vassalli,Q19973664
Alessandro Vittrice,Q4716445
Alessandro Zen,Q3610383
Alessandro de' Medici (Duke of Florence),Q108433354
"Alexander Hamilton, 10th Duke of Hamilton",Q336657
Alexander III (Pope),Q223874
Alexander Sauli,Q1341237
Alexander VII,Q127254
Alexander VIII,Q101294
Alexander the Great,Q8409
Alfonso E. Pérez Sánchez,Q1186153
Alfonso Gesualdo,Q1373399
Alfonso I d'Este,Q188346
Alfred Sensier,Q2835445
Alfredo Bardella,Q2646352
Alice Binion,Q98137345
Allan Hume,Q455438
Allegory of Clemency,
Allegory of Coral fishing,
Allegory of Divine Providence and Barberini Power,Q4731387
Allegory of Divine Wisdom,Q111821593
Allegory of Fortune,Q20087469
Allegory of Rome,Q108758158
Allegory of Venice,Q50947952
Allegory of the Arts,Q27974834
Allegory of the Education of the Crown Prince,
Almorò Albrizzi,Q55225031
Almorò Pisani,
Aloys Thomas Raimund von Harrach,Q24211
Aloysius Gonzaga,Q310307
Alps,Q1286
Altar Paintings (San Canciano),
Altar of Friendship,
Altar of Tranquility and Rural Life,
Altar of Wealth and Apollo,
Altarpiece for Chiesa Nuova,Q3842690
Altarpiece for Santa Maria dei Cappuccini,Q18573062
Altarpiece for St. Sebastian,Q65508996
Altarpiece for the Augustinian Church,Q56558993
Alte Pinakothek,Q154568
Altero Matteoli,Q438845
Altieri (Family),Q21449562
Alvise Mocenigo,Q3613470
Alvise Pisani,Q449469
Amadeo Svajer,Q3613921
Amalfi,Q80563
Amalia Mezzetti,Q116770583
Ambrogio Mazenta,
Ambroise Dubois,Q2415583
Amico Ricci,Q3614269
Amor Vincit Omnia,Q474024
Amsterdam,Q727
Anatole de Montaiglon,Q2845613
Andrea Brustolon,Q3615560
Andrea Camassei,Q3615565
Andrea Carlone,Q3106993
Andrea Celesti,Q1065524
Andrea Doria,Q156521
Andrea Ferreri,Q18217670
Andrea Gerini,Q44635166
Andrea Giacomo Podestà,Q4755099
Andrea Giustiniani,Q106395490
Andrea Locatelli,Q494275
Andrea Mantegna,Q5681
Andrea Memmo,Q1052776
Andrea Ottini,Q493487
Andrea Palladio,Q177692
Andrea Podestà,Q3615952
Andrea Pozzo,Q380103
Andrea Procaccini,Q2846401
Andrea Querini,Q62056063
Andrea Sacchi,Q495008
Andrea Schiavone,Q495060
Andrea Stazio,Q47543685
Andrea Tessier,Q23011967
Andrea Toresani,Q4755304
Andrea Tron,Q110224729
Andrea Vaccaro,Q2707224
Andrea Zucchi,Q30250990
Andrea del Rosso,Q2846433
Andrea del Sarto,Q5571
Andreas Scherber,Q500372
Andreina Griseri,Q93253370
Andrew Fountaine,Q4756994
Andromache weeping before Aeneas（Giovanni Gioseffo dal Sole）,
André Félibien,Q518705
Andrés Marzo,Q4760227
Angel with the Superscription,Q15181138
Angelica Grill,Q3460926
Angelica Griè,Q796479
Angelo Borzelli,Q61472867
Angelo Calogerà,Q3616914
Angelo Caroselli,Q1414382
Angelo Cesi,Q28109298
Angelo Contarini,Q55226769
Angelo Crespi,Q114122885
Angelo Giori,Q536015
Angelo Maria Querini,Q536170
Angelo Michele Colonna,Q2312606
Angelo Pinetti,Q125962639
Angelo Querini,Q536447
Angelo Solerti,Q3617231
Angelo Trevisani,Q536726
Angels carrying the Instruments of the Passion,Q20567586
Anglesey Abbey,Q3021583
Aniello Falcone,Q546528
Animals and Figures in the Flemish Style,Q27725748
Ann Sutherland Harris,Q18934849
Anna Banti,Q470147
Anna Colonna,Q4766932
Anna Maria Luisa de' Medici,Q233181
Annamaria Gabrielli,
Annan Gallery,
Anne Claude de Caylus,Q2734012
Anne Marie d'Orléans,Q230873
Anne of Austria,Q151209
"Anne, Queen of Great Britain",Q119702
Anne-Marie du Boccage,Q2850913
Annibale Albani,Q566836
Annibale Carracci,Q7824
Annibale Gonzaga,Q566861
Annibale Laparelli,
Annunciation,Q135642182
Anselmo Costadoni,Q4770614
Antenor,Q571969
"Anthony Ashley Cooper, 1st Earl of Shaftesbury",Q336002
"Anthony Ashley Cooper, 3rd Earl of Shaftesbury",Q335112
"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",Q333294
Anthony Blunt,Q508392
Anthony Morris Clark,Q19753768
Anthony Radcliffe,Q59529289
Anthony van Dyck,Q150679
Anti-papal satire (Alexander VII),
Antichiesetta (San Marco),
Antichità di Palazzi,
Antinous,Q171876
Antoine Coypel,Q585926
Antoine Dumesnil,Q2853900
Antoine Pesne,Q203758
Antoine Seilern,Q586987
Antoine-Joseph Dezallier d'Argenville,Q585422
Anton Domenico Gabbiani,Q1083096
"Anton Florian, Prince of Liechtenstein",Q589374
Anton Francesco Farsetti,
Anton Francesco Goli,Q778529
Anton Maria Zanetti (the Elder),Q18507790
Anton Maria Zanetti the Elder,Q944948
Anton Neumayr,Q94896724
Anton Raphael Mengs,Q76718
Antonello da Messina,Q5594
Antonia Spadafora,Q108935752
Antonino Bertolotti,Q5574490
"Antonino Maresca, Duca di Serracapriola",Q2857159
Antonino Santangelo,Q124986217
Antonio Abbondi (Scarpagnino),Q98672650
Antonio Baldinucci,Q647434
Antonio Balestra,Q386500
Antonio Barbaro,Q114006282
Antonio Barberini,Q599744
Antonio Battistella,Q61472533
Antonio Beccari,Q64779121
Antonio Bellucci,Q302062
Antonio Beni,Q3619246
Antonio Canova,Q5547
Antonio Cappello,Q15731838
Antonio Corradini,Q601707
Antonio Dardani,Q2857256
Antonio Del Grande,Q3619519
Antonio Ermolao Paoletti,Q3619549
Antonio Franchi,Q602053
Antonio Gai,Q15378563
Antonio Genovesi,Q602201
Antonio Gherardi,Q531430
Antonio Giussani,Q104662012
Antonio Grimani,Q65548253
Antonio Joli,Q2404265
Antonio Lombardo,Q602863
Antonio Longo,Q18352661
Antonio Loredan,Q106473817
Antonio Lorenzini,Q4776748
Antonio Maria Antoniazzi,Q3619823
Antonio Maria Marini,Q3619844
Antonio Maria Vassallo,Q2857352
Antonio Maria Visconti,
Antonio Molinari,Q603707
Antonio Morassi,Q19997480
Antonio Palomino,Q604011
Antonio Paluello,Q3619994
Antonio Petito,Q3620034
Antonio Ruffo,Q88949215
Antonio Schinella Conti (Abate Conti),Q2087202
Antonio Triva,Q461670
Antonio Vallisneri,Q2662898
Antonio Verrio,Q2305594
Antonio Visentini,Q605690
Antonio Zanchi,Q605785
Antonio Zatta,Q3313574
Antonio Zucchi,Q374111
Antonio da Venezia,Q103904895
Antonio degli Effetti,
Antonio del Rosso,Q1081979
Apelles,Q216822
Apollo,Q37340
Apollo and Daphne,Q945850
Apollo and the Muses,Q60479765
Apollo flaying Marsyas,Q67203478
Apostolic Chamber (Camera Apostolica),Q620030
Apostolic Palace,Q145093
