Head,Head_QID,Relation,Tail,Tail_QID,Source_Row
Allegory of Rome,Q108758158,created_by,Valentin,Q1337275,2
Allegory of Rome,Q108758158,located_at,Finnish Institute,,2
Finnish Institute,,located_at,Rome,,2
Allegory of Rome,Q108758158,depicts,Rome,,2
Maffeo Barberini,Q16596970,created_by,Caravaggio,Q42207,3
Maffeo Barberini,Q16596970,located_at,Private Collection,,3
Private Collection,,located_at,Florence,,3
Maffeo Barberini as Pope Urban VIII,,created_by,Bernini,Q712397,4
Maffeo Barberini as Pope Urban VIII,,located_at,Palazzo dei Conservatori,Q64103,4
Palazzo dei Conservatori,,located_at,Rome,,4
Maffeo Barberini as Pope Urban VIII,,depicts,Maffeo Barberini,,4
Maffeo Barberini as Pope Urban VIII,,depicts,Pope Urban VIII,,4
Cardinal Francesco Barberini,Q2662344,created_by,Ottavio Leoni,Q389768,5
Cardinal Antonio Barberini,,created_by,Carlo Maratta,Q538998,6
Cardinal Antonio Barberini,,located_at,Duke of Northumberland,,6
Duke of Northumberland,,located_at,Alnwick Castle,,6
Cardinal Bentivoglio,,created_by,Van Dyck,Q150679,7
Cardinal Bentivoglio,,located_at,Pitti,,7
Pitti,,located_at,Florence,,7
Marcello Sacchetti,Q6087600,created_by,Pietro da Cortona,Q333323,8
Marcello Sacchetti,Q6087600,located_at,Villa Borghese,Q3558478,8
Villa Borghese,,located_at,Rome,,8
Cardinal Scipione Borghese,,created_by,Bernini,Q712397,9
Cardinal Scipione Borghese,,located_at,Villa Borghese,Q3558478,9
Villa Borghese,,located_at,Rome,,9
View ofVilla Borghese in 1630,,created_by,Guglielmo Baur,Q3119268,10
View ofVilla Borghese in 1630,,located_at,Villa Borghese,Q3558478,10
Villa Borghese,,located_at,Rome,,10
Hunt of Diana,,created_by,Domenichino,Q320118,11
Hunt of Diana,,located_at,Villa Borghese,Q3558478,11
Villa Borghese,,located_at,Rome,,11
Barberini Chapel,,created_by,Matteo Castelli,Q1909346,12
Barberini Chapel,,located_at,"S. Andrea della Valle, Rome",,12
"Frontispiece of Girolamo Teti: Aedes Barberinae ad Quirinalem, Rome 1642, with view of Palazzo Barberini",,created_by,Guido Abbatini,Q282810,13
"Frontispiece of Girolamo Teti: Aedes Barberinae ad Quirinalem, Rome 1642, with view of Palazzo Barberini",,part_of,"Girolamo Teti: Aedes Barberinae ad Quirinalem, Rome 1642, with view of Palazzo Barberini",,13
Rape of the Sabines,,created_by,Pietro da Cortona,Q333323,14
Rape of the Sabines,,located_at,Pinacoteca Capitolina,,14
Pinacoteca Capitolina,,located_at,Rome,,14
Rape of Helen,,created_by,Pietro da Cortona,Q333323,15
Rape of Helen,,located_at,Ufficio dell’Assessore Comunale alle Belle Arti,Q109927986,15
Ufficio dell’Assessore Comunale alle Belle Arti,,located_at,Rome,,15
Meeting of Esau and Jacob,,created_by,Gio. Maria Bottalla,Q10289899,16
Meeting of Esau and Jacob,,located_at,Pinacoteca Capitolina,,16
Pinacoteca Capitolina,,located_at,Rome,,16
Joseph Sold by his Brothers,Q59710099,created_by,Pietro Testa,Q2155480,17
Joseph Sold by his Brothers,Q59710099,located_at,Pinacoteca Capitolina,,17
Pinacoteca Capitolina,,located_at,Rome,,17
Allegory of Divine Wisdom,Q111821593,created_by,Andrea Sacchi,Q495008,18
Allegory of Divine Wisdom,Q111821593,located_at,Palazzo Barberini,Q1136614,18
Palazzo Barberini,,located_at,Rome,,18
Allegory of Divine Wisdom,Q111821593,depicts,Divine Wisdom,,18
Glorification of the Reign of Urban VIII,,created_by,Pietro da Cortona,Q333323,19
Glorification of the Reign of Urban VIII,,located_at,Palazzo Barberini,Q1136614,19
Palazzo Barberini,,located_at,Rome,,19
Triumph of The Name of Jesus,Q54647365,created_by,Giovanni Battista Gaulli,Q520573,20
Triumph of The Name of Jesus,Q54647365,located_at,Gesù,,20
Gesù,,located_at,Rome,,20
"Modello for fresco on vault of S. Ignazio, Rome",,created_by,Andrea Pozzo,Q380103,21
"Modello for fresco on vault of S. Ignazio, Rome",,located_at,Galleria Nazionale,Q772890,21
Galleria Nazionale,,located_at,Rome,,21
"Interior of S. Andrea al Quirinale, Rome",,created_by,Bernini,Q712397,22
Caricature of Cassiano dal Pozzo,,created_by,Bernini,Q712397,23
Caricature of Cassiano dal Pozzo,,located_at,Museum Boy mans—van 104 Beuningen,,23
Museum Boy mans—van 104 Beuningen,,located_at,Rotterdam,,23
Vincenzo Giustiniani,Q4013311,created_by,Claude Mellan,Q1274026,24
"Paolo Giordano Orsini, Duke of Bracciano",,created_by,Ottavio Leoni,Q389768,25
Rest on the Flight into Egypt,Q60469737,created_by,Pietro Testa,Q2155480,26
Marriage,Q26511045,created_by,Poussin,Q41554,27
Marriage,Q26511045,located_at,Duke of Rutland,,27
Duke of Rutland,,located_at,Belvoir Castle,,27
Moses trampling on Pharaoh’s crown,,created_by,Poussin,Q41554,28
Moses trampling on Pharaoh’s crown,,located_at,Louvre,,28
View of Delphi with,Q20274952,created_by,Claude,Q1274026,29
View of Delphi with,Q20274952,depicts,Delphi with,,29
Camillo Massimi,Q1081418,created_by,Velasquez,Q297,30
Camillo Massimi,Q1081418,located_at,Ralph Bankes,,30
Ralph Bankes,,located_at,Kingston Lacy,,30
Madonna of the Rosary with Saints Dominic and Catherine,,created_by,Sassoferrato,Q124886,31
Madonna of the Rosary with Saints Dominic and Catherine,,located_at,S. Sabina,,31
S. Sabina,,located_at,Rome,,31
Madonna and Child,Q106868029,created_by,Sassoferrato,Q124886,32
Madonna and Child,Q106868029,located_at,Galleria Nazionale,Q772890,32
Galleria Nazionale,,located_at,Rome,,32
