序号,主体 (Subject),主体 QID,谓语 (Predicate),客体 (Object),客体 QID,Source_Row
1,Allegory of Rome,Q108758158,created,Valentin,Q1337275,2
2,Allegory of Rome,Q108758158,is located in,Finnish Institute,/,2
3,Finnish Institute,/,is located in,Rome,/,2
4,Maffeo Barberini,Q16596970,created,Caravaggio,Q42207,3
5,Maffeo Barberini,Q16596970,is located in,Private Collection,/,3
6,Private Collection,/,is located in,Florence,/,3
7,Maffeo Barberini as Pope Urban VIII,/,created,Bernini,Q712397,4
8,Maffeo Barberini as Pope Urban VIII,/,is located in,Palazzo dei Conservatori,Q64103,4
9,Palazzo dei Conservatori,/,is located in,Rome,/,4
10,Cardinal Francesco Barberini,Q2662344,created,Ottavio Leoni,Q389768,5
11,Cardinal Antonio Barberini,/,created,Carlo Maratta,Q538998,6
12,Cardinal Antonio Barberini,/,is located in,Duke of Northumberland,/,6
13,Duke of Northumberland,/,is located in,Alnwick Castle,/,6
14,Cardinal Bentivoglio,/,created,Van Dyck,Q150679,7
15,Cardinal Bentivoglio,/,is located in,Pitti,/,7
16,Pitti,/,is located in,Florence,/,7
17,Marcello Sacchetti,Q6087600,created,Pietro da Cortona,Q333323,8
18,Marcello Sacchetti,Q6087600,is located in,Villa Borghese,Q3558478,8
19,Villa Borghese,/,is located in,Rome,/,8
20,Cardinal Scipione Borghese,/,created,Bernini,Q712397,9
21,Cardinal Scipione Borghese,/,is located in,Villa Borghese,Q3558478,9
22,Villa Borghese,/,is located in,Rome,/,9
23,View ofVilla Borghese in 1630,/,created,Guglielmo Baur,Q3119268,10
24,View ofVilla Borghese in 1630,/,is located in,Villa Borghese,Q3558478,10
25,Villa Borghese,/,is located in,Rome,/,10
26,Hunt of Diana,/,created,Domenichino,Q320118,11
27,Hunt of Diana,/,is located in,Villa Borghese,Q3558478,11
28,Villa Borghese,/,is located in,Rome,/,11
29,Barberini Chapel in S. Andrea della Valle,/,is located in,Rome,/,12
30,Barberini Chapel,/,created,Matteo Castelli,Q1909346,12
31,Barberini Chapel,/,is located in,S. Andrea della Valle,/,12
32,Barberini Chapel,/,depicts,Barberini Chapel in S. Andrea della Valle,/,12
33,Barberini Chapel in S. Andrea della Valle,/,is located in,S. Andrea della Valle,/,12
34,Barberini Chapel,/,has title role,Rome,/,12
35,Frontispiece of Girolamo Teti: Aedes Barberinae,/,is located in,Rome,/,13
36,Frontispiece of Girolamo Teti: Aedes Barberinae,/,published in,1642,/,13
37,Frontispiece of Girolamo Teti: Aedes Barberinae,/,is located in,Quirinalem,/,13
38,Frontispiece of Girolamo Teti: Aedes Barberinae,/,created,Guido Abbatini,Q282810,13
39,Frontispiece of Girolamo Teti: Aedes Barberinae,/,depicts,Palazzo Barberini,/,13
40,Frontispiece of Girolamo Teti: Aedes Barberinae,/,is part of,Aedes Barberinae,/,13
41,Aedes Barberinae,/,created,Girolamo Teti,/,13
