章节,实体1,QID,关系,实体2,QID.1
第十七章,马克·安托尼奥·基亚里尼,Q93640385,撰写,大公宫廷中的艺术家,
第一章序言,盖齐,Q429072,头衔,荣誉绅士,
第十二章,安东尼奥·孔蒂,Q2087203,创作,萨斯珀主题作品,
第九章,安德里亚·祖奇,Q30250990,雕刻,圣母像,
第九章,迪特里希,Q536581,绘制,圣母像草图,
第十七章,泰奥多罗·科雷尔,Q2403974,加入,十人委员会,
第十章,贾科莫·阿米戈尼,Q380897,创作,四季主题作品,
第十一章,卡纳莱托,Q182664,创作,随想曲系列,
第八章,费迪南德大公,Q465178,收藏,天鹅绒勃鲁盖尔,
第八章,加斯帕尔·如莫尔,Q3098722,收藏,天鹅绒勃鲁盖尔,
第五章,奥拉齐奥·简提列斯基,Q367360,展出,天使长迈克尔,
第十七章,德拉·勒拿长老,表中无ID,发表,威尼斯绘画的掠夺,
第四章,卡米洛·马西斯米,Q1081420,重组,新基督学院,
第二章,安德里亚·萨基,Q495008,设计,耶稣教堂一百周年庆典装饰,
第九章,卡特琳娜·多芬,Q3663500,收藏,"""异端""书籍",
第一章,米开朗基罗·塞阔齐,Q979862,绰号,战斗的米开朗基罗,
第九章,迪特里希,Q536581,绘制,招待大厅壁画,
第九章,吉安·多梅尼科·蒂耶波洛,Q435316,绘制,招待大厅壁画,
第十三章,彼得罗·摩纳哥,Q30888067,出版,《112幅神圣的历史绘画作品集》,A360
第十三章,维埃罗,Q6141801,再版,《112幅神圣的历史绘画作品集》,A360
第十章,迪特里希,Q536581,创作,《1156年维尔茨堡主教祝福新人》,Q26706747
第十章,乔万尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《1156年维尔茨堡主教祝福新人》,Q26706747
第十章,迪特里希,Q536581,创作,《1163年皇帝为哈罗德·冯·霍克海姆领主加冕》,A46
第十章,乔万尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《1163年皇帝为哈罗德·冯·霍克海姆领主加冕》,A46
第十五章,鲁道夫·帕卢奇尼,Q3438258,策划,《18世纪威尼斯雕刻师作品展》,
第一章,亚历山德罗·隆吉,Q1855242,绘制,《G.M.萨索》肖像,
第二章,斯特凡诺·兰迪,Q381943,创作,《S.阿莱西奥》,
第二章,朱利奥·罗斯皮格里奥西,Q155961,创作,《S.阿莱西奥》歌剧剧本,
第八章,克雷斯皮,Q528620,创作,《阿比盖尔送礼物给大卫》,A3
