实体1,QID,关系,实体2,QID.1
彼得罗·摩纳哥,Q30888067,出版,《112幅神圣的历史绘画作品集》,A360
维埃罗,Q6141801,再版,《112幅神圣的历史绘画作品集》,A360
迪特里希,Q536581,创作,《1156年维尔茨堡主教祝福新人》,Q26706747
乔万尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《1156年维尔茨堡主教祝福新人》,Q26706747
迪特里希,Q536581,创作,《1163年皇帝为哈罗德·冯·霍克海姆领主加冕》,A46
乔万尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《1163年皇帝为哈罗德·冯·霍克海姆领主加冕》,A46
克雷斯皮,Q528620,创作,《阿比盖尔送礼物给大卫》,A3
托马索·鲁福,Q2661419,委托,《阿比盖尔送礼物给大卫》,A3
克劳德·洛兰,Q214074,创作,《阿波罗的献祭》,Q27895778
克劳德·洛兰,Q214074,绘制,《阿波罗的献祭》,Q27895778
克劳德·洛兰,Q214074,创作,《阿波罗的献祭》,Q27895778
唐·加斯帕罗·阿尔蒂里的父亲,表中无ID,委托,《阿波罗的献祭》,Q27895778
卡洛·马拉塔,Q538998,创作,《阿波罗和达芙妮》,Q118877400
普桑,Q41554,绘制,《阿波罗和达芙妮》,Q118877400
卡米洛·马西斯米,Q1081448,委托,《阿波罗和库马·西比尔海岸风景》,Q21725334
乔瓦尼·巴格里昂,Q983332,创作,《阿波罗和缪斯女神》,A30
迪特里希,Q536581,创作,《阿波罗指引他的勃艮第比阿特丽斯新娘》,A31
乔万尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《阿波罗指引他的勃艮第比阿特丽斯新娘》,A31
乔万尼·巴蒂斯塔·西马洛里,Q3766629,创作,《阿格里皮娜被其子尼禄下令杀害》,A8
卡米洛·马西斯米,Q1081446,委托,《阿格斯守卫》,A35
罗曼内利,Q2983846,创作,《阿里阿德涅被爱唤醒》,A36
克劳德·洛兰,Q214074,创作,《阿斯卡尼俄斯射杀西尔维娅的雄鹿》,Q4803790
克劳德·洛兰,Q214074,创作,《阿斯卡尼俄斯射杀西尔维娅的雄鹿》,Q4803790
洛伦佐·奥诺弗里奥·科隆纳,Q3837032,委托,《阿斯卡尼俄斯射杀西尔维娅的雄鹿》,Q4803790
彼得罗·达·科尔托纳,Q333323,创作,《埃涅阿德的风景》,A196
彼得罗·达·科尔托纳,Q333323,绘制,《埃涅阿德的风景》,A196
克劳德·洛兰,Q214074,创作,《埃涅阿斯在拉提姆登陆》,Q119756834
克劳德·洛兰,Q214074,绘制,《埃涅阿斯在拉提姆登陆》,Q119756834
克劳德·洛兰,Q214074,创作,《埃涅阿斯在拉提姆登陆》,Q119756834
唐·加斯帕罗·阿尔蒂里,Q27999316,委托,《埃涅阿斯在拉提姆登陆》,Q119756834
费迪南德大公,Q465178,收藏,《安德洛玛克在埃涅阿斯面前哭泣》,A24
马尔坎托尼奥·弗兰切斯基尼,Q2543592,创作,《安德洛玛克在埃涅阿斯面前哭泣》,A24
乔万·奇奥塞弗·达尔·索莱,Q961329,创作,《安德洛玛克在埃涅阿斯面前哭泣》,A24
迪特里希,Q536581,绘制,《安东尼和克利奥佩特拉的宴会》,Q77007619
费迪南德大公,Q465178,收藏,《安东尼和克利奥佩特拉的宴会》,Q77007619
弗朗西斯科·特雷维萨尼,Q963875,创作,《安东尼和克利奥佩特拉的宴会》,Q77007619
皮亚泽塔,Q282670,绘制,《安吉洛·卡斯特》,A25
卡洛·马拉塔,Q538998,创作,《奥古斯都关闭雅努斯神庙》,Q72671544
费迪南德大公,Q465178,收藏,《巴比伦》,A37
弗朗索瓦·德·诺姆,Q1887392,创作,《巴比伦》,A37
博福特公爵,Q7585516,收藏,《巴德明顿风景》,Q40453567
卡纳莱托,Q182664,创作,《巴德明顿风景》,Q40453567
卡纳莱托,Q182664,绘制,《巴德明顿风景》,Q40453567
圭多·雷尼,Q109061,创作,《巴克斯和阿里阿德涅》,Q20881588
丰泰巴索,Q447991,绘制,《拜访亚伯拉罕的三位天使》,A272
丰泰巴索,Q447991,绘制,《拜访亚伯拉罕的三位天使》,A272
彼得罗·贝尔尼尼,Q712397,创作,《扮作大卫的自画像》,A197
圭多·雷尼,Q109061,创作,《绑架海伦》,Q118876935
弗朗西斯科·阿尔加罗蒂,Q439081,委托,《保护者》,A363
乔瓦尼·巴蒂斯塔·蒂耶波洛,Q186202,创作,《保护者》,A363
皮埃特罗·巴尔巴里戈,Q107565971,委托,《保护智慧的力量》,A209
曼弗林,Q16560336,收藏,《暴风雨》,Q930137
乔尔乔内,Q8459,创作,《暴风雨》,Q930137
卡西亚诺·达尔·波佐,Q1048333,委托,《暴风雨中的皮拉摩斯和忒贝》,A408
普桑,Q41554,绘制,《暴风雨中的皮拉摩斯和忒贝》,A408
费迪南德大公,Q465178,收藏,《被狗撕成碎片的王后耶洗别》,A450
吉罗拉莫·杜拉佐,表中无ID,收藏,《被狗撕成碎片的王后耶洗别》,A450
卢卡·焦尔达诺,Q332494,创作,《被狗撕成碎片的王后耶洗别》,A450
乔万·乔瑟福·达尔·索尔,Q961329,创作,《被基督打伤的圣特蕾莎》,A201
德·罗西,表中无ID,收藏,《被迦太基人杀死的雷古勒斯》,A188
萨尔瓦多·罗萨,Q359421,绘制,《被迦太基人杀死的雷古勒斯》,A188
萨尔瓦多·罗萨,Q359421,创作,《被迦太基人杀死的雷古勒斯》,A188
G.沃尔帕托,Q3107516,创作,《比萨的弗朗西斯科·阿尔加罗蒂墓前的哀悼者》,A380
阿巴特·加利亚尼,Q979496,出版,《财富》,Q20087469
博福特公爵,Q7585516,收藏,《财富》,Q20087469
萨尔瓦多·罗萨,Q359421,创作,《财富》,Q20087469
卡洛·马拉塔,Q538998,创作,《查尔斯·福克斯》,A65
弗朗切斯科·法内利,Q3749954,雕刻,《查尔斯一世》,A66
皮埃特罗·奥托博尼,Q101294,委托,《忏悔》,A226
朱塞佩·玛丽亚·克雷斯皮,Q528620,创作,《忏悔》,A226
米开朗基罗·达·卡拉瓦焦,Q42207,绘制,《尘世之爱》,Q474024
米开朗基罗·达·卡拉瓦焦,Q42207,创作,《尘世之爱》,Q474024
迪特里希,Q536581,绘制,《乘着火焰战车奔向天堂的以利亚》,A415
安尼巴莱·卡拉奇,Q7831,绘制,《吃豆子的人》,Q1232131
安尼巴莱·卡拉奇,Q7833,创作,《吃豆子的人》,Q1232131
阿米格尼,Q380897,创作,《崇拜偶像的所罗门》,A198
西吉斯蒙德·施特赖特,Q90687,收藏,《崇拜偶像的所罗门》,A198
安德烈·波德斯塔,Q4755099,制作,《崇拜维纳斯》,Q3743879
彼得·保罗·鲁本斯,Q5599,创作,《崇拜维纳斯》,Q3743879
