序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,Accademia Albrizziana,Venice,,
2,Accademia degli Umoristi,Rome,,
3,Accademia dei Lincei,Rome,,
4,Accademia del Disegno,Florence,,
5,Accademia di Pittura e Scultura,Venice,,
6,Accademia di Pittura e Scultura,Venice,art exhibitions,
7,Accademia di S. Luca,Rome,,
8,Accademia di S. Luca,Rome,Cardinal Francesco Barberini as protector of,
9,Accademia di S. Luca,Rome,powers of taxation,
10,"Acqua, Cristoforo dall'",,,
11,"Adam, James",,,
12,"Adam, Robert",,,
13,"Adam, Robert",,and G. Albrizzi,
14,"Adami, Luigi",,,
15,"Adami, Luigi",,collection of portraits of distinguished men,
16,"Adamo, Giovanni",,,
17,"Adda, Cardinal d'",,,
18,"Agucchi, Giovanni Battista",,,
19,"Aix-la-Chapelle, Peace of",,,
20,"Albani, Cardinal Annibale",,,
21,"Albani, Francesco",,,
22,"Albani, Gianfrancesco (Pope Clement XI)",,,
23,"Albergati-Capacelli, Francesco",,,
24,"Albrizzi, Almor¨°",,,
25,"Albrizzi, Giambattista",,,
26,"Albrizzi, Giambattista",,edition of works of Bossuet,
27,"Albrizzi, Giambattista",,employment of Piazzetta,
28,"Albrizzi, Giambattista",,Il Forestiere Illuminato,
29,"Albrizzi, Giambattista",,private collection,
30,"Albrizzi, Giambattista",,publication of gems in A. M. Zanetti's collection,
31,"Aldobrandini, Ippolito (Pope Clement VIII)",,,
32,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",,,
33,"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",,Titian Bacchanal and Worship of Venus,
34,Alexander VII,,"see under Chigi, Fabio",
35,Alexander VIII,,"see under Ottoboni, Pietro",
36,"Algardi, Alessandro",,,
37,"Algardi, Alessandro",,bust of Donna Olimpia Maidalchini,
38,"Algardi, Alessandro",,bust of Pope Innocent X,
39,"Algardi, Alessandro",,Hercules,
40,"Algardi, Alessandro",,Mazarin invitation to Paris,
41,"Algardi, Alessandro",,villa for Prince Camillo Pamfili,
42,"Algarotti, Bonomo",,,
43,"Algarotti, Francesco",,,
44,"Algarotti, Francesco",,allowance from Filippo Farsetti,
45,"Algarotti, Francesco",,and Canaletto,
46,"Algarotti, Francesco",,and Canaletto,commission of views of Grand Canal as Palladio might have designed it
47,"Algarotti, Francesco",,and Count Br¨¹hl,
48,"Algarotti, Francesco",,and Antonio Conti,
49,"Algarotti, Francesco",,and Frederick the Great,
50,"Algarotti, Francesco",,and Carlo Lodoli,
51,"Algarotti, Francesco",,and neo-Palladianism,
52,"Algarotti, Francesco",,attitude to Palladian architecture,
53,"Algarotti, Francesco",,and Piazzetta,
54,"Algarotti, Francesco",,and Tiepolo,
55,"Algarotti, Francesco",,and Tiepolo,"influence on Tiepolo, and Tiepolo's influence on"
56,"Algarotti, Francesco",,and Tiepolo,personal commissions to Tiepolo
57,"Algarotti, Francesco",,and Tiepolo,unfinished Tiepolo portrait of
58,"Algarotti, Francesco",,appraisal of Venetian artists,
59,"Algarotti, Francesco",,bequest to Elder Pitt,
60,"Algarotti, Francesco",,commissioning of architectural fantasies from P. Pesci and M. Tesi,
61,"Algarotti, Francesco",,conflict between his taste for fantasy and neo-classicism,
62,"Algarotti, Francesco",,dispersal of own collection,
63,"Algarotti, Francesco",,early tastes in painting,
64,"Algarotti, Francesco",,eclectic tastes,
65,"Algarotti, Francesco",,encouragement of foreign artists to study in Italy,
66,"Algarotti, Francesco",,family collection of pictures,
67,"Algarotti, Francesco",,in Berlin and Potsdam,
68,"Algarotti, Francesco",,in Bologna,
69,"Algarotti, Francesco",,interest in Newton's discoveries as applied to painting,
70,"Algarotti, Francesco",,letters from Rome,
71,"Algarotti, Francesco",,monument erected by Frederick the Great,
72,"Algarotti, Francesco",,Newtonianismo per le Dame,
73,"Algarotti, Francesco",,plan for extending Dresden gallery,
74,"Algarotti, Francesco",,plan for extending Dresden gallery,commissioning of works by living artists
75,"Algarotti, Francesco",,purchases of pictures for Augustus III,
76,"Algarotti, Francesco",,Saggio sopra la Pittura,
77,"Algarotti, Francesco",,scholarly approach to art,
78,"Algarotti, Francesco",,taste for the picturesque,
79,"Algarotti, Francesco",,temperament,
80,"Algarotti, Francesco",,temperament,homosexual tendencies
81,"Algarotti, Francesco",,views on the arts,
82,"Algarotti, Francesco",,visits to Paris and London,
83,"Algarotti, Francesco",,visits to Venice,
84,"Algarotti, Francesco",,visits to Venice,1743-5
85,"Algarotti, Francesco",,visits to Venice,1753
86,"Allegrini, Francesco",,,
87,"Altham, James",,,
88,Alticchiero (Querini villa),,,
89,"Altieri, Emilio (Pope Clement X)",,,
90,"Altieri, Emilio (Pope Clement X)",,financial difficulties,
91,"Altieri, Don Gasparo",,,
92,Altieri palace,Rome,,
93,"Amelot de la Houssaye, A. N.",,,
94,"Ameyden, Dirk",,,
95,"Ameyden, Dirk",,Relatione della citt¨¤ di Roma 1642,
96,"Amigoni, Jacopo",,,
97,"Amigoni, Jacopo",,Bathsheba,
98,"Amigoni, Jacopo",,Jupiter and Io,
99,"Amigoni, Jacopo",,Lot and his Daughters,
100,"Amigoni, Jacopo",,'Portrait of Farinelli',
101,"Amigoni, Jacopo",,portrait of Sigismund Streit,
102,"Amigoni, Jacopo",,Sacrifice of Isaac,
103,"Amigoni, Jacopo",,Solomon adoring the Idols,
104,"Amigoni, Jacopo",,work in England,
105,"Andreosi, Francesco",,,
106,"Andreosi, Francesco",,statue of Antenor for Pr¨¤ della Valle,
107,"Angeli, Filippo d' (Napoletano)",,,
108,"Angeli, Giuseppe",,,
109,"Angeloni, Francesco",,,
110,"Animuccia, Giovanni",,,
111,"Anne of Austria, Regent of France",,,
112,"Anne, Queen of England",,,
113,Anti-papal satire in reign of Alexander VII,,,
114,"Antonazzi, Antonio Maria",,,
115,"Aquaviva, Claudio",,,
116,"Arcadia, Society of",Rome,,
117,"Arconato, Galeazzo",,,
118,Ariosto,,,
119,Ariosto,,Orlando Furioso,
120,"Arlington, Lord",,,
121,"Armanni, G. A.",,,
122,"Armanni, Vincenzo",,,
123,"Arpino, Cavaliere d'",,,
124,"Arrighi-Landini, Orazio",,,
125,"Arrighi-Landini, Orazio",,Tempio della Filosofia,
126,Arrighini,,,
127,Art dealers,Rome,,
128,Art dealers,Venice,,
129,Art exhibitions,Florence,,
130,Art exhibitions,Florence,Grand Prince Ferdinand de' Medici and,
131,Art exhibitions,Rome,,
132,Art exhibitions,Rome,influence on trends of painting in the 17th century,
133,Art exhibitions,Rome,Pantheon,
134,Art exhibitions,Rome,S. Bartolommeo,
135,Art exhibitions,Rome,San Giovanni Decollato,
136,Art exhibitions,Rome,San Salvatore in Lauro,
137,Art exhibitions,Venice,,
138,Art exhibitions,Venice,Academy,
139,Art exhibitions,Venice,Piazza S. Marco,
140,Art exhibitions,Venice,Scuola di San Rocco,
141,"'Artistic temperament', development of concept",,,
142,"Artist's position in society, Andrea Memmo on",,,
143,"Artists, status of in 17th-century Rome",,,
144,"Arundel, Lord",,,
145,"Assereto, Gioacchino",,,
146,"Astalli (Pamfili), Camillo",,,
147,"Audran, Benoit",,,
148,"Augustus II of Poland (Frederick Augustus I, Elector of Saxony)",,,
149,"Augustus II of Poland (Frederick Augustus I, Elector of Saxony)",,patronage of Venetian artists,
150,"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",,,
151,"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",,F. Algarotti and,
152,"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",,and Rosalba Carriera,
153,"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",,Dresden Gallery,
154,"Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",,pictures from collections of Dukes of Modena,
155,"Azzolini, Cardinal",,,
