序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,'Baciccio',,"see under Gaulli, Giovanni Battista",
2,Bernardine Baccinelli,,Susanna,
3,"Bacon, Sir Francis",,,
4,"Baglione, Giovanni",,,
5,"Baglione, Giovanni",,Divine Love,
6,"Baglione, Giovanni",,Resurrection,
7,Baglioni collection,Venice,,
8,"Bagnara, Duchess of",,,
9,"Bagutti, Pietro Martire",,,
10,"Baines, Sir Thomas",,,
11,"Baker, Thomas",,,
12,"Balbi, Paolo Battista",,,
13,"Baldi, Lazzaro",,,
14,"Baldinucci, Filippo",,,
15,"Baldoini, Giovanni Gasparo",,,
16,"Balestra, Antonio",,,
17,"Balestra, Antonio",,Monument to William III (McSwiny's British Worthies),
18,"Balestrieri, Gabriele",,,
19,"Bambini, Niccolò",,,
20,"Bambini, Niccolò",,Triumph of Venice,
21,Bamboccianti,,,
22,Bamboccianti,,attacks on,
23,Bamboccianti,,contrast of content of paintings with actual social conditions,
24,Bamboccianti,,political and social implications of,
25,Bamboccianti,,prices for pictures,
26,Bamboccianti,,relations with Spanish party in Rome,
27,"Bandinelli, Baccio",,,
28,"Bandino, Cardinal",,,
29,"Baratta, Francesco",,,
30,"Barbarigo, Caterina",,,
31,"Barbarigo, Pietro",,,
32,"Barbaro, Antonio",,,
33,"Barbaro, Antonio",,and S. Maria del Giglio,
34,"Barberini, Cardinal Antonio (brother to Urban VIII) (Cardinal di S. Onofrio)",,,
35,"Barberini, Cardinal Antonio (nephew to Urban VIII)",,,
36,"Barberini, Cardinal Antonio (nephew to Urban VIII)",,contributions to Jesuit church of S. Andrea al Quirinale,
37,"Barberini, Cardinal Antonio (nephew to Urban VIII)",,despoiling of Urbino,
38,"Barberini, Cardinal Antonio (nephew to Urban VIII)",,Maratta portraits,
39,"Barberini, Cardinal Antonio (nephew to Urban VIII)",,'medieval joust',
40,"Barberini, Cardinal Antonio (nephew to Urban VIII)",,patronage of Andrea Sacchi,
41,"Barberini, Cardinal Antonio (nephew to Urban VIII)",,relations with France,
42,"Barberini, Carlo (brother to Urban VIII)",,,
43,"Barberini, Carlo (brother to Urban VIII)",,monuments to,
44,"Barberini, Carlo (brother to Urban VIII)",,purchase of Orsini and Colonna estates,
45,"Barberini, Carlo (brother to Urban VIII)",,synopsis of Machiavelli's Prince,
46,Barberini family,,,
47,"Barberini, Cardinal Francesco (nephew to Urban VIII)",,,
48,"Barberini, Cardinal Francesco (nephew to Urban VIII)",,admiration for French culture,
49,"Barberini, Cardinal Francesco (nephew to Urban VIII)",,altarpieces for St. Peter's,
50,"Barberini, Cardinal Francesco (nephew to Urban VIII)",,and Poussin,
51,"Barberini, Cardinal Francesco (nephew to Urban VIII)",,employment of Giovan Francesco Romanelli,
52,"Barberini, Cardinal Francesco (nephew to Urban VIII)",,flight to France,
53,"Barberini, Cardinal Francesco (nephew to Urban VIII)",,love of literature,
54,"Barberini, Cardinal Francesco (nephew to Urban VIII)",,purchase of Sforza palace and donation of it to Taddeo Barberini,
55,"Barberini, Cardinal Francesco (nephew to Urban VIII)",,visits to Paris and Madrid,
56,"Barberini, Monsignor Francesco (uncle to Urban VIII)",,,
57,"Barberini, Maffeo (Pope Urban VIII)",,,
58,"Barberini, Maffeo (Pope Urban VIII)",,alliance with France,
59,"Barberini, Maffeo (Pope Urban VIII)",,and devolution of Urbino,
60,"Barberini, Maffeo (Pope Urban VIII)",,and Jesuits,
61,"Barberini, Maffeo (Pope Urban VIII)",,and S. Maria della Concezione,
62,"Barberini, Maffeo (Pope Urban VIII)",,and St Peter's,
63,"Barberini, Maffeo (Pope Urban VIII)",,appointment as Apostolic Nunzio in Paris,
