序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Cadani, Stefano",,,
2,"Cadogan, Lord",,,
3,"Cagnacci, Guido",,,
4,"Cagnacci, Guido",,Magdalene,
5,Caime,,,
6,"Calandrucci, Giacinto",,,
7,"Callot, Jacques",,,
8,"Callot, Jacques",,Fiera dell' Impruneta,
9,"Camassei, Andrea",,,
10,"Camassei, Andrea",,God creating the Angels,
11,"Camassei, Andrea",,Parnassus,
12,"Camassei, Andrea",,work in Barberini palace,
13,"Cambiaso, Luca",,,
14,"Camerata, Giuseppe",,,
15,"Camerino, Giovanni Angelo da",,,
16,"Campanella, Tommaso",,,
17,"Campbell, Colen",,,
18,"Campbell, Colen",,Vitruvius Britannicus,
19,"Campione, Giovanni da",,,
20,"Canal, Fabio",,,
21,"Canal, Gerolamo",,,
22,"Canale, Procuratore",,,
23,Canaletto,,,
24,Canaletto,,and F. Algarotti,
25,Canaletto,,and F. Algarotti,view of Grand Canal as Palladio might have designed it
26,Canaletto,,and McSwiny,
27,Canaletto,,death,
28,Canaletto,,drawings of Ducal ceremonies for Furnaletto,
29,Canaletto,,Entry of the Comte de Gergy,
30,Canaletto,,Entry of the Count of Bolagno,
31,Canaletto,,Horses of St Mark's,
32,Canaletto,,paintings in Sigismund Streit's collection,
33,Canaletto,,paintings for English Grand Tourists,
34,Canaletto,,paintings for English Grand Tourists,views of Venice for Duke of Bedford
35,Canaletto,,paintings for English Grand Tourists,views of Venice for Earl of Carlisle
36,Canaletto,,paintings for English Grand Tourists,views of Venice for Sir Robert Hervey
37,Canaletto,,possible share in Monument to Lord Stanhope (McSwiny's British Worthies),
38,Canaletto,,prices,
39,Canaletto,,relations with and work for Consul Smith,
40,Canaletto,,relations with and work for Consul Smith,'caprices'
41,Canaletto,,relations with and work for Consul Smith,overdoors of Palladian buildings
42,Canaletto,,relations with and work for Consul Smith,pictures representing Grand Canal
43,Canaletto,,relations with and work for Consul Smith,resumption of work for Consul Smith ca 1740
44,Canaletto,,relations with and work for Consul Smith,series of 31 etchings dedicated to Consul Smith
45,Canaletto,,relations with and work for Consul Smith,views of Roman monuments
46,Canaletto,,relations with and work for Consul Smith,views of S. Marco
47,Canaletto,,Z. Sagredo and,
48,Canaletto,,share in Monument to Lord Somers (McSwiny's British Worthies),
49,Canaletto,,share in Monument to Archbishop Tillotson (McSwiny's British Worthies),
50,Canaletto,,view of Corfù for Marshal Schulenburg,
51,Canaletto,,Vigilia di S. Marta,
52,Canaletto,,Vigilia di S. Pietro,
53,Canaletto,,work in England,
54,Candiani,,,
55,"Canini, Giovanni Angelo",,,
56,Canons (Duke of Chandos),,,
57,"Canova, Antonio",,,
58,"Canova, Antonio",,bust of Paolo Renier,
59,"Canova, Antonio",,Ferrari statue of in Prà della Valle,
60,"Canova, Antonio",,portrait of Amadeo Swajer,
61,"Canova, Antonio",,statue of Marchese Poleni in Prà della Valle,
62,"Cappello, Antonio",,,
63,"Caprara, Marshal",,,
64,Capuchins,Venice,,
65,"Caraboli, Giacomo",,,
66,"Caracciolo, Giovanni Battista",,,
67,"Carandini, Count Camillo",,,
68,"Carandini, Marchesa Elisa",,,
69,"Caravaggio, Michelangelo da",,,
70,"Caravaggio, Michelangelo da",,and Vincenzo Giustiniani,
71,"Caravaggio, Michelangelo da",,Conversion of St Paul,
72,"Caravaggio, Michelangelo da",,Death of the Virgin,
73,"Caravaggio, Michelangelo da",,Earthly Love,
74,"Caravaggio, Michelangelo da",,Entombment of Christ,
75,"Caravaggio, Michelangelo da",,Martyrdom of St Peter,
76,"Caravaggio, Michelangelo da",,portrait of Maffeo Barberini,
77,"Caravaggio, Michelangelo da",,Sacrifice of Abraham,
78,"Caravaggio, Polidoro da",,,
79,"Carlevarijs, Luca",,,
80,"Carlevarijs, Luca",,Le Fabriche e Vedute di Venetia,
81,"Carlevarijs, Luca",,Entry of the Count of Colloredo,
82,"Carlevarijs, Luca",,Entry of Lord Manchester,
83,"Carlevarijs, Luca",,Regatta in honour of Frederick IV of Denmark,
84,"Carlisle, Earl of",,,
85,"Carlo, Ferrante",,,
86,"Carlone, Carlo",,,
87,"Carlone, Gianandrea",,,
88,Carmelites,Venice,,
89,"Caroselli, Angelo",,,
90,"Carpaccio, Vittore",,,
91,"Carpaccio, Vittore",,Scenes from Life of St Ursula,
92,"Carpegna, Count",,,
93,"Carpi, Ugo da",,,
94,"Carpio, Marchese Del",,,
95,"Carpio, Marchese Del",,and Bernini,
96,"Carpio, Marchese Del",,in Naples,
97,"Carpio, Marchese Del",,in Naples,reforms
98,"Carpio, Marchese Del",,in Rome,
99,"Carpio, Marchese Del",,in Rome,purchases from Massimi collection
100,"Carpioni, Giulio",,,
101,"Carracci, Annibale",,,
102,"Carracci, Annibale",,Beaneater,
103,"Carracci, Annibale",,drawings,
104,"Carracci, Annibale",,Lucretia,
105,"Carracci, Ludovico",,,
106,"Carriera, Rosalba",,,
107,"Carriera, Rosalba",,and Augustus III of Poland,
108,"Carriera, Rosalba",,influence on French painting,
109,"Carriera, Rosalba",,"journal, edited by Vianello",
110,"Carriera, Rosalba",,portrait of Emmanuela Conti,
111,"Carriera, Rosalba",,prices,
112,"Carriera, Rosalba",,Winter,
113,"Carriera, Rosalba",,work for Consul Smith,
114,"Carriera, Rosalba",,work in Paris,
115,"Cars, Laurence",,,
116,"Casanova de Seingalt, Jacques",,,
117,"Cassana, Giovanni Agostino",,,
118,"Cassana, Niccolò",,,
119,"Cassana, Niccolò",,as agent for Grand Prince Ferdinand,
120,"Cassana, Niccolò",,Bacchanal,
121,"Cassana, Niccolò",,Conspiracy of Catiline,
122,"Cassana, Niccolò",,paintings for Grand Prince Ferdinand,
123,"Cassana, Niccolò",,Portrait of a Cook,
124,"Cassana, Niccolò",,Portrait of a Hunter,
125,"Cassana, Niccolò",,Venus playing with Cupid,
126,"Castelli, Matteo",,,
127,"Castiglione, Giovanni Benedetto",,,
128,"Castiglione, Giovanni Benedetto",,drawings in Sagredo collection,
129,"Castiglione, Giovanni Benedetto",,importance of for 18th century,
130,"Castiglione, Giovanni Benedetto",,print of Diogenes,
131,"Castro, Jacomo di",,,
132,"Castro, First and Second Wars of",,,
133,"Catalano, Francesco",,,
134,Catherine the Great of Russia,,,
135,"Cattaneo, Giovanni de",,,
136,"Cavagna, Giampaolo",,,
137,Cavalieri di Santo Stefano,,,
138,"Cavallino, Bernardo",,,
139,"Cavazza, Conte",,,
140,"Caylus, Comte de",,,
141,Cebes,,,
142,Cebes,,The Table (Pinax),
143,"Celesti, Andrea",,,
144,"Celle, Georg Wilhelm Duke of",,,
145,"Cellini, Benvenuto",,,
146,"Cellini, Benvenuto",,Perseus,
147,"Celotti, Abate Luigi",,,
148,"Cerato, Abate",,,
149,"Ceresa, Carlo",,,
150,"Cerquozzi, Michelangelo",,,
151,"Cerquozzi, Michelangelo",,anti-heroic element,
152,"Cerquozzi, Michelangelo",,Arrival at the Palace (with Codazzi),
153,"Cerquozzi, Michelangelo",,battle pictures,
154,"Cerquozzi, Michelangelo",,collaboration with Codazzi,
155,"Cerquozzi, Michelangelo",,effect of patronage of Roman aristocracy,
156,"Cerquozzi, Michelangelo",,high prices for bambocciate,
157,"Cerquozzi, Michelangelo",,Revolt of Masaniello,
158,"Cerquozzi, Michelangelo",,situation after death of Urban VIII,
159,"Cerquozzi, Michelangelo",,Spanish associations,
160,"Cerquozzi, Michelangelo",,Women's Bath (with Codazzi),
161,"Cerquozzi, Michelangelo",,work for Cardinal Flavio Chigi,
162,"Ceruti, Giacomo",,,
163,"Cervelli, Federico",,,
164,"Cesi, Bishop Angelo",,,
165,"Cesi, Cardinal Pier Donato",,,
166,"Cesi, Prince Federico",,,
167,"Ceva, Cardinal",,,
168,"Champaigne, Philippe de",,,
169,"Chandos, Grey Brydges, 5th Lord",,,
170,"Chandos, Grey Brydges, 5th Lord",,Discourse of Rome,
171,"Chandos, Grey Brydges, 5th Lord",,Horae Subsecivae,
172,"Chandos, James Brydges, 1st Duke of",,,
173,"Chantelou, Paul-Fréart de",,,
174,"Chardin, Jean Baptiste Siméon",,,
175,Charles I of England,,,
176,Charles I of England,,attempts to get Italian artists to settle in England,
177,Charles I of England,,Bernini bust,
178,Charles I of England,,effort at rapprochement with Rome,
179,Charles I of England,,sale of pictures by Parliament,
180,Charles I of England,,Van Dyck triple portrait,
181,Charles II of England,,,
182,Charles II of Spain,,,
183,"Charles V, Holy Roman Emperor",,,
184,Charles XII of Sweden,,,
185,"Chi soffre, speri",,,
186,"Chiari, Giuseppe and Tommaso",,,
187,"Chiarini, Marcantonio",,,
188,"Chigi, Agostino 'il Magnifico'",,,
189,"Chigi, Agostino (nephew to Alexander VII)",,,
190,"Chigi, Fabio (Pope Alexander VII)",,,
191,"Chigi, Fabio (Pope Alexander VII)",,"building in Rome, during reign",
192,"Chigi, Fabio (Pope Alexander VII)",,conflict with Louis XIV,
193,"Chigi, Fabio (Pope Alexander VII)",,decline in patronage after death of,
194,"Chigi, Fabio (Pope Alexander VII)",,economic difficulties in reign,
195,"Chigi, Fabio (Pope Alexander VII)",,patronage of Bernini,
196,"Chigi, Cardinal Flavio (nephew to Pope Alexander VII)",,,
197,"Chigi, Cardinal Flavio (nephew to Pope Alexander VII)",,and Cerquozzi,
198,"Chigi, Cardinal Flavio (nephew to Pope Alexander VII)",,his voluptuousness,
199,"Chigi, Don Mario (brother to Pope Alexander VII)",,,
200,"Christina, Queen of Sweden",,,
201,"Christina, Queen of Sweden",,"and Paolo Giordano II Orsini, Duke of Bracciano",
202,"Christina, Queen of Sweden",,employment of Bellori,
203,"Christina, Queen of Sweden",,loan of pictures for exhibition at San Giovanni Decollato,
204,"Christina, Queen of Sweden",,pictures looted from Prague by Gustavus Adolphus,
205,Churches of religious orders,Rome,,
206,Churches,Bergamo,S. Paolo d'Argan,
207,Churches,Bergamo,Santa Maria Maggiore,
208,Churches,Este,Beata Vergine della Salute,
209,Churches,Florence,S. Gaetano,
210,Churches,Florence,S. Croce,
211,Churches,Padua,Arena chapel,
212,Churches,Paris,St Anne-la-Royale,
213,Churches,Rimini,Tempio Malatestiano,
214,Churches,Rome,Gesù,
215,Churches,Rome,Gesù,chapel of St Ignatius
216,Churches,Rome,Gesù,side-chapels
217,Churches,Rome,Madonna di Montesanto,
218,Churches,Rome,S. Agnese (Piazza Navona),
219,Churches,Rome,S. Andrea al Quirinale,
220,Churches,Rome,S. Andrea al Quirinale,documents about altarpieces by Brandi and Maratta
221,Churches,Rome,S. Andrea al Quirinale,Richeôme on
222,Churches,Rome,S. Andrea della Valle,
223,Churches,Rome,S. Bartolommeo (art exhibitions organised by Bergamasque community),
224,Churches,Rome,S. Bibiana,
225,Churches,Rome,S. Carlo ai Catinari,
226,Churches,Rome,S. Carlo alle Quattro Fontane,
227,Churches,Rome,S. Francesco da Paola,
228,Churches,Rome,S. Ignazio,
229,Churches,Rome,St John Lateran,
230,Churches,Rome,S. Lorenzo in Damaso,
231,Churches,Rome,S. Luigi dei Francesi,
232,Churches,Rome,S. Maria del Popolo,
233,Churches,Rome,S. Maria della Concezione,
234,Churches,Rome,S. Maria della Pace,
235,Churches,Rome,S. Maria della Vallicella (Chiesa Nuova),
236,Churches,Rome,S. Maria della Vittoria,
237,Churches,Rome,S. Maria Maggiore,
238,Churches,Rome,St Peter's,
239,Churches,Rome,St Peter's,altarpieces
240,Churches,Rome,St Peter's,Bernini Apostle's Chair
241,Churches,Rome,St Peter's,Bernini baldacchino
242,Churches,Rome,St Peter's,tomb of Alexander VII
243,Churches,Rome,St Peter's,Urban VIII and
244,Churches,Rome,S. Prassede,
245,Churches,Rome,S. Salvatore in Lauro,
246,Churches,Rome,S. Sebastiano,
247,Churches,Rome,S. Stefano Rotondo,
248,Churches,Rome,SS. Vincenzo ed Anastasio,
249,Churches,Rome,S. Vitale,
250,Churches,Rome,S. Vitale,Richeôme on
251,Churches,Rovigo,Tempio della Beata Vergine del Soccorso,
252,Churches,Venice,Madonna dell'Orto,
253,Churches,Venice,Pietà,
254,Churches,Venice,S. Aponal,
255,Churches,Venice,S. Basilio,
256,Churches,Venice,S. Canciano,
257,Churches,Venice,S. Giorgio Maggiore,
258,Churches,Venice,SS. Giovanni e Paolo,
259,Churches,Venice,S. Maria Assunta (Jesuit church),
260,Churches,Venice,S. Maria del Carmelo,
261,Churches,Venice,S. Maria del Giglio,
262,Churches,Venice,S. Maria del Rosario,
263,Churches,Venice,S. Maria di Nazareth (Scalzi church),
264,Churches,Venice,S. Matteo di Rialto,
265,Churches,Venice,S. Stae,
266,Churches,Venice,S. Tomà,
267,Churches,Venice,S. Vitale,
268,Churches,Venice,S. Zaccaria,
269,"Ciampelli, Agostino",,,
270,"Ciarpi, Baccio",,,
271,Cibo palace,Rome,,
272,Cicero,,,
273,"Cignani, Carlo",,,
274,"Cignani, Carlo",,"and S. Maria Maggiore, Bergamo",
275,"Cignani, Carlo",,Bacchanal,
276,"Cignani, Carlo",,cupola of Forli Cathedral,
277,"Cignani, Carlo",,Jupiter giving Suck,
278,"Cignani, Carlo",,St John the Baptist,
279,"Cignaroli, Giambettino",,,
280,"Cignaroli, Giambettino",,work for Labia,
281,"Cigoli, Ludovico",,,
282,"Cigoli, Ludovico",,Deposition,
283,"Cimaroli, Giovan Battista",,,
284,"Cimaroli, Giovan Battista",,share in McSwiny British Worthies,
285,"Cimaroli, Giovan Battista",,share in McSwiny British Worthies,Lord Dorset
286,"Cimaroli, Giovan Battista",,share in McSwiny British Worthies,Lord Somers
287,"Cimaroli, Giovan Battista",,share in McSwiny British Worthies,Archbishop Tillotson
288,"Cimaroli, Giovan Battista",,share in McSwiny British Worthies,William III
289,"Cimaroli, Giovan Battista",,share in McSwiny British Worthies,(possibly) Lord Stanhope
290,Cinelli,,,
291,"Città di Castello, Matteo da",,,
292,Claude Lorrain,,,
293,Claude Lorrain,,and Lorenzo Onofrio Colonna,
294,Claude Lorrain,,and Camillo Massimi,
295,Claude Lorrain,,and King of Spain,
296,Claude Lorrain,,and Pope Urban VIII,
297,Claude Lorrain,,Argus guarding Io,
298,Claude Lorrain,,Ascanius shooting the Stag of Sylvia,
299,Claude Lorrain,,Castel Gandolfo,
300,Claude Lorrain,,Coast View with Apollo and the Cumaean Sibyl,
301,Claude Lorrain,,Coast View with Perseus and the Origin of Coral,
302,Claude Lorrain,,Enchanted Castle,
303,Claude Lorrain,,Flight into Egypt,
304,Claude Lorrain,,Landing of Aeneas in Latium,
305,Claude Lorrain,,Landscape with the Flight into Egypt,
306,Claude Lorrain,,Landscape with Rural Dance,
307,Claude Lorrain,,payment,
308,Claude Lorrain,,Sacrifice to Apollo,
309,Claude Lorrain,,Santa Marinella,
310,Claude Lorrain,,Seaports,
311,Claude Lorrain,,Storm at Sea,
312,Claude Lorrain,,View of Delphi,
313,"Clemens August, Archbishop-Elector of Cologne",,,
314,"Clement, Abbé",,,
315,"Clement VIII, Pope",,"see under Aldobrandini, Ippolito",
316,"Clement IX, Pope",,"see under Rospigliosi, Giulio",
317,"Clement X, Pope",,"see under Altieri, Emilio",
318,"Clement XI, Pope",,"see under Albani, Gianfrancesco",
319,"Clement XII, Pope",,"see under Corsini, Lorenzo",
320,"Clement XIII, Pope",,"see under Rezzonico, Carlo",
321,Clerici Palace,Milan,,
322,"Clostermann, John",,,
323,"Cocchi, Ottavio",,,
324,"Cochin, Charles-Nicolas",,,
325,"Codazzi, Viviano",,,
326,"Codazzi, Viviano",,Arrival at the Palace (with Cerquozzi),
327,"Codazzi, Viviano",,Pool of Bethesda (with M. Spadaro),
328,"Codazzi, Viviano",,Woman taken in Adultery (with M. Spadaro),
329,"Codazzi, Viviano",,Women's Bath (with Cerquozzi),
330,"Coke, Mr",,,
331,"Colbert, Jean-Baptiste",,,
332,"Cole, Christian",,,
333,"Coli, Giovanni",,,
334,"Coli, Giovanni",,frescoes of Battle of Lepanto in Colonna palace,
335,"Colonna, Angelo Michele",,,
336,"Colonna, Anna",,,
337,"Colonna, Filippo",,,
338,"Colonna, Prince Francesco",,,
