序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Damini, Vincenzo",,,
2,"Dandini, Pietro",,,
3,Dante,,,
4,Daphnis and Chloe,,,
5,"Dardani, Antonio",,,
6,"Dardani, Antonio",,Apotheosis of Aeneas (with Rambaldi),
7,"Dartmouth, Lord",,,
8,"Dati, Carlo",,,
9,"Daun, Count",,,
10,"Daun, Count",,introduction of Neapolitan painting into Central Europe,
11,"Daun, Count",,palace in Vienna,
12,"David, Ludovico",,,
13,"David, Ludovico",,Adoration of the Magi,
14,"David, Ludovico",,"and S. Maria Maggiore, Bergamo",
15,"David, Ludovico",,Flight into Egypt,
16,"David, Ludovico",,Nativity,
17,"den Einden, Ferdinand van",,,
18,"den Einden, Jan van",,,
19,"den Hecke, Jan van",,,
20,"der Bos, Gerard van",,,
21,"Devonshire, Duke of",,,
22,"Diderot, Denis",,,
23,"Dietrich, Christian",,,
24,"Dingley, Robert",,,
25,"Diziani, Gaspare",,,
26,"Dolci, Carlo",,,
27,"Dolci, Carlo",,Flight into Egypt,
28,"Dolfin, Caterina",,,
29,"Dolfin, Daniele (Archbishop of Udine)",,,
30,"Dolfin, Daniele III",,,
31,"Dolfin, Daniele IV",,,
32,"Dolfin, Dionisio",,,
33,Dolfin family,Venice,,
34,Dolfin family,Venice,patronage of Tiepolo,
35,Domenichino (Domenico Zampieri),,,
36,Domenichino (Domenico Zampieri),,and Cardinal Scipione Borghese,
37,Domenichino (Domenico Zampieri),,and Cardinal Ludovisi,
38,Domenichino (Domenico Zampieri),,and Count of Monterey,
39,Domenichino (Domenico Zampieri),,frescoes in Naples cathedral,
40,Domenichino (Domenico Zampieri),,Hunt of Diana,
41,Domenichino (Domenico Zampieri),,payments,
42,Domenichino (Domenico Zampieri),,tribune of S. Andrea della Valle,
43,Domenichino (Domenico Zampieri),,work in S. Carlo ai Catinari,
44,Dominicans,Venice,,
45,"Dominici, Bernardo de",,,
46,"Doni, Giovanni Battista",,,
47,"Dorigny, Louis",,,
48,"Dorigny, Louis",,work for Manin,
49,"Douglas, Hamilton, Marquis of",,,
50,Dresden,,,
51,"Dubois, Ambrose",,,
52,"Dughet, Gaspard (Gaspard Poussin)",,,
53,"Dughet, Jean",,,
54,"Dupuy, Christophe",,,
55,"Duquesnoy, François",,,
56,"Durazzo, Marchese Girolamo",,,
57,"Dürer, Albrecht",,,
58,Dusseldorf,,,
59,Dutch artists,Rome,,
60,"Duyvelant, Jacques",,,
61,"Dyck, Sir Anthony Van",,,
62,"Dyck, Sir Anthony Van",,Crucifixion,
63,"Dyck, Sir Anthony Van",,paintings of St Ignatius and St Francis Xavier,
64,"Dyck, Sir Anthony Van",,portrait of Cardinal Bentivoglio,
65,"Dyck, Sir Anthony Van",,St Sebastian,
66,"Dyck, Sir Anthony Van",,Susanna and the Elders,
67,"Dyck, Sir Anthony Van",,triple portrait of Charles I,
