序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Fabriano, Gentile da",,,
2,"Facciolati, Abate",,,
3,"Falcone, Aniello",,,
4,"Faldoni, Giovanni Antonio",,,
5,"Fanelli, Francesco",,,
6,"Fanelli, Francesco",,bust of Charles I,
7,"Fanelli, Francesco",,bust of Charles II when Prince of Wales,
8,Fantasy and reason,,18th century discussion of roles in creation,
9,"Fanti, Gaetano",,,
10,"Fanzago, Cosimo",,,
11,"Farnese, Cardinal Alessandro",,,
12,"Farnese, Odoardo, Duke of Parma",,,
13,"Farnese, Ranuccio II, Duke of Parma",,,
14,"Farnese, Ranuccio II, Duke of Parma",,and Gesù,
15,Farnese Palace,Rome,,
16,"Farsetti, Anton Francesco",,,
17,"Farsetti, Daniele",,,
18,"Farsetti, Filippo",,,
19,"Farsetti, Filippo",,and Canova,
20,"Farsetti, Filippo",,and Carlo Lodoli,
21,"Farsetti, Filippo",,collection of casts from antique statues,
22,"Farsetti, Filippo",,collection of paintings,
23,"Farsetti, Filippo",,country house at S. Maria di Sala,
24,"Farsetti, Filippo",,gardens,
25,"Farsetti, Filippo",,interest in contemporary arts,
26,"Farsetti, Filippo",,Palazzo Farsetti,
27,"Farsetti, Filippo",,promotion of Venetian neo-classicism,
28,"Farsetti, Filippo",,sale of collections,
29,"Farsetti, Tommaso Giuseppe",,,
30,"Fedini, Domenico",,,
31,"Félibien, André",,,
32,"Ferdinand Maria, Elector of Bavaria",,,
33,Ferrara,,,
34,Ferrara,,Archbishop's Palace,
35,Ferrara,,Bentivoglio and,
36,"Ferrari, Giovanni",,,
37,"Ferrari, Gregorio de",,,
38,"Ferrata, Ercole",,,
39,"Ferrerio, Andrea",,,
40,"Ferrerio, Andrea",,Vigilance,
41,"Ferrerio, Andrea",,"work in Archbishop's Palace, Ferrara",
42,"Ferretti, Gian Domenico",,,
43,"Ferri, Ciro",,,
44,"Ferri, Ciro",,payments,
45,"Ferri, Ciro",,modello for cupola of S. Agnese,
46,"Ferri, Ciro",,work for Louis XIV,
47,"Ferri, Ciro",,"work in S. Maria Maggiore, Bergamo",
48,"Festari, Girolamo",,,
49,"Feti, Domenico",,,
50,"Fiammeri, Giovanni Battista",,,
51,"Fielding, Henry",,,
52,"Filomarino, Cardinal",,,
53,"Finch, John",,,
54,"Finelli, Giuliano",,,
55,"Fiori, Mario de' (Mario Nuzzi)",,,
56,Flemish artists in Rome,,,
57,Florence,,,
58,Florence,,as centre of opposition to classical-academic theories under Grand Prince Ferdinand,
59,"Foggini, Giovan Battista",,,
60,"Fontana, Carlo",,,
61,"Fontana, Domenico",,,
62,"Fontana, Conte Francesco",,,
63,"Fontebasso, Francesco",,,
64,"Fontebasso, Francesco",,Elijah carried to Heaven,
65,"Fontebasso, Francesco",,Three Angels visiting Abraham,
66,Fontenelle,,,
67,Fontenelle,,Eloge in Tombeaux des Princes,
68,"Forabosco, Girolamo",,,
69,"Foscarini, Marco",,,
70,"Foscarini, Marco",,library,
71,"Foscarini, Marco",,opposition to Angelo Querini,
72,"Foscarini, Pietro",,,
73,Foscarini family,Venice,,
74,Foscarini family,Venice,wealth of,
75,Foscarini palace,,,
76,"Fountaine, Sir Andrew",,,
77,"Fountaine, Sir Andrew",,Narford Hall,
78,"Fouquet, Nicolas",,,
79,"Fragonard, Jean Honoré",,,
80,"Francavilla, Pietro",,,
81,"Francavilla, Pietro",,fountain of Orpheus enchanting the wild beasts,
82,"Franceschini, Baldassare",,,
83,"Franceschini, Baldassare",,Fame carrying the Name of Louis XIV to the Temple of Immortality,
84,"Franceschini, Baldassare",,La Burla del Pievano Arlotto,
85,"Franceschini, Marcantonio",,,
86,"Franceschini, Marcantonio",,letters relating to commission from Stefano Conti,
87,"Franceschini, Marcantonio",,Mercury awaking Aeneas,
88,"Franceschini, Marcantonio",,The Three Graces,
89,"Franceschini, Marcantonio",,Venus,
90,"Franchi, Antonio",,,
91,François I of France,,,
92,"Fratta, D. M.",,,
93,Frederick III (Holy Roman Emperor),,,
94,Frederick IV of Denmark,,,
95,"Frederick Augustus I, Elector of Saxony",,see under Augustus II of Poland,
96,"Frederick Augustus II, Elector of Saxony",,see under Augustus III of Poland,
97,Frederick the Great,,,
98,Frederick the Great,,and F. Algarotti,
99,French Academy in Rome,,,
100,French hostility to Italian art in the 17th century,,,
101,French patronage,,,
102,French patronage,,in 17th century,
103,French patronage,,of Venetian artists in 18th century,
104,"Frescobaldi, Gerolamo",,,
105,"Fumiani, Giannantonio",,,
106,"Fumiani, Giannantonio",,and Grand Prince Ferdinand,
107,"Fumiani, Giannantonio",,Christ driving the Jews from the Temple,
108,"Fumiani, Giannantonio",,Stoning of Zechariah,
109,"Furlani, Ventura",,,
110,"Furnaletto, Lodovico",,,
