序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Gabbiani, Anton Domenico",,,
2,"Gabbiani, Anton Domenico",,and Grand Prince Ferdinand,
3,"Gabbiani, Anton Domenico",,Flight into Egypt,
4,"Gabrieli, Lodovico",,,
5,"Gabburri, Francesco",,,
6,"Gagliardi, Bernardino",,,
7,"Gai, Antonio",,,
8,"Galeotti, Sebastiano",,,
9,"Galgario, Fra (Vittore Ghislandi)",,,
10,"Galiani, Abate",,,
11,"Galiani, Abate",,della Moneta,
12,"Galilei, Alessandro",,,
13,"Galilei, Galileo",,,
14,"Galilei, Galileo",,and Ludovico Cigoli,
15,"Galilei, Galileo",,Dialogo,
16,"Galilei, Galileo",,views on painting,
17,"Gallacini, Teofilo",,,
18,"Gallacini, Teofilo",,Trattato sopra gli errori degli architetti,
19,"Galli, Agnolo",,,
20,"Galli-Bibiena, Ferdinando",,,
21,"Gambarini, Giuseppe",,,
22,"Garganego, Girolamo",,,
23,"Garzi, Luigi",,,
24,"Gaudenzi, Paganino",,,
25,"Gaulli, Giovanni Battista (Baciccio)",,,
26,"Gaulli, Giovanni Battista (Baciccio)",,Adoration of the Lamb,
27,"Gaulli, Giovanni Battista (Baciccio)",,Death of St Francis Xavier,
28,"Gaulli, Giovanni Battista (Baciccio)",,Duplex Intercessio,
29,"Gaulli, Giovanni Battista (Baciccio)",,fresco in nave of Gesù,
30,"Gaulli, Giovanni Battista (Baciccio)",,payment,
31,"Gaulli, Giovanni Battista (Baciccio)",,work in Gesù,
32,"Gavasetti, Camillo",,,
33,"Gay, John",,,
34,Gazzeta Veneta,,,
35,"Gennari, Benedetto",,,
36,"Gennari, Benedetto",,Danaë,
37,"Gennari, Benedetto",,Elizabeth Felton as Cleopatra,
38,"Gennari, Giuseppe",,,
39,Genoa,,,
40,Genoa,,aristocracy,
41,"Genovesi, Antonio",,,
42,"Gentileschi, Artemisia",,,
43,"Gentileschi, Orazio",,,
44,"Gentileschi, Orazio",,Public Felicity triumphant over Dangers,
45,"Gentileschi, Orazio",,work for Charles I,
46,"Gentileschi, Orazio",,work for Marie de Medici,
47,"Geoffrin, Mme",,,
48,"George I, King of England",,,
49,"George III, King of England",,,
50,"Gerbault, Francesco",,,
51,"Gerini, Marchese Andrea",,,
52,German patronage,,,
53,German patronage,,in 17th century,
54,German patronage,,of Venetian artists in 18th century,
55,"German princes, taste in art",,,
56,"German princes, taste in art",,preoccupation with erotic,
57,"Gesualdo, Cardinal",,,
58,Gesuati,Venice,,
59,Gesuati,Venice,hostility to Jesuits,
60,"Gherardi, Antonio",,,
61,"Gherardi, Filippo",,,
62,"Gherardi, Filippo",,frescoes of Battle of Lepanto in Colonna palace,
63,"Gherardi, Abate Pietro Ercole",,,
64,"Gherardini, Alessandro",,,
65,"Ghezzi, Giuseppe",,,
66,"Ghibbesio, Jacopo",,,
67,"Ghisolfi, Giovanni",,,
68,Giambologna,,,
69,Giambologna,,equestrian statue of Henri IV,
70,Giambologna,,Mercury,
71,"Giampiccoli, Giuliano",,,
72,"Giannone, Pietro",,,
73,"Giaquinto, Corrado",,,
74,"Gibbon, Edward",,,
75,"Gibbons, Grinling",,,
76,"Gigli, Giacinto",,,
77,"Gimignani, Lodovico",,,
78,"Gini, Onorato",,,
79,"Ginnasi, Cardinal",,,
80,"Giordano, Luca",,,
81,"Giordano, Luca",,admirers in Venice,
82,"Giordano, Luca",,and Gaspar Roomer,
83,"Giordano, Luca",,and del Rosso family,
84,"Giordano, Luca",,Crossing of the Red Sea,
85,"Giordano, Luca",,Death of Seneca,
86,"Giordano, Luca",,"frescoes in Palazzo Riccardi, Florence",
87,"Giordano, Luca",,Hebrew Women singing after crossing the Red Sea,
88,"Giordano, Luca",,Jezebel torn to pieces by Dogs,
89,"Giordano, Luca",,"paintings in Corsini chapel in Carmine, Florence",
90,"Giordano, Luca",,"paintings in Labia collection, Venice",
91,"Giordano, Luca",,Perseus and Andromeda,
92,"Giordano, Luca",,Sophronia and Olindo,
93,"Giordano, Luca",,work in Spain,
94,"Giordano, Luca",,"work in S. Maria Maggiore, Bergamo",
95,"Giordano, Luca",,"work in S. Maria Maggiore, Bergamo",payment
96,Giorgione,,,
97,Giorgione,,Tempest,
98,"Giori, Angelo",,,
99,Giotto,,,
100,Giovanelli collection,Venice,,
101,"Girardon, François",,,
102,Giulio Romano,,,
103,"Giustiniani, Andrea",,,
104,"Giustiniani, Benedetto",,,
105,Giustiniani family,Venice,,
106,"Giustiniani, Girolamo Ascanio",,,
107,"Giustiniani, Abbate Michele",,,
108,"Giustiniani, Marchese Vincenzo",,,
109,"Giustiniani, Marchese Vincenzo",,and Caravaggio,
110,"Giustiniani, Marchese Vincenzo",,publication of volumes illustrating ancient sculptures in collection,
111,"Giustiniani, Marchese Vincenzo",,views on art,
112,"Gloucester, William Henry, 1st Duke of",,,
113,"Goldoni, Carlo",,,
114,"Goldoni, Carlo",,admiration of Pietro Longhi,
115,"Goldoni, Carlo",,dedication of Il Filosofo Inglese to Consul Smith,
116,"Goldoni, Carlo",,Il Frappatore,
117,"Goldoni, Carlo",,Memoirs,
118,"Goldoni, Carlo",,Pasquali edition of works,
119,"Goldoni, Carlo",,Zatta edition of works,
120,Gondi palace,Paris,,
121,Gonzaga,,"see under Mantua, Dukes of",
122,"Gonzalez, Tirso",,,
123,"Gori, A. F.",,,
124,"Gori, A. F.",,Museum Etruscum,
125,"Goya, Francisco",,,
126,"Gozadini, Bonisezio",,,
127,"Gozzadini, Cardinal",,,
128,"Gozzi, Carlo",,,
129,"Gozzi, Gasparo",,,
130,"Gozzi, Gasparo",,articles on Pietro Longhi,
131,"Gozzi, Gasparo",,on social value of painting,
132,"Gozzi, Gasparo",,support for Giorgio Pisani,
133,"Gozzi, Gasparo",,views on art,
134,"Grande, Antonio del",,,
135,"Grassi, Orazio",,,
136,Grassi collection,Venice,,
137,Grassi family,Venice,,
138,"Graziani, Ercole",,,
139,Gregory XIII,,"see under Boncampagni, Ugo",
140,Gregory XV,,"see under Ludovisi, Alessandro",
