序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Haen, David de",,,
2,"Halifax, Earl of",,,
3,"Hamen, Juan van der",,,
4,"Handel, George Frederick",,,
5,Hapsburg collections from Prague,,,
6,Hapsburg patronage of Venetian artists,,,
7,"Harley, Robert",,"see under Oxford, Earl of",
8,"Harrach, Count",,,
9,"Harris, Enriqueta",,,
10,"Helmbrecker, Theodor",,,
11,Henri III of France,,,
12,Henri IV of France,,,
13,"Henrietta Maria, Queen of England",,,
14,"Hervey, Sir Robert",,,
15,"Hervey, Lord",,,
16,"Hildebrandt, Lucas von",,,
17,"Hill, Samuel",,,
18,"Hogarth, William",,,
19,"Honthorst, Gerrit van",,,
20,Horace,,,
21,"Houdon, Jean-Antoine",,,
22,"Houdon, Jean-Antoine",,busts of Voltaire and Rousseau,
23,"Huber, Jean",,,
24,"Huber, Jean",,engraving of head of Voltaire,
25,"Hume, A.",,,
