序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Ignatius, St",,,
2,Illustrated books,Venice,published in 18th century,
3,Imago primi saeculi,,,
4,"Imperiali, Francesco",,,
5,Indecency and the erotic,,,
6,Indecency in art,,attempts to suppress in reign of Pope Innocent XI,
7,"Innocent X, Pope",,"see under Pamfili, Giambattista",
8,"Innocent XI, Pope",,"see under Odescalchi, Benedetto",
9,"Innocent XII, Pope",,"see under Pignatelli, Antonio",
10,"Innocent XIII, Pope",,"see under Conti, Michelangelo",
11,"Isham, Sir Thomas",,,
