序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Jabach, Everard",,,
2,James II of England,,,
3,James III of England,,,
4,Jesuits,,,
5,Jesuits,,characteristics of their art,
6,Jesuits,Rome,,
7,Jesuits,Venice,,
8,Jesuits,Venice,hostility of Gesuati,
9,Johann Georg III of Saxony,,,
10,"Johann Wilhelm, Elector Palatinate",,,
11,"Johann Wilhelm, Elector Palatinate",,and Pellegrini,
12,"Johann Wilhelm, Elector Palatinate",,"Flemish, Dutch, and Italian old masters in collection",
13,"Johann Wilhelm, Elector Palatinate",,patronage of Dutch artists,
14,"Johann Wilhelm, Elector Palatinate",,patronage of Italian artists,
15,"Johann Wilhelm, Elector Palatinate",,taste in painting,
16,"Johann Wilhelm, Elector Palatinate",,Van Dyck and Rubens paintings in collection,
17,"John Sobieski, King of Poland",,,
18,"Johnson, Samuel",,,
19,"Joli, Antonio",,,
20,"Jones, Inigo",,,
21,Julian the Apostate,,,
22,Justinus,,,
23,Justus of Ghent,,,
24,"Juvarra, Filippo",,,
25,"Juvarra, Filippo",,as artistic director in Turin,
26,"Juvarra, Filippo",,scheme for decorating Royal Palace in Madrid,
27,"Killigrew, Thomas",,,
