序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"La Fosse, Charles de",,,
2,La Harpe,,,
3,La Harpe,,Il Filosofo dell'Alpi,
4,"La Tour, Georges de",,,
5,"La Vrillière, Louis Phélipeaux de",,,
6,Labia collection,Venice,,
7,Labia family,Venice,,
8,"Labia, Maria",,,
9,"Laer, Pieter Van",,,
10,"Laer, Pieter Van",,Landscape with Figures and Animals,
11,"Laer, Pieter Van",,prices,
12,"Laer, Pieter Van",,St Eustace Hunting,
13,"Lancellotti, Abate",,,
14,"Lancellotti, Abate",,L'Hoggidi,
15,"Landi, Stefano",,,
16,"Landscapes, varying reactions to",,in Rome and Venice,
17,"Lanfranco, Giovanni",,,
18,"Lanfranco, Giovanni",,dome of S. Andrea della Valle,
19,"Lanfranco, Giovanni",,payments,
20,"Lanfranco, Giovanni",,work for Monterey,
21,"Langetti, Giovanni Battista",,,
22,"Laparelli, Annibale",,,
23,"Lattre, Pierre de",,,
24,"Lauri, Filippo",,,
25,"Law, John",,,
26,"Lazzarini, Gregorio",,,
27,"Lazzarini, Gregorio",,Battle of Aeneas and Mezentius,
28,"Lazzarini, Gregorio",,Capture of Syracuse with the Death of Archimedes,
29,"Lazzarini, Gregorio",,Cincinnatus summoned from the Plough,
30,"Lazzarini, Gregorio",,Death of Dido,
31,"Lazzarini, Gregorio",,triumphal arch for Francesco Morosini,
32,"Lazzarini, Gregorio",,"work for S. Paolo d'Argan, Bergamo",
33,"LeBlon, Jakob Christoffel",,,
34,"Le Brun, Charles",,,
35,"Le Nain, Louis",,,
36,"Le Vau, Louis",,,
37,"Legros, Pierre",,,
38,"Legros, Pierre",,Assumption of the Blessed Luigi Gonzaga,
39,"Legros, Pierre",,Religion triumphing over Heresy,
40,"Legros, Pierre",,St Stanislas Kostka,
41,"Lelli, Ercole",,,
42,"Lely, Sir Peter",,,
43,"Lemaire, Jean",,,
44,"Lena, Eusebio della",,,
45,"Lena, Abate Giacomo della",,,
46,"Lena, Abate Giacomo della",,on F. Guardi,
47,"Lena, Innocenzo della",,,
48,Leonardo da Vinci,,,
49,Leonardo da Vinci,,Leda and the Swan,
50,Leonardo da Vinci,,St John the Baptist,
51,Leonardo da Vinci,,Trattato della pittura,
52,"Leoni, Giacomo",,,
53,"Leoni, Ottavio",,,
54,"Leoni, Ottavio",,"etching of Paolo Giordano Orsini, Duke of Bracciano",
55,"Leopold I, Grand Duke of Tuscany",,,
56,"Leopold I, Holy Roman Emperor",,,
57,"Leopold Wilhelm, Archduke",,,
58,"Letterini, Bartolommeo",,,
59,"Liberi, Pietro",,,
60,"Liberi, Pietro",,"Rood, The",
61,"Liberi, Pietro",,indecency of paintings,
62,"Liberi, Pietro",,"contract for work in S. Maria Maggiore, Bergamo",
63,"Liechtenstein, Prince Wenzel of",,,
64,Liechtenstein family,,,
65,Liechtenstein family,,"town palace, Vienna",
66,"Ligari, Gian Pietro",,,
67,"Locatelli, Andrea",,,
68,"Locke, John",,,
69,"Lodoli, Padre Carlo",,,
70,"Lodoli, Padre Carlo",,and F. Algarotti,
71,"Lodoli, Padre Carlo",,Apologhi,
72,"Lodoli, Padre Carlo",,Elementi dell'architettura lodoliana (Memmo),
73,"Lodoli, Padre Carlo",,ideas on education,
74,"Lodoli, Padre Carlo",,A. Memmo and,
75,"Lodoli, Padre Carlo",,portraits by Nazari and A. Longhi,
76,"Lodoli, Padre Carlo",,A. Querini and,
77,"Lodoli, Padre Carlo",,school,
78,"Lodoli, Padre Carlo",,views on architecture,
79,"Lodoli, Padre Carlo",,views on painting,
80,London,,Venetian artists in,
81,"Longhena, Baldassare",,,
82,"Longhi, Alessandro",,,
83,"Longhi, Alessandro",,portrait of Carlo Lodoli,
84,"Longhi, Alessandro",,portrait of G. M. Sasso,
85,"Longhi, Martino, the Elder",,,
86,"Longhi, Martino, the Younger",,,
87,"Longhi, Pietro",,,
88,"Longhi, Pietro",,Carlo Goldoni and,
89,"Longhi, Pietro",,Fall of the Giants,
90,"Longhi, Pietro",,Gasparo Gozzi and,
91,"Longhi, Pietro",,paintings in collection of Teodoro Correr,
92,"Longhi, Pietro",,"two conversations, Mr Murray and family",
93,"Longo, Antonio",,,
94,"Lorca, Bernardino",,,
95,"Loredan, Antonio",,,
96,"Loredan, Pietro",,,
97,"Lorenzi, Francesco",,,
98,Lorenzini,,,
99,"Lorrain, Claude",,see under Claude,
100,"Lorraine, Duke of",,,
101,"Loth, Johann Karl",,,
102,"Loth, Johann Karl",,and Grand Prince Ferdinand,
103,"Loth, Johann Karl",,Death of Abel,
104,Lot and his Daughters,,,
105,Louis XIII,,,
106,Louis XIV,,,
107,Louis XV,,,
108,"Louisa Ulrika, Queen of Sweden",,,
109,Louvre,,,
110,Louvre,,Bernini plans for,
111,"Lovisa, Domenico",,,
112,"Lovisa, Domenico",,Il Gran Teatro delle Pitture e Prospettive di Venezia,
113,Lucca,,,
114,"Ludovisi, Alessandro (Pope Gregory XV)",,,
115,"Ludovisi, Ludovico (nephew to Pope Gregory XV)",,,
116,"Ludovisi, Ludovico (nephew to Pope Gregory XV)",,and S. Andrea della Valle,
117,"Ludovisi, Ludovico (nephew to Pope Gregory XV)",,and S. Ignazio,
118,"Ludovisi, Ludovico (nephew to Pope Gregory XV)",,patronage of Domenichino,
119,"Luti, Benedetto",,,
120,"Luxembourg, Palais du",,,
121,"Lyss, Jan",,,
