序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Maccarani, Paolo",,,
2,Machiavelli,,,
3,Machiavelli,,Prince,
4,"McSwiny, Owen",,,
5,"McSwiny, Owen",,and Canaletto,
6,"McSwiny, Owen",,and Joseph Smith,
7,"McSwiny, Owen",,plan for engraving of Van Dyck portraits,
8,"McSwiny, Owen",,series of commemorative paintings of British worthies,
9,"McSwiny, Owen",,series of commemorative paintings of British worthies,artists employed
10,"McSwiny, Owen",,series of commemorative paintings of British worthies,Venetian artists
11,"McSwiny, Owen",,To the Ladies and Gentlemen of Taste,
12,"McSwiny, Owen",,Tombeaux des Princes,
13,Macerata,,,
14,Macerata,,Buonaccorsi palace,
15,"Maderno, Carlo",,,
16,"Maderno, Carlo",,facade of St Peter's,
17,"Maderno, Carlo",,plans for Barberini palace,
18,"Maderno, Carlo",,work on S. Andrea della Valle,
19,Madrid,,,
20,Madrid,,Palace of the Alcazar,
21,Madrid,,Palace of Buen Retiro,
22,Madrid,,Royal Palace,
23,"Madrid, Venetian artists in",,,
24,"Maffei, Francesco",,,
25,"Maffei, Scipione",,,
26,"Magalotti, Cardinal Lorenzo",,,
27,"Maggiotto, Francesco",,,
28,"Maggiotto, Francesco",,Considerazioni elettriche,
29,"Maggiotto, Francesco",,Good Inclinations leading a Youth to Knowledge,
30,"Magnasco, Alessandro",,,
31,"Magni, Pietro",,,
32,"Mahon, Denis",,,
33,"Maidalchini, Francesco",,,
34,"Maidalchini, Donna Olimpia",,,
35,"Maidalchini, Donna Olimpia",,Algardi bust,
36,"Maidalchini, Donna Olimpia",,Velasquez portrait,
37,"Malebranche, Nicolas de",,,
38,"Malpighi, Marcello",,,
39,"Malvasia, Carlo Cesare",,,
40,"Malvasia, Carlo Cesare",,Felsina Pittrice,
41,"Manaigo, Silvestro",,,
42,"Manchester, Lord",,,
43,"Manchester, Lord",,mansions in Arlington Street and at Kimbolton,
44,"Mancini, Francesco",,,
45,"Mancini, Giulio",,,
46,"Mancini, Giulio",,Considerazioni sulla Pittura,
47,"Mancini, Maria",,,
48,"Mander, Carel van",,,
49,"Manfredi, Eustachio",,,
50,"Manfrin, Girolamo",,,
51,"Manfrin, Girolamo",,collection,
52,"Manfrin, Girolamo",,competitions for painters,
53,"Manfrin, Girolamo",,letter to Pietro Edwards concerning formation of picture gallery,
54,Mannerist painting,,,
55,"Manin, Doge Lodovico",,,
56,Manin country house,Passeriano,,
57,Manin family,Venice,,
58,Manin palace,Venice,,
59,"Mansart, François",,,
60,"Mantegna, Andrea",,,
61,"Mantua, Ferdinando, Duke of",,,
62,"Mantua, Ferdinando Carlo, Duke of",,,
63,"Mantua, Marquis of",,,
64,"Maratta, Carlo",,,
65,"Maratta, Carlo",,and Altieri palace,
66,"Maratta, Carlo",,Allegory of Clemency,
