序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Nadal, Jerome",,,
2,Naples,,,
3,Naples,,feudal landowners,
4,"Napoletano, Filippo",,"see under Angeli, Filippo d'",
5,"Nappi, P. Gerolamo",,,
6,Nationalism and art,,,
7,"Naudé, Gabriel",,,
8,"Nazari, Bartolommeo",,,
9,"Nazari, Bartolommeo",,Portrait of Carlo Lodoli,
10,"Neapolitan painting, diffusion of",,,
11,"Negri, Paolo",,,
12,"Negri, Pietro",,,
13,"Negroni, Cardinal Giovan Francesco",,,
14,"Negroni, Cardinal Giovan Francesco",,and chapel of St Francis Xavier,
15,Nepotism in Rome,,,
16,"Neri, Vincenzo",,,
17,"Neumann, Balthasar",,,
18,"Newcastle, William Cavendish, Duke of",,,
19,"Newcastle, Thomas Pelham-Holles, Duke of",,,
20,"Newton, Sir Isaac",,,
21,"Nickel, Goswin",,,
22,"Nicolson, Benedict",,,
23,"Noailles, Maréchal de",,,
24,"Nogari, Giuseppe",,,
25,"Nogari, Giuseppe",,Allegories of Education,
26,"Nogari, Giuseppe",,Old Man with a Pipe and Tobacco Pouch,
27,"Nogari, Giuseppe",,Old Woman with Glasses,
28,"Nogari, Giuseppe",,teste di fantasia,
29,"Nollet, Abbé",,,
30,"Nomé, François ('Monsù Desiderio')",,,
31,"Nomé, François ('Monsù Desiderio')",,Babylon,
32,"Nomé, François ('Monsù Desiderio')",,Temple of Solomon,
33,"Non, Dominique De (Dominique Vivant-Denon)",,,
34,"Non, Dominique De (Dominique Vivant-Denon)",,engraving of Voltaire portrait,
35,"Nordiall, John",,,
36,"Novaroli, P. Octavio",,,
37,"Novelli, Francesco",,,
38,"Novelli, Pietro ('il Monrealese')",,,
39,"Novelli, Pietro Antonio",,,
40,"Novelli, Pietro Antonio",,Creusa imploring Aeneas to rescue his father Anchises,
41,"Novelli, Pietro Antonio",,illustrations for Pasquali edition of Goldoni,
42,"Novelli, Pietro Antonio",,illustrations for Zatta edition of Goldoni,
43,"Novelli, Pietro Antonio",,Perseus and the Head of Medusa,
44,"Noyelle, Charles de",,,
45,"Noyers, François Sublet de",,,
46,"Nuzzi, Mario (Mario de' Fiori)",,,
