序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Odazzi, Giovanni",,,
2,"Oderisi, Roberto",,,
3,"Odescalchi, Benedetto (Pope Innocent XI)",,,
4,"Odescalchi, Livio",,,
5,"Olina, P.",,Uccelliera,
6,"Oliva, Gian Paolo",,,
7,"Oliva, Gian Paolo",,and Bernini,
8,"Oliva, Gian Paolo",,and Borgognone,
9,"Oliva, Gian Paolo",,and Duke of Parma,
10,"Oliva, Gian Paolo",,and Gaulli,
11,"Oliva, Gian Paolo",,and Cardinal Negroni,
12,"Olivarez, Count Duke",,,
13,"Olivieri, Monsignor",,,
14,"Olivieri, Pietro Paolo",,,
15,Opera in Rome,,,
16,"Oppenord, Gilles-Marie",,,
17,Oratorians,Rome,,
18,Oratorians,Venice,,
19,Oratorio,Rome,,
20,"Orleans, Margherite d'",,,
21,"Orleans, Philippe d', Regent",,,
22,"Orleans, Philippe d', Regent",,illustrations for Daphnis and Chloe,
23,"Orsini, Alessandro",,,
24,"Orsini, Paolo Giordano",,see under Bracciano,
25,"Ortes, Abate Giuseppe Maria",,,
26,"Osimo, Don Cesare Leopardi di",,,
27,Osservatore Veneto,,,
28,"Ottini, Andrea",,,
29,"Ottley, William Young",,,
30,"Ottoboni, Pietro (Pope Alexander VIII)",,,
31,"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",,,
32,"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",,effect of patronage on painters,
33,"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",,failure to attract painters to Rome,
34,"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",,patronage of Francesco Trevisani,
35,"Ottoboni, Cardinal Pietro (nephew to Pope Alexander VIII)",,theatre,
36,"Ottonelli, Padre",,,
37,"Oxford, Robert Harley, Earl of",,,
