序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Paciaudi, Abate Paolo Maria",,,
2,Padovanino,,"see under Varotari, Alessandro",
3,Padua,,,
4,Padua,,Prà della Valle,
5,"Painting, social significance of",,as discussed in Italy in mid 18th century,
6,Palazzo Ducale,Venice,,
7,"Palladio, Andrea",,,
8,"Palladio, Andrea",,"Palazzo Chiericati, Vicenza",
9,"Pallavicini, Marchese Niccolò Maria",,,
10,"Pallavicino, Sforza",,,
11,"Palma, Jacopo (il Giovane)",,,
12,"Palmerston, Lady",,,
13,"Paltronieri, Pietro ('il Mirandolese')",,,
14,"Pamfili, Prince Camillo (nephew to Pope Innocent X)",,,
15,"Pamfili, Prince Camillo (nephew to Pope Innocent X)",,meanness and occasional generosity,
16,"Pamfili, Prince Camillo (nephew to Pope Innocent X)",,palace,
17,"Pamfili, Prince Camillo (nephew to Pope Innocent X)",,villa built by Algardi,
18,"Pamfili (Astalli), Camillo",,,
19,"Pamfili, Gianbattista (Pope Innocent X)",,,
20,"Pamfili, Gianbattista (Pope Innocent X)",,conservative nature of patronage,
21,"Pamfili, Gianbattista (Pope Innocent X)",,dispute over burial of,
22,"Pamfili, Gianbattista (Pope Innocent X)",,effect of economic retrenchment on artists,
23,"Pamfili, Giulia",,,
24,Pamfili palace (Piazza Navona),,,
25,"Panciatichi, Senator Francesco",,,
26,"Panfi, Romolo",,,
27,"Pannini, Giovanni Paolo",,,
28,"Pannini, Giovanni Paolo",,Interior of the Pantheon,
29,"Paolini, Pietro",,,
30,"Paolini, Pietro",,Death of Wallenstein,
31,Papal states,,,
32,Papal states,,increasing poverty,
33,Papal states,,wealth of in 1623,
34,"Pareja, Juan de",,Velasquez portrait of,
35,"Parigi, Giulio",,,
36,"Paris, Venetian 18th-century artists in",,,
37,"Paris, Venetian 18th-century artists in",,see also under French patronage,
38,"Parma, Academy",,,
39,"Parma, Dukes of",,see under Farnese,
40,"Parmigianino, Francesco",,,
41,"Parmigianino, Francesco",,Madonna del Collo Lungo,
42,"Parodi, Domenico",,,
43,"Pascoli, Lione",,,
44,"Pasinelli, Lorenzo",,,
45,"Pasquali, Giambattista",,,
46,"Pasquali, Giambattista",,and Carlo Lodoli,
47,"Pasquali, Giambattista",,and Joseph Smith,
48,"Pasquali, Giambattista",,books illustrating paintings by Cignani and Ricci,
49,"Pasquali, Giambattista",,Dactylografia Smithiana,
50,"Pasquali, Giambattista",,Beatae Mariae Virginis Officium,
51,"Pasquali, Giambattista",,difficulties with censorship,
52,"Pasquali, Giambattista",,edition of Goldoni's works,
53,"Pasquali, Giambattista",,works of scientific popularization,
54,"Pasquetti, Leonardo",,,
55,"Passante, Bartolommeo",,,
56,"Passarowitz, Peace of",,,
57,"Passeri, Giambattista",,,
58,"Passignani, Domenico",,,
59,"Patriarch, Gaspare",,,
60,Patron-artist relation,,17th century,
61,"Paul V, Pope",,"see under Borghese, Camillo",
62,"Pedozzi, Padre Jacopo",,,
63,"Peiresc, Nicolas-Claude-Fabri de",,,
64,"Pellegrini, Giovanni Antonio",,,
65,"Pellegrini, Giovanni Antonio",,and Crozat,
66,"Pellegrini, Giovanni Antonio",,Fall of Phaeton,
67,"Pellegrini, Giovanni Antonio",,Mississippi Gallery of Banque Royale,
68,"Pellegrini, Giovanni Antonio",,"work for Johann Wilhelm, Elector Palatinate",
69,"Pellegrini, Giovanni Antonio",,work in Amsterdam and Antwerp,
70,"Pellegrini, Giovanni Antonio",,work in Dresden,
71,"Pellegrini, Giovanni Antonio",,work in Düsseldorf,
72,"Pellegrini, Giovanni Antonio",,work in England,
73,"Pellegrini, Giovanni Antonio",,work in Paris,
74,Pepoli palace,Bologna,,
75,"Pepusch, Dr",,,
76,"Peretti, Felice (Pope Sixtus V)",,,
77,"Peretti, Prince",,,
78,"Peretti-Montalto, Cardinal Alessandro",,,
79,"Peretti-Montalto, Cardinal Alessandro",,and S. Andrea della Valle,
80,"Peri, Pellegrino",,,
81,"Permoser, Balthasar",,,
82,"Permoser, Balthasar",,Apotheosis of Prince Eugene,
83,"Perrot, Joseph",,,
84,"Perugini, Giovanni",,,
85,"Perugino, Pietro",,,
86,"Perusini, Giovanni",,,
87,"Pesaro, Leonardo",,,
88,Pesaro palace,Venice,,
89,"Pesci, Prospero",,,
90,"Pesne, Antoine",,,
91,"Pesne, Antoine",,portraits of Frederick the Great and of Queen of Prussia,
92,"Petau, P. Denis",,,
93,"Peterborough, 3rd Earl of",,,
94,Petrarch,,,
95,Petrarch,,statue of in Prà della Valle,
96,"Petty, William",,,
97,Philip II of Spain,,,
98,Philip IV of Spain,,,
99,Philip IV of Spain,,equestrian statue by Tacca,
100,"Philip Neri, St",,,
101,"Pian, Giovanni del",,,
102,"Piastrini, G. D.",,,
103,"Piazzetta, Giovanni Battista",,,
104,"Piazzetta, Giovanni Battista",,and Francesco Algarotti,
105,"Piazzetta, Giovanni Battista",,and Zaccaria Sagredo,
106,"Piazzetta, Giovanni Battista",,Angelo Custode,
107,"Piazzetta, Giovanni Battista",,Assumption of the Virgin,
108,"Piazzetta, Giovanni Battista",,as Marshal Schulenburg's agent in purchase of pictures,
109,"Piazzetta, Giovanni Battista",,book illustration for Albrizzi,
110,"Piazzetta, Giovanni Battista",,Beggar holding a Rosary,
111,"Piazzetta, Giovanni Battista",,Caesar and the Corsairs of Cilicia,
112,"Piazzetta, Giovanni Battista",,Death of Darius,
113,"Piazzetta, Giovanni Battista",,Girl with a Basket of Chickens,
114,"Piazzetta, Giovanni Battista",,Glory of St Dominic,
115,"Piazzetta, Giovanni Battista",,illustrations for Gerusalemme Liberata,
116,"Piazzetta, Giovanni Battista",,Judith with the Head of Holofernes,
117,"Piazzetta, Giovanni Battista",,Monument to Lord Somers (McSwiny's British Worthies),
118,"Piazzetta, Giovanni Battista",,Mucius Scaevola at the Altar,
119,"Piazzetta, Giovanni Battista",,Pastorals painted for Marshal Schulenburg,
120,"Piazzetta, Giovanni Battista",,portraits and other paintings for Marshal Schulenburg,
121,"Piazzetta, Giovanni Battista",,prices,
122,"Piazzetta, Giovanni Battista",,Religion trampling on Heresy,
123,"Piazzetta, Giovanni Battista",,Sacrifice of Iphigenia,
124,"Piazzetta, Giovanni Battista",,St Philip Neri and the Virgin,
125,"Piazzetta, Giovanni Battista",,Standard Bearer,
126,"Piazzetta, Giovanni Battista",,Three Dominican Saints,
127,"Picart, Bernard",,,
128,"Piccino, Jacopo",,,
129,"Piccolomini d'Aragona, Donna Costanza",,,
130,"Pietri, Pietro di",,,
131,"Pignatelli, Antonio (Pope Innocent XII)",,,
132,"Pilati, Carlo Antonio",,,
133,"Pinacci, Giuseppe",,,
134,"Pinelli, Maffeo",,,
135,"Pio, Cardinal",,,
136,"Pio, Prince",,,
137,"Piola, Paolo Girolamo",,,
138,"Piola, Paolo Girolamo",,Danita,
139,"Piranesi, Francesco",,,
140,"Piranesi, Giovanni Battista",,,
141,"Pisa, Treaty of",,,
142,"Pisanello, Antonio",,,
143,"Pisani, Almorò",,,
144,"Pisani, Giorgio",,,
145,"Pisani, Giorgio",,arrest,
146,"Pisani, Giorgio",,election as Procuratore di San Marco,
147,"Pisani, Giorgio",,poems and pamphlets in support of,
148,Pisani palace,Venice,,
149,"Pitt, William, the Elder",,,
150,"Pitteri, Marco",,,
151,Pitti Palace,Florence,,
152,"Pittoni, Giovan Battista",,,
153,"Pittoni, Giovan Battista",,Agrippina being killed on the orders of her son Nero,
154,"Pittoni, Giovan Battista",,German patrons,
155,"Pittoni, Giovan Battista",,history paintings for Marshal Schulenburg,
156,"Pittoni, Giovan Battista",,Monuments to (McSwiny's British Worthies),
157,"Pittoni, Giovan Battista",,Monuments to (McSwiny's British Worthies),Archbishop Tillotson
158,"Pittoni, Giovan Battista",,Monuments to (McSwiny's British Worthies),Isaac Newton
159,"Pittoni, Giovan Battista",,Monuments to (McSwiny's British Worthies),Lord Dorset
160,"Pittoni, Giovan Battista",,Monuments to (McSwiny's British Worthies),Lord Stanhope
161,"Pittoni, Giovan Battista",,Nero being shown the corpse of Seneca,
162,Platnerus,,,
163,Platnerus,,Institutiones Chirurgicae,
164,Plutarch,,,
165,"Po, Giacomo del",,,
166,"Podestà, Andrea",,,
167,"Poelenburgh, Cornelius",,,
168,Poggio a Caiano,,,
169,"Polazzo, Francesco",,,
170,"Poleni, Marchese Giovanni",,,
171,"Pöllnitz, Baron de",,,
172,"Pomarance, Niccolò Circignani dalle",,,
173,Pomerancio,,"see under Roncalli, Cristoforo",
174,Pommersfelden,,,
175,"Pompeati, Domenico",,,
176,"Poore, Edward",,,
177,"Pöppelmann, Matthes Daniel",,,
178,"Pordenone, Giovanni Antonio da",,,
179,"Porta, Giacomo della",,,
180,"Porta, Guglielmo della",,,
181,"Porta, Guglielmo della",,tomb of Paul III,
182,"Portland, Henry, first Duke of",,,
183,"Portland, Henry, first Duke of",,and Sebastiano Ricci,
184,"Portland, Henry, first Duke of",,Bulstrode Park,
185,"Portland, Henry, first Duke of",,Rigaud portrait,
186,"Pourbus, Franz, the Younger",,,
187,"Poussin, Gaspard",,"see under Dughet, Gaspard",
188,"Poussin, Nicolas",,,
189,"Poussin, Nicolas",,altarpieces,
190,"Poussin, Nicolas",,and the Barberini,
191,"Poussin, Nicolas",,and Leonardo da Vinci,
192,"Poussin, Nicolas",,and Marino,
193,"Poussin, Nicolas",,and Camillo Massimi,
194,"Poussin, Nicolas",,and Cassiano dal Pozzo,
195,"Poussin, Nicolas",,Annunciation,
196,"Poussin, Nicolas",,Apollo and Daphne,
197,"Poussin, Nicolas",,Arcadian Shepherds,
198,"Poussin, Nicolas",,Arcadian Shepherds,first version
199,"Poussin, Nicolas",,Arcadian Shepherds,second version
200,"Poussin, Nicolas",,Assumption of the Virgin,
201,"Poussin, Nicolas",,Aurora and Cephalus,
202,"Poussin, Nicolas",,Bacchanals,
203,"Poussin, Nicolas",,Camillus handing the Schoolmaster of the Falerii to his Pupils,
204,"Poussin, Nicolas",,Capture of Jerusalem,
205,"Poussin, Nicolas",,Capture of Jerusalem,second version
206,"Poussin, Nicolas",,Dance of Human Life,
207,"Poussin, Nicolas",,Death of Germanicus,
208,"Poussin, Nicolas",,Diana and Endymion,
209,"Poussin, Nicolas",,Funeral of Phocion,
210,"Poussin, Nicolas",,Holy Family with St Catherine,
211,"Poussin, Nicolas",,illustrations to Cassiano dal Pozzo's edition of Leonardo's Trattato della pittura,
212,"Poussin, Nicolas",,Inspiration du Poète,
213,"Poussin, Nicolas",,King Midas,
214,"Poussin, Nicolas",,Landscape with Man fleeing from Serpent,
215,"Poussin, Nicolas",,Landscape with St John,
