序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Quaini, Luigi",,,
2,"Querini, Andrea",,,
3,"Querini, Angelo",,,
4,"Querini, Angelo",,and De Non,
5,"Querini, Angelo",,and Enlightenment,
6,"Querini, Angelo",,and Carlo Lodoli,
7,"Querini, Angelo",,arrest and detention,
8,"Querini, Angelo",,country house at Alticchiero,
9,"Querini, Angelo",,garden,
10,"Querini, Angelo",,influence of Rousseau,
11,"Querini, Angelo",,opposition of Marco Foscarini to,
12,"Querini, Angelo",,"romantic, 'pagan, and Manichean' soul",
13,"Querini, Angelo",,taste for antique,
14,"Querini, Angelo",,visit to Voltaire,
15,"Querini, Giacomo",,,
16,Quirinal,Rome,,
17,"Radicchio, Don Vincenzo",,,
18,"Raggi, Ferdinando",,,
19,"Raggi, Monsignor",,,
20,"Rainaldi, Carlo",,,
21,"Rainaldi, Girolamo",,,
22,"Rambaldi, Carlo Antonio",,,
23,"Rambaldi, Carlo Antonio",,Apotheosis of Aeneas (with Dardani),
24,"Ranuzzi, Vincenzo",,,
25,"Rapaccioli, Cardinal",,,
26,Raphael,,,
27,Raphael,,Deposition,
28,Raphael,,Galatea,
29,Raphael,,Holy Family,
30,Raphael,,Madonna del Baldacchino,
31,Raphael,,St Cecilia,
32,Raphael,,St George,
33,Raphael,,St John the Baptist,
34,Raphael,,St Michael,
35,"Rapparini, Giorgio Maria",,,
36,"Rapparini, Giorgio Maria",,Portrait du Vrai Mérite dans la personne serenissime de Monseigneur l'Electeur Palatin,
37,"Rastatt, Treaty of",,,
38,Reason and fantasy,,18th century discussion of roles in creation,
39,"Recurti, Giovanni Battista",,,
40,"Redi, Francesco",,,
41,"Religious orders, patronage by",,(see also under individual orders),
42,"Religious orders, patronage by",Rome,,
43,"Religious orders, patronage by",Rome,effect of legal and financial power of Roman aristocracy,
44,"Religious orders, patronage by",Venice,,
45,Rembrandt,,,
46,Rembrandt,,Alexander the Great,
47,Rembrandt,,Aristotle contemplating the Bust of Homer,
48,Rembrandt,,Blind Homer,
49,Rembrandt,,sketch for The Concord of the State,
50,Remondini,,,
51,Remondini,,"prints for by Piazzetta, Amigoni, Guarana, and Pietro Longhi",
52,"Reni, Guido",,,
53,"Reni, Guido",,Abduction of Helen,
54,"Reni, Guido",,Archangel Michael Trampling on the Devil,
55,"Reni, Guido",,attack on Bamboccianti,
56,"Reni, Guido",,Aurora,
57,"Reni, Guido",,Bacchus and Ariadne,
58,"Reni, Guido",,Massacre of the Innocents,
59,"Reni, Guido",,Rape of Helen,
60,"Reni, Guido",,S. Luigi Gonzaga,
61,"Renier, Paolo",,,
62,"Resta, Padre Sebastiano",,,
63,"Reynolds, Sir Joshua",,,
64,"Rezzonico, Aurelio",,,
65,"Rezzonico, Carlo (Pope Clement XIII)",,,
66,"Rezzonico, Lodovico",,,
67,"Ribera, Don Ferdinando Afan de",,,
68,"Ribera, Giuseppe",,,
69,"Ribera, Giuseppe",,altarpieces for Monterey,
70,"Ribera, Giuseppe",,Drunken Silenus,
71,"Ribera, Giuseppe",,Flaying of Marsyas,
72,"Ribera, Giuseppe",,St Januarius,
73,Riccardi palace,Florence,,
74,"Ricchini, Francesco Maria",,,
75,"Ricci, Giovanni",,,
76,"Ricci, Giovanni",,patronage of Crespi,
77,"Ricci, Marco",,,
78,"Ricci, Marco",,Monuments to (McSwiny's British Worthies),
79,"Ricci, Marco",,Monuments to (McSwiny's British Worthies),Duke of Devonshire
80,"Ricci, Marco",,Monuments to (McSwiny's British Worthies),Sir Cloudesly Shovel
81,"Ricci, Marco",,work for Joseph Smith,
82,"Ricci, Sebastiano",,,
83,"Ricci, Sebastiano",,Allegory of the Arts,
84,"Ricci, Sebastiano",,and Crozat,
85,"Ricci, Sebastiano",,Ascension,
86,"Ricci, Sebastiano",,Bacchus and Ariadne,
87,"Ricci, Sebastiano",,Baptism of Christ,
88,"Ricci, Sebastiano",,"Crucifixion with the Madonna, St John, and St Charles Borromeo",
89,"Ricci, Sebastiano",,Diana and Actaeon,
90,"Ricci, Sebastiano",,Diana and Callisto,
91,"Ricci, Sebastiano",,Esther and Ahasuerus,
92,"Ricci, Sebastiano",,Europa,
93,"Ricci, Sebastiano",,Europa and the Bull,
94,"Ricci, Sebastiano",,fear of style being corrupted by Rome,
95,"Ricci, Sebastiano",,Flora,
96,"Ricci, Sebastiano",,Last Supper,
97,"Ricci, Sebastiano",,modello of Adoration of the Magi,
98,"Ricci, Sebastiano",,Monuments to (McSwiny's British Worthies),
99,"Ricci, Sebastiano",,Monuments to (McSwiny's British Worthies),Duke of Devonshire
100,"Ricci, Sebastiano",,Monuments to (McSwiny's British Worthies),Sir Cloudesly Shovel
101,"Ricci, Sebastiano",,Pan and Syrinx,
102,"Ricci, Sebastiano",,"Pope Pius V, Thomas Aquinas and Vincent Ferrer",
103,"Ricci, Sebastiano",,Presentation in the Temple,
104,"Ricci, Sebastiano",,self portrait,
105,"Ricci, Sebastiano",,Susanna and the Elders,
106,"Ricci, Sebastiano",,Visitation,
107,"Ricci, Sebastiano",,work for Grand Prince Ferdinand de' Medici,
108,"Ricci, Sebastiano",,work for Lord Burlington,
109,"Ricci, Sebastiano",,work for Lord Portland,
110,"Ricci, Sebastiano",,"work for S. Paolo d'Argan, Bergamo",
111,"Ricci, Sebastiano",,work for Joseph Smith,
112,"Ricci, Sebastiano",,work for Turin,
113,"Ricci, Sebastiano",,work in England,
114,"Ricci, Sebastiano",,"work in Marucelli palace, Florence",
115,"Ricciardi, Giambattista",,,
116,"Richard, Abbé",,,
117,"Richelieu, Cardinal",,,
118,"Richelieu, Cardinal",,attempt to bring Italian artists to Paris,
119,"Richelieu, Cardinal",,Bernini bust,
120,"Richeôme, Louis",,,
121,"Richmond, Duke of",,,
122,"Richmond, Duke of",,and McSwiny's British Worthies,
123,"Richmond, Duke of",,pictures in this series owned by Duke,
124,"Richter, Giovanni",,,
125,"Ridolfi, Carlo",,,
126,"Rigaud, Hyacinthe",,,
127,"Rigaud, Hyacinthe",,portrait of Lord Portland,
128,Riminaldi,,,
129,Riminaldi,,Martyrdom of St Cecilia,
130,"Ripa, Cesare",,,
131,"Ripa, Cesare",,Iconologia,
132,"Riviera, Lazzaro",,,
133,"Roccatagliata, Giovanni Stefano",,,
134,"Rockingham, Lord",,,
135,"Rode, Bernhard",,,
136,"Romanelli, Giovan Francesco",,,
137,"Romanelli, Giovan Francesco",,appointment to Accademia di S. Luca,
138,"Romanelli, Giovan Francesco",,Ariadne being woken by Love,
139,"Romanelli, Giovan Francesco",,Bacchus and Ariadne,
140,"Romanelli, Giovan Francesco",,Jupiter sending down his Thunderbolts,
141,"Romanelli, Giovan Francesco",,Marriage of Peleus,
142,"Romanelli, Giovan Francesco",,Narcissus,
143,"Romanelli, Giovan Francesco",,Romulus and Remus,
144,"Romanelli, Giovan Francesco",,work in Cardinal Mazarin's palace,
145,"Romanelli, Giovan Francesco",,work in Louvre,
146,"Roncalli, Cristoforo (Pomerancio)",,,
147,"Roncalli, Cristoforo (Pomerancio)",,altarpiece of St Domitilla,
148,"Roncalli, Cristoforo (Pomerancio)",,Jacob and the Angel,
149,"Roncalli, Cristoforo (Pomerancio)",,portrait of St Philip Neri,
150,"Roncalli, Cristoforo (Pomerancio)",,work for Oratorians,
151,"Roomer, Gaspar",,,
152,"Roomer, Gaspar",,and Flemish painting,
153,"Roomer, Gaspar",,and Luca Giordano,
154,"Roomer, Gaspar",,and Mattia Preti,
155,"Roomer, Gaspar",,and Rubens Feast of Herod,
156,"Roomer, Gaspar",,devotion to Carmelites,
157,"Roomer, Gaspar",,escape in revolt of Masaniello,
158,"Roomer, Gaspar",,liking for Caravaggists,
159,"Roomer, Gaspar",,love of the grotesque and naturalism,
