序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Sacchetti, Giovanni Francesco",,,
2,"Sacchetti, Giulio",,,
3,"Sacchetti, Marcello",,,
4,"Sacchetti, Marcello",,country house at Castel Fusano,
5,"Sacchetti, Marcello",,patronage of Pietro da Cortona,
6,"Sacchetti, Marcello",,taste in painting,
7,"Sacchi, Andrea",,,
8,"Sacchi, Andrea",,admiration for Raphael,
9,"Sacchi, Andrea",,Divine Wisdom,
10,"Sacchi, Andrea",,hostility to Bamboccianti,
11,"Sacchi, Andrea",,modelli,
12,"Sacchi, Andrea",,special relationship with Cardinal Antonio Barberini,
13,"Sacchi, Andrea",,work in Barberini palace,
14,"Sacconi, Marco",,,
15,"Sagredo, Gherardo",,,
16,"Sagredo, Niccolò",,,
17,"Sagredo, Stefano",,,
18,"Sagredo, Zaccaria",,,
19,"Sagredo, Zaccaria",,and Canaletto,
20,"Sagredo, Zaccaria",,and Piazzetta,
21,"Sagredo, Zaccaria",,Carracci drawings,
22,"Sagredo, Zaccaria",,Castiglione drawings,
23,"Sagredo, Zaccaria",,collection of prints and drawings,
24,"Sagredo, Zaccaria",,commissions to Crespi,
25,"Sagredo, Zaccaria",,dispersal of collection,
26,"Sagredo, Zaccaria",,inventories of collection,
27,"Sagredo, Zaccaria",,nervous disposition,
28,"Sagredo, Zaccaria",,patronage of younger generation of Venetian artists,
29,"Sagrestani, Giovan Camillo",,,
30,"Saint-Non, Abbé de",,,
31,"Saint-Non, Abbé de",,Voyage Pittoresque de la Grèce et de la Sicile,
32,"St Petersburg, Venetian artists in",,,
33,"Saint-Sauveur, Monsieur de",,,
34,"Salimbeni, Felice",,,
35,"Saluzzi, Alessandro",,,
36,"Salvi, Nicola",,,
37,Salviati family,Florence,,
38,"San Giovanni, Giovanni da",,,
39,"San Giovanni, Giovanni da",,frescoes for Cardinal Bentivoglio,
40,"San Rocco, Scuola di",Venice,,
41,Sandi palace,Venice,,
42,"Sandrart, Joachim von",,,
43,"Sansovino, Jacopo",,,
44,"Sansovino, Jacopo",,Bacchus,
45,"Santi, Giovan Gioseffo",,,
46,"Santi, Tommaso de'",,,
47,"Saraceni, Carlo",,,
48,"Saracini, Gherardo",,,
49,"Sardi, Giuseppe",,,
50,"Sarto, Andrea del",,,
51,"Sarto, Andrea del",,Madonna delle Arpie,
52,"Sartori, Felicita",,,
53,"Sasso, Giuseppe Maria",,,
54,"Sasso, Giuseppe Maria",,A. Longhi portrait,
55,"Sasso, Giuseppe Maria",,Osservazioni sopra i lavori di niello,
56,"Sasso, Giuseppe Maria",,purchases of Venetian paintings for J. Strange,
57,"Sasso, Giuseppe Maria",,taste in art,
58,Sassoferrato (Giovan Battista Salvi),,,
59,Sassoferrato (Giovan Battista Salvi),,painting of S. Francesco da Paola,
60,Sassoferrato (Giovan Battista Salvi),,portrait of Monsignor Ottaviano Prati,
61,Sassoferrato (Giovan Battista Salvi),,style,
62,Sassoferrato (Giovan Battista Salvi),,Virgin and Child holding Rosaries,
63,Sassoferrato (Giovan Battista Salvi),,Virgin and Child holding Rosaries with Saints Catherine and Dominic,
64,"Savelli, Cardinal",,,
65,"Savelli, Prince Giulio",,,
