序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Tacca, Pietro",,,
2,"Tacca, Pietro",,"documents relating to commissions from Paolo Giordano Orsini, Duke of Bracciano",
3,"Talbot, Bruno",,,
4,"Tankerville, Lord",,,
5,"Tarso, Archbishop of",,,
6,"Tassi, Agostino",,,
7,"Tassis, Count",,,
8,"Tasso, Torquato",,,
9,"Tasso, Torquato",,Gerusalemme Liberata,
10,"Temanza, Tommaso",,,
11,"Temanza, Tommaso",,Zibaldone,
12,"Tencala, Cristoforo",,,
13,"Teniers, David",,,
14,"Teodoli, Marchese",,,
15,"Tesi, Mauro",,,
16,"Tessin, Count Carl Gustav",,,
17,"Tessin, Count Carl Gustav",,and Tiepolo,
18,"Tessin, Count Carl Gustav",,and A. M. Zanetti the Elder,
19,"Tessin, Nicodemus, the Younger",,,
20,"Testa, Pietro",,,
21,"Testa, Pietro",,and Cassiano dal Pozzo,
22,"Testa, Pietro",,and Niccolò Simonelli,
23,"Testa, Pietro",,Trattato di Pittura,
24,"Testi, Fulvio",,,
25,"Teti, Girolamo",,,
26,Theatines,,,
27,Theatines,,church in Munich,
28,Theatines,,in Paris,
29,Theatines,,in Rome,
30,"Théodon, Jean Baptiste",,,
31,"Théodon, Jean Baptiste",,Faith crushing Idolatry,
32,"Thornhill, Sir James",,,
33,"Tiepolo, Giambattista",,,
34,"Tiepolo, Giambattista",,admiration for Castiglione,
35,"Tiepolo, Giambattista",,altarpieces for royal chapel at Aranjuez,
36,"Tiepolo, Giambattista",,and F. Algarotti,
37,"Tiepolo, Giambattista",,and F. Algarotti,mutual influence
38,"Tiepolo, Giambattista",,and F. Algarotti,unfinished portrait of Algarotti
39,"Tiepolo, Giambattista",,and Scuola del Carmine,
40,"Tiepolo, Giambattista",,Apotheosis of Pisani,
41,"Tiepolo, Giambattista",,Banquet of Cleopatra,
42,"Tiepolo, Giambattista",,Banquet of Cleopatra,modello
43,"Tiepolo, Giambattista",,Banquet of Cleopatra,F. Algarotti and
44,"Tiepolo, Giambattista",,Bath of Diana,
45,"Tiepolo, Giambattista",,belief in Venetian ancien régime,
46,"Tiepolo, Giambattista",,Brutus killing Arruns,
47,"Tiepolo, Giambattista",,Continence of Scipio,
48,"Tiepolo, Giambattista",,Danaë,
49,"Tiepolo, Giambattista",,drawings in Pietro Monaco collection,
50,"Tiepolo, Giambattista",,drawings of Oriental heads,
51,"Tiepolo, Giambattista",,early battle scenes and triumphs from Roman history,
52,"Tiepolo, Giambattista",,Education of the Virgin,
53,"Tiepolo, Giambattista",,Family of Darius before Alexander the Great,
54,"Tiepolo, Giambattista",,Flora,
55,"Tiepolo, Giambattista",,French admirers,
56,"Tiepolo, Giambattista",,frescoes in Udine,
57,"Tiepolo, Giambattista",,frescoes and portraits for Labia family,
58,"Tiepolo, Giambattista",,"frescoes of scenes from Homer, Virgil, Tasso, and Ariosto for Valmarana family",
59,"Tiepolo, Giambattista",,Judgment of Solomon,
60,"Tiepolo, Giambattista",,Madonna del Carmelo,
61,"Tiepolo, Giambattista",,Maecenas,
62,"Tiepolo, Giambattista",,Martyrdom of St John the Bishop,
63,"Tiepolo, Giambattista",,modello of Beheading of St John the Baptist,
64,"Tiepolo, Giambattista",,Neptune paying Homage to Venice,
65,"Tiepolo, Giambattista",,payments to,
66,"Tiepolo, Giambattista",,Powers of Eloquence,
67,"Tiepolo, Giambattista",,prices,
68,"Tiepolo, Giambattista",,Reception of Henri III of France by the Contarini,
69,"Tiepolo, Giambattista",,St Dominic instituting the Rosary,
70,"Tiepolo, Giambattista",,St Helen finding the True Cross,
71,"Tiepolo, Giambattista",,"Saints Agnes, Rose and Catherine",
72,"Tiepolo, Giambattista",,sketch of the Rape of Ganymede,
73,"Tiepolo, Giambattista",,Strength protecting Wisdom,
74,"Tiepolo, Giambattista",,Triumph of the Arts,
75,"Tiepolo, Giambattista",,Triumph of the Faith,
76,"Tiepolo, Giambattista",,Vari Capricci,
77,"Tiepolo, Giambattista",,views on his patrons,
78,"Tiepolo, Giambattista",,visit to Madrid at instigation of Venetian government,
79,"Tiepolo, Giambattista",,"work in Palazzo Clerici, Milan",
80,"Tiepolo, Giambattista",,work for Corner,
81,"Tiepolo, Giambattista",,work for Dolfin,
82,"Tiepolo, Giambattista",,work for Valmarana family,
83,"Tiepolo, Giambattista",,work in Würzburg,
