序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Uccelli, Ferdinando",,,
2,Udine,,,
3,"Udine, Giovanni da",,,
4,"Udney, John",,,
5,Urban VIII,,"see under Barberini, Maffeo",
6,"Urbino, devolution to Papacy",,,
7,"Urbino, devolution to Papacy",,pictures taken over by Papacy,
8,"Urbino, Francesco Maria della Rovere, Duke of",,,
9,"Utrecht, Treaty of",,,
10,"Vaccaro, Andrea",,,
11,"Vacchelli, Giuliano",,,
12,Vaduz,,,
13,"Valentin, art dealer",,,
14,Valentin de Boulogne,,,
15,Valentin de Boulogne,,Allegory of Rome,
16,"Valeriani, Domenico and Giuseppe",,,
17,"Valeriani, Domenico and Giuseppe",,Monuments to (McSwiny's British Worthies),
18,"Valeriani, Domenico and Giuseppe",,Monuments to (McSwiny's British Worthies),Isaac Newton
19,"Valeriani, Domenico and Giuseppe",,Monuments to (McSwiny's British Worthies),William III
20,"Valeriano, Padre",,,
21,"Valguarnera, Don Fabrizio",,,
22,"Valle, Filippo della",,,
23,"Valletta, Giuseppe",,,
24,"Vallisnieri, Antonio",,,
25,Valmarana family,,,
26,"Valmarana, Leonardo",,,
27,"Vanbrugh, Sir John",,,
28,"Vandeneynde, Jan",,,
29,"Vandières, Marquis de (later Marquis de Marigny)",,,
30,"Vanetti, Valerio",,,
31,"Vannini, Ottavio",,,
32,"Vannini, Ottavio",,Fall of Manna,
33,"Vannini, Ottavio",,"frescoes in S. Gaetano, Florence",
34,"Vannini, Ottavio",,Moses striking the Rock,
35,"Vannini, Ottavio",,Sacrifice of Isaac,
36,"Vannini, Ottavio",,Susanna and the Elders,
37,"Varda, Salvator",,,
38,"Varotari, Alessandro ('il Padovanino')",,,
39,"Vasari, Giorgio",,,
40,"Vassalli, Alessandro",,,
41,Vatican palace,Rome,,
42,Vatican palace,Rome,Scala Regia,
43,"Vecchi, Giovanni de'",,,
44,"Vecchia, Pietro della",,,
45,"Veith, Giovanni Adalbertho",,,
46,Velasquez,,,
47,Velasquez,,attempts to bring Italian painters to Spain,
48,Velasquez,,membership of Congregazione dei Virtuosi and of Accademia di San Luca,
49,Velasquez,,portrait of Camillo Massimi,
50,Velasquez,,portrait of Donna Olimpia Maidalchini,
