Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
'Baciccio',/,refer_to,"Gaulli, Giovanni Battista",/,1
Bernardine Baccinelli,/,sponsored,Susanna,/,2
"Baglione, Giovanni",/,sponsored,Divine Love,/,5
"Baglione, Giovanni",/,sponsored,Resurrection,/,6
Baglioni collection,/,located_in,Venice,/,7
"Balestra, Antonio",/,created,Monument to William III (McSwiny's British Worthies),/,17
"Bambini, Niccolò",/,sponsored,Triumph of Venice,/,20
Bamboccianti,/,sponsored,attacks on,/,22
Bamboccianti,/,sponsored,contrast of content of paintings with actual social conditions,/,23
Bamboccianti,/,sponsored,political and social implications of,/,24
Bamboccianti,/,sponsored,prices for pictures,/,25
relations with Spanish party in Rome,/,located_in,Rome,/,26
Bamboccianti,/,sponsored,relations with Spanish party in Rome,/,26
"Barbaro, Antonio",/,collaborated_on,S. Maria del Giglio,/,33
"Barberini, Cardinal Antonio",/,is,brother to Urban VIII) (Cardinal di S. Onofrio,/,34
"Barberini, Cardinal Antonio",/,is,nephew to Urban VIII,/,35
"Barberini, Cardinal Antonio",/,is,nephew to Urban VIII,/,36
"Barberini, Cardinal Antonio",/,sponsored,contributions to Jesuit church of S. Andrea al Quirinale,/,36
"Barberini, Cardinal Antonio",/,is,nephew to Urban VIII,/,37
"Barberini, Cardinal Antonio",/,sponsored,despoiling of Urbino,/,37
"Barberini, Cardinal Antonio",/,is,nephew to Urban VIII,/,38
"Barberini, Cardinal Antonio",/,sponsored,Maratta portraits,/,38
"Barberini, Cardinal Antonio",/,is,nephew to Urban VIII,/,39
"Barberini, Cardinal Antonio",/,sponsored,'medieval joust',/,39
"Barberini, Cardinal Antonio",/,is,nephew to Urban VIII,/,40
"Barberini, Cardinal Antonio",/,sponsored,patronage of Andrea Sacchi,/,40
"Barberini, Cardinal Antonio",/,is,nephew to Urban VIII,/,41
"Barberini, Cardinal Antonio",/,sponsored,relations with France,/,41
"Barberini, Carlo",/,is,brother to Urban VIII,/,42
"Barberini, Carlo",/,is,brother to Urban VIII,/,43
"Barberini, Carlo",/,created,monuments to,/,43
"Barberini, Carlo",/,is,brother to Urban VIII,/,44
"Barberini, Carlo",/,sponsored,purchase of Orsini,/,44
"Barberini, Carlo",/,sponsored,purchase of Colonna estates,/,44
"Barberini, Carlo",/,is,brother to Urban VIII,/,45
"Barberini, Carlo",/,sponsored,synopsis of Machiavelli's Prince,/,45
"Barberini, Cardinal Francesco",/,is,nephew to Urban VIII,/,47
"Barberini, Cardinal Francesco",/,is,nephew to Urban VIII,/,48
"Barberini, Cardinal Francesco",/,created,admiration for French culture,/,48
admiration for French culture,/,intended_for,French culture,/,48
"Barberini, Cardinal Francesco",/,is,nephew to Urban VIII,/,49
"Barberini, Cardinal Francesco",/,created,altarpieces for St. Peter's,/,49
altarpieces for St. Peter's,/,intended_for,St. Peter,/,49
"Barberini, Cardinal Francesco",/,is,nephew to Urban VIII,/,50
"Barberini, Cardinal Francesco",/,collaborated_on,Poussin,/,50
"Barberini, Cardinal Francesco",/,is,nephew to Urban VIII,/,51
"Barberini, Cardinal Francesco",/,sponsored,employment of Giovan Francesco Romanelli,/,51
"Barberini, Cardinal Francesco",/,is,nephew to Urban VIII,/,52
"Barberini, Cardinal Francesco",/,sponsored,flight to France,/,52
"Barberini, Cardinal Francesco",/,is,nephew to Urban VIII,/,53
"Barberini, Cardinal Francesco",/,sponsored,love of literature,/,53
"Barberini, Cardinal Francesco",/,is,nephew to Urban VIII,/,54
"Barberini, Cardinal Francesco",/,sponsored,purchase of Sforza palace,/,54
"Barberini, Cardinal Francesco",/,sponsored,purchase of donation of it to Taddeo Barberini,/,54
"Barberini, Cardinal Francesco",/,is,nephew to Urban VIII,/,55
"Barberini, Cardinal Francesco",/,sponsored,visits to Paris,/,55
"Barberini, Cardinal Francesco",/,sponsored,visits to Madrid,/,55
"Barberini, Monsignor Francesco",/,is,uncle to Urban VIII,/,56
"Barberini, Maffeo",/,is,Pope Urban VIII,/,57
"Barberini, Maffeo",/,is,Pope Urban VIII,/,58
"Barberini, Maffeo",/,sponsored,alliance with France,/,58
"Barberini, Maffeo",/,is,Pope Urban VIII,/,59
"Barberini, Maffeo",/,collaborated_on,devolution of Urbino,/,59
"Barberini, Maffeo",/,is,Pope Urban VIII,/,60
"Barberini, Maffeo",/,collaborated_on,Jesuits,/,60
"Barberini, Maffeo",/,is,Pope Urban VIII,/,61
"Barberini, Maffeo",/,collaborated_on,S. Maria della Concezione,/,61
"Barberini, Maffeo",/,is,Pope Urban VIII,/,62
"Barberini, Maffeo",/,collaborated_on,St Peter's,/,62
"Barberini, Maffeo",/,is,Pope Urban VIII,/,63
appointment as Apostolic Nunzio in Paris,/,located_in,Paris,/,63
"Barberini, Maffeo",/,sponsored,appointment as Apostolic Nunzio in Paris,/,63
"Barberini, Maffeo",/,is,Pope Urban VIII,/,64
"Barberini, Maffeo",/,sponsored,appointment as Cardinal,/,64
"Barberini, Maffeo",/,is,Pope Urban VIII,/,65
"Barberini, Maffeo",/,sponsored,as Bishop of Spoleto,/,65
"Barberini, Maffeo",/,is,Pope Urban VIII,/,66
"Barberini, Maffeo",/,sponsored,as Legate to Bologna,/,66
"Barberini, Maffeo",/,is,Pope Urban VIII,/,67
chapel in S. Andrea della Valle,/,located_in,S. Andrea della Valle,/,67
"Barberini, Maffeo",/,sponsored,chapel in S. Andrea della Valle,/,67
"Barberini, Maffeo",/,is,Pope Urban VIII,/,68
"Barberini, Maffeo",/,sponsored,character,/,68
"Barberini, Maffeo",/,is,Pope Urban VIII,/,69
"Barberini, Maffeo",/,sponsored,death,/,69
"Barberini, Maffeo",/,is,Pope Urban VIII,/,70
"Barberini, Maffeo",/,sponsored,editions of poems,/,70
"Barberini, Maffeo",/,is,Pope Urban VIII,/,71
"Barberini, Maffeo",/,sponsored,election as Pope,/,71
"Barberini, Maffeo",/,is,Pope Urban VIII,/,72
"Barberini, Maffeo",/,sponsored,favouring of Florentine artists,/,72
"Barberini, Maffeo",/,is,Pope Urban VIII,/,73
"Barberini, Maffeo",/,sponsored,fortifications built by,/,73
"Barberini, Maffeo",/,is,Pope Urban VIII,/,74
"Barberini, Maffeo",/,sponsored,interest in astrology,/,74
"Barberini, Maffeo",/,is,Pope Urban VIII,/,75
"Barberini, Maffeo",/,sponsored,patronage of Bernini,/,75
"Barberini, Maffeo",/,is,Pope Urban VIII,/,76
"Barberini, Maffeo",/,sponsored,patronage of Claude,/,76
"Barberini, Maffeo",/,is,Pope Urban VIII,/,77
"Barberini, Maffeo",/,sponsored,patronage of Pietro da Cortona,/,77
"Barberini, Maffeo",/,is,Pope Urban VIII,/,78
"Barberini, Maffeo",/,sponsored,poetry of,/,78
"Barberini, Maffeo",/,is,Pope Urban VIII,/,79
"Barberini, Maffeo",/,created,portrait by Caravaggio,/,79
"Barberini, Maffeo",/,is,Pope Urban VIII,/,80
"Barberini, Maffeo",/,created,portraits and statues of,/,80
"Barberini, Maffeo",/,is,Pope Urban VIII,/,81
"Barberini, Maffeo",/,sponsored,preferment for family,/,81
"Barberini, Maffeo",/,is,Pope Urban VIII,/,82
"Barberini, Maffeo",/,sponsored,social consequences of his papacy,/,82
"Barberini, Maffeo",/,is,Pope Urban VIII,/,83
"Barberini, Maffeo",/,sponsored,tapestries commemorating,/,83
"Barberini, Maffeo",/,is,Pope Urban VIII,/,84
"Barberini, Maffeo",/,created,tomb,/,84
"Barberini, Maffeo",/,is,Pope Urban VIII,/,85
"Barberini, Maffeo",/,sponsored,"visit to Ferrara, 1598",/,85
"Barberini, Prince Maffeo",/,is,son of Taddeo Barberini,/,86
"Barberini, Taddeo",/,is,nephew to Urban VIII,/,87
Barberini palace,/,sponsored,theatre,/,89
"Barelli, Agostino",/,sponsored,palace at Nymphenburg,/,91
Theatine church in Munich,/,located_in,Munich,/,92
"Barelli, Agostino",/,sponsored,Theatine church in Munich,/,92
