Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Cagnacci, Guido",/,sponsored,Magdalene,/,4
"Callot, Jacques",/,sponsored,Fiera dell' Impruneta,/,8
"Camassei, Andrea",/,sponsored,God creating the Angels,/,10
"Camassei, Andrea",/,sponsored,Parnassus,/,11
work in Barberini palace,/,located_in,Barberini palace,/,12
"Camassei, Andrea",/,created,work in Barberini palace,/,12
"Campbell, Colen",/,sponsored,Vitruvius Britannicus,/,18
Canaletto,/,collaborated_on,F. Algarotti,/,24
Canaletto,/,collaborated_on,F. Algarotti,/,25
Canaletto,/,created,view of Grand Canal as Palladio might have designed it,/,25
Canaletto,/,collaborated_on,McSwiny,/,26
Canaletto,/,sponsored,death,/,27
Canaletto,/,created,drawings of Ducal ceremonies for Furnaletto,/,28
drawings of Ducal ceremonies for Furnaletto,/,intended_for,Furnaletto,/,28
Canaletto,/,sponsored,Entry of the Comte de Gergy,/,29
Canaletto,/,sponsored,Entry of the Count of Bolagno,/,30
Canaletto,/,sponsored,Horses of St Mark's,/,31
paintings in Sigismund Streit's collection,/,located_in,Sigismund Streit,/,32
Canaletto,/,created,paintings in Sigismund Streit's collection,/,32
Canaletto,/,created,paintings for English Grand Tourists,/,33
paintings for English Grand Tourists,/,intended_for,English Grand Tourists,/,33
Canaletto,/,created,paintings for English Grand Tourists,/,34
paintings for English Grand Tourists,/,intended_for,English Grand Tourists,/,34
Canaletto,/,created,views of Venice for Duke of Bedford,/,34
views of Venice for Duke of Bedford,/,intended_for,Duke of Bedford,/,34
Canaletto,/,created,paintings for English Grand Tourists,/,35
paintings for English Grand Tourists,/,intended_for,English Grand Tourists,/,35
Canaletto,/,created,views of Venice for Earl of Carlisle,/,35
views of Venice for Earl of Carlisle,/,intended_for,Earl of Carlisle,/,35
Canaletto,/,created,paintings for English Grand Tourists,/,36
paintings for English Grand Tourists,/,intended_for,English Grand Tourists,/,36
Canaletto,/,created,views of Venice for Sir Robert Hervey,/,36
views of Venice for Sir Robert Hervey,/,intended_for,Sir Robert Hervey,/,36
possible share in Monument to Lord Stanhope (McSwiny's British Worthies),/,located_in,Monument to Lord Stanhope (McSwiny,/,37
Canaletto,/,sponsored,possible share in Monument to Lord Stanhope (McSwiny's British Worthies),/,37
Canaletto,/,sponsored,prices,/,38
Canaletto,/,created,relations with and work for Consul Smith,/,39
relations with and work for Consul Smith,/,intended_for,Consul Smith,/,39
