Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Effetti, Antonio degli",/,sponsored,delight in idea of wealth,/,3
English patronage,/,sponsored,of Italian artists in 17th century,/,6
English patronage,/,sponsored,of Venetian artists,/,7
English patronage,/,sponsored,antipathy towards Venetian history painters after first two decades of 18th century,/,8
English tourists in Italy,/,sponsored,in second half of 17th century,/,9
Enlightenment in Italy,/,sponsored,contacts of Italian intellectuals with England,/,11
Enlightenment in Italy,/,sponsored,contacts of Italian intellectuals with France,/,11
opposition in Venice,/,located_in,Venice,/,12
Enlightenment in Italy,/,sponsored,opposition in Venice,/,12
"Eugene, Prince",/,refer_to,"Savoy, Prince Eugene of",/,20
