Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Fanelli, Francesco",/,created,bust of Charles I,/,6
"Fanelli, Francesco",/,created,bust of Charles II when Prince of Wales,/,7
Fantasy and reason,/,sponsored,18th century discussion of roles in creation,/,8
"Farnese, Ranuccio II, Duke of Parma",/,collaborated_on,Gesù,/,14
Farnese Palace,/,located_in,Rome,/,15
"Farsetti, Filippo",/,collaborated_on,Canova,/,19
"Farsetti, Filippo",/,collaborated_on,Carlo Lodoli,/,20
"Farsetti, Filippo",/,sponsored,collection of casts from antique statues,/,21
"Farsetti, Filippo",/,sponsored,collection of paintings,/,22
"Farsetti, Filippo",/,sponsored,country house at S. Maria di Sala,/,23
"Farsetti, Filippo",/,sponsored,gardens,/,24
"Farsetti, Filippo",/,sponsored,interest in contemporary arts,/,25
"Farsetti, Filippo",/,sponsored,Palazzo Farsetti,/,26
"Farsetti, Filippo",/,sponsored,promotion of Venetian neo-classicism,/,27
"Farsetti, Filippo",/,sponsored,sale of collections,/,28
Ferrara,/,sponsored,Archbishop's Palace,/,34
Ferrara,/,sponsored,Bentivoglio and,/,35
"Ferrerio, Andrea",/,sponsored,Vigilance,/,40
"work in Archbishop's Palace, Ferrara",/,located_in,Archbishop,/,41
"Ferrerio, Andrea",/,created,"work in Archbishop's Palace, Ferrara",/,41
"Ferri, Ciro",/,sponsored,payments,/,44
"Ferri, Ciro",/,created,modello for cupola of S. Agnese,/,45
"Ferri, Ciro",/,created,work for Louis XIV,/,46
work for Louis XIV,/,intended_for,Louis XIV,/,46
"work in S. Maria Maggiore, Bergamo",/,located_in,"S. Maria Maggiore, Bergamo",/,47
"Ferri, Ciro",/,created,"work in S. Maria Maggiore, Bergamo",/,47
"Fiori, Mario de'",/,is,Mario Nuzzi,/,55
Florence,/,sponsored,as centre of opposition to classical-academic theories under Grand Prince Ferdinand,/,58
"Fontebasso, Francesco",/,sponsored,Elijah carried to Heaven,/,64
"Fontebasso, Francesco",/,sponsored,Three Angels visiting Abraham,/,65
Eloge in Tombeaux des Princes,/,located_in,Tombeaux des Princes,/,67
Fontenelle,/,sponsored,Eloge in Tombeaux des Princes,/,67
"Foscarini, Marco",/,sponsored,library,/,70
"Foscarini, Marco",/,sponsored,opposition to Angelo Querini,/,71
Foscarini family,/,located_in,Venice,/,73
Foscarini family,/,located_in,Venice,/,74
Foscarini family,/,sponsored,wealth of,/,74
"Fountaine, Sir Andrew",/,sponsored,Narford Hall,/,77
"Francavilla, Pietro",/,sponsored,fountain of Orpheus enchanting the wild beasts,/,81
"Franceschini, Baldassare",/,sponsored,Fame carrying the Name of Louis XIV to the Temple of Immortality,/,83
"Franceschini, Baldassare",/,sponsored,La Burla del Pievano Arlotto,/,84
"Franceschini, Marcantonio",/,sponsored,letters relating to commission from Stefano Conti,/,86
"Franceschini, Marcantonio",/,sponsored,Mercury awaking Aeneas,/,87
"Franceschini, Marcantonio",/,sponsored,The Three Graces,/,88
"Franceschini, Marcantonio",/,sponsored,Venus,/,89
Frederick III,/,is,Holy Roman Emperor,/,93
"Frederick Augustus I, Elector of Saxony",/,refer_to,Augustus II of Poland,/,95
"Frederick Augustus II, Elector of Saxony",/,refer_to,Augustus III of Poland,/,96
Frederick the Great,/,collaborated_on,F. Algarotti,/,98
French patronage,/,sponsored,in 17th century,/,102
French patronage,/,sponsored,of Venetian artists in 18th century,/,103
"Fumiani, Giannantonio",/,collaborated_on,Grand Prince Ferdinand,/,106
"Fumiani, Giannantonio",/,sponsored,Christ driving the Jews from the Temple,/,107
"Fumiani, Giannantonio",/,sponsored,Stoning of Zechariah,/,108
