Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Gabbiani, Anton Domenico",/,collaborated_on,Grand Prince Ferdinand,/,2
"Gabbiani, Anton Domenico",/,sponsored,Flight into Egypt,/,3
"Galgario, Fra",/,is,Vittore Ghislandi,/,9
"Galiani, Abate",/,sponsored,della Moneta,/,11
"Galilei, Galileo",/,collaborated_on,Ludovico Cigoli,/,14
"Galilei, Galileo",/,sponsored,Dialogo,/,15
"Galilei, Galileo",/,created,views on painting,/,16
"Gallacini, Teofilo",/,sponsored,Trattato sopra gli errori degli architetti,/,18
"Gaulli, Giovanni Battista",/,is,Baciccio,/,25
"Gaulli, Giovanni Battista",/,is,Baciccio,/,26
"Gaulli, Giovanni Battista",/,sponsored,Adoration of the Lamb,/,26
"Gaulli, Giovanni Battista",/,is,Baciccio,/,27
"Gaulli, Giovanni Battista",/,sponsored,Death of St Francis Xavier,/,27
"Gaulli, Giovanni Battista",/,is,Baciccio,/,28
"Gaulli, Giovanni Battista",/,sponsored,Duplex Intercessio,/,28
"Gaulli, Giovanni Battista",/,is,Baciccio,/,29
"Gaulli, Giovanni Battista",/,created,fresco in nave of Gesù,/,29
"Gaulli, Giovanni Battista",/,is,Baciccio,/,30
"Gaulli, Giovanni Battista",/,sponsored,payment,/,30
"Gaulli, Giovanni Battista",/,is,Baciccio,/,31
work in Gesù,/,located_in,Ges,/,31
"Gaulli, Giovanni Battista",/,created,work in Gesù,/,31
"Gennari, Benedetto",/,sponsored,Danaë,/,36
"Gennari, Benedetto",/,sponsored,Elizabeth Felton as Cleopatra,/,37
Genoa,/,sponsored,aristocracy,/,40
"Gentileschi, Orazio",/,sponsored,Public Felicity triumphant over Dangers,/,44
"Gentileschi, Orazio",/,created,work for Charles I,/,45
work for Charles I,/,intended_for,Charles I,/,45
"Gentileschi, Orazio",/,created,work for Marie de Medici,/,46
work for Marie de Medici,/,intended_for,Marie de Medici,/,46
German patronage,/,sponsored,in 17th century,/,53
German patronage,/,sponsored,of Venetian artists in 18th century,/,54
"German princes, taste in art",/,sponsored,preoccupation with erotic,/,56
Gesuati,/,located_in,Venice,/,58
Gesuati,/,located_in,Venice,/,59
Gesuati,/,sponsored,hostility to Jesuits,/,59
frescoes of Battle of Lepanto in Colonna palace,/,located_in,Colonna palace,/,62
