Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
La Harpe,/,sponsored,Il Filosofo dell'Alpi,/,3
Labia collection,/,located_in,Venice,/,6
Labia family,/,located_in,Venice,/,7
"Laer, Pieter Van",/,sponsored,Landscape with Figures,/,10
"Laer, Pieter Van",/,sponsored,Landscape with Animals,/,10
"Laer, Pieter Van",/,sponsored,prices,/,11
"Laer, Pieter Van",/,sponsored,St Eustace Hunting,/,12
"Lancellotti, Abate",/,sponsored,L'Hoggidi,/,14
in Rome and Venice,/,located_in,Rome,/,16
in Rome and Venice,/,located_in,Venice,/,16
"Landscapes, varying reactions to",/,sponsored,in Rome and Venice,/,16
"Lanfranco, Giovanni",/,sponsored,dome of S. Andrea della Valle,/,18
"Lanfranco, Giovanni",/,sponsored,payments,/,19
"Lanfranco, Giovanni",/,created,work for Monterey,/,20
work for Monterey,/,intended_for,Monterey,/,20
"Lazzarini, Gregorio",/,sponsored,Battle of Aeneas,/,27
"Lazzarini, Gregorio",/,sponsored,Battle of Mezentius,/,27
"Lazzarini, Gregorio",/,sponsored,Capture of Syracuse with the Death of Archimedes,/,28
"Lazzarini, Gregorio",/,sponsored,Cincinnatus summoned from the Plough,/,29
"Lazzarini, Gregorio",/,sponsored,Death of Dido,/,30
"Lazzarini, Gregorio",/,created,triumphal arch for Francesco Morosini,/,31
triumphal arch for Francesco Morosini,/,intended_for,Francesco Morosini,/,31
"Lazzarini, Gregorio",/,created,"work for S. Paolo d'Argan, Bergamo",/,32
"work for S. Paolo d'Argan, Bergamo",/,intended_for,S. Paolo d,/,32
"Legros, Pierre",/,sponsored,Assumption of the Blessed Luigi Gonzaga,/,38
"Legros, Pierre",/,sponsored,Religion triumphing over Heresy,/,39
"Legros, Pierre",/,sponsored,St Stanislas Kostka,/,40
"Lena, Abate Giacomo della",/,sponsored,on F. Guardi,/,46
Leonardo da Vinci,/,sponsored,Leda and the Swan,/,49
Leonardo da Vinci,/,sponsored,St John the Baptist,/,50
Leonardo da Vinci,/,sponsored,Trattato della pittura,/,51
"Leoni, Ottavio",/,created,"etching of Paolo Giordano Orsini, Duke of Bracciano",/,54
"Liberi, Pietro",/,sponsored,"Rood, The",/,60
"Liberi, Pietro",/,sponsored,indecency of paintings,/,61
"contract for work in S. Maria Maggiore, Bergamo",/,located_in,"S. Maria Maggiore, Bergamo",/,62
"Liberi, Pietro",/,sponsored,"contract for work in S. Maria Maggiore, Bergamo",/,62
Liechtenstein family,/,sponsored,"town palace, Vienna",/,65
"Lodoli, Padre Carlo",/,collaborated_on,F. Algarotti,/,70
"Lodoli, Padre Carlo",/,sponsored,Apologhi,/,71
"Lodoli, Padre Carlo",/,sponsored,Elementi dell'architettura lodoliana (Memmo),/,72
"Lodoli, Padre Carlo",/,sponsored,ideas on education,/,73
"Lodoli, Padre Carlo",/,sponsored,A. Memmo and,/,74
"Lodoli, Padre Carlo",/,created,portraits by Nazari,/,75
"Lodoli, Padre Carlo",/,created,portraits by A. Longhi,/,75
"Lodoli, Padre Carlo",/,sponsored,A. Querini and,/,76
"Lodoli, Padre Carlo",/,sponsored,school,/,77
"Lodoli, Padre Carlo",/,created,views on architecture,/,78
"Lodoli, Padre Carlo",/,created,views on painting,/,79
London,/,sponsored,Venetian artists in,/,80
"Longhi, Alessandro",/,created,portrait of Carlo Lodoli,/,83
"Longhi, Alessandro",/,created,portrait of G. M. Sasso,/,84
"Longhi, Pietro",/,sponsored,Carlo Goldoni and,/,88
"Longhi, Pietro",/,sponsored,Fall of the Giants,/,89
"Longhi, Pietro",/,sponsored,Gasparo Gozzi and,/,90
"Longhi, Pietro",/,sponsored,paintings in collection of Teodoro Correr,/,91
"Longhi, Pietro",/,sponsored,two conversations,/,92
"Longhi, Pietro",/,sponsored,Mr Murray,/,92
"Longhi, Pietro",/,sponsored,family,/,92
"Lorrain, Claude",/,refer_to,Claude,/,99
"Loth, Johann Karl",/,collaborated_on,Grand Prince Ferdinand,/,102
"Loth, Johann Karl",/,sponsored,Death of Abel,/,103
Louvre,/,sponsored,Bernini plans for,/,110
"Lovisa, Domenico",/,sponsored,Il Gran Teatro delle Pitture e Prospettive di Venezia,/,112
"Ludovisi, Alessandro",/,is,Pope Gregory XV,/,114
"Ludovisi, Ludovico",/,is,nephew to Pope Gregory XV,/,115
"Ludovisi, Ludovico",/,is,nephew to Pope Gregory XV,/,116
"Ludovisi, Ludovico",/,collaborated_on,S. Andrea della Valle,/,116
"Ludovisi, Ludovico",/,is,nephew to Pope Gregory XV,/,117
"Ludovisi, Ludovico",/,collaborated_on,S. Ignazio,/,117
"Ludovisi, Ludovico",/,is,nephew to Pope Gregory XV,/,118
"Ludovisi, Ludovico",/,sponsored,patronage of Domenichino,/,118
