Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
Machiavelli,/,sponsored,Prince,/,3
"McSwiny, Owen",/,collaborated_on,Canaletto,/,5
"McSwiny, Owen",/,collaborated_on,Joseph Smith,/,6
"McSwiny, Owen",/,sponsored,plan for engraving of Van Dyck portraits,/,7
"McSwiny, Owen",/,sponsored,series of commemorative paintings of British worthies,/,8
"McSwiny, Owen",/,sponsored,series of commemorative paintings of British worthies,/,9
"McSwiny, Owen",/,sponsored,artists employed,/,9
"McSwiny, Owen",/,sponsored,series of commemorative paintings of British worthies,/,10
"McSwiny, Owen",/,sponsored,Venetian artists,/,10
"McSwiny, Owen",/,sponsored,To the Ladies and Gentlemen of Taste,/,11
"McSwiny, Owen",/,created,Tombeaux des Princes,/,12
Macerata,/,sponsored,Buonaccorsi palace,/,14
"Maderno, Carlo",/,sponsored,facade of St Peter's,/,16
"Maderno, Carlo",/,created,plans for Barberini palace,/,17
plans for Barberini palace,/,intended_for,Barberini palace,/,17
"Maderno, Carlo",/,created,work on S. Andrea della Valle,/,18
Madrid,/,sponsored,Palace of the Alcazar,/,20
Madrid,/,sponsored,Palace of Buen Retiro,/,21
Madrid,/,sponsored,Royal Palace,/,22
"Maggiotto, Francesco",/,sponsored,Considerazioni elettriche,/,28
"Maggiotto, Francesco",/,sponsored,Good Inclinations leading a Youth to Knowledge,/,29
"Maidalchini, Donna Olimpia",/,sponsored,Algardi bust,/,35
"Maidalchini, Donna Olimpia",/,sponsored,Velasquez portrait,/,36
"Malvasia, Carlo Cesare",/,sponsored,Felsina Pittrice,/,40
mansions in Arlington Street,/,located_in,Arlington Street,/,43
mansions in at Kimbolton,/,located_in,Arlington Street,/,43
mansions in Arlington Street,/,located_in,at Kimbolton,/,43
mansions in at Kimbolton,/,located_in,at Kimbolton,/,43
"Manchester, Lord",/,sponsored,mansions in Arlington Street,/,43
"Manchester, Lord",/,sponsored,mansions in at Kimbolton,/,43
"Mancini, Giulio",/,sponsored,Considerazioni sulla Pittura,/,46
"Manfrin, Girolamo",/,sponsored,collection,/,51
"Manfrin, Girolamo",/,sponsored,competitions for painters,/,52
"Manfrin, Girolamo",/,sponsored,letter to Pietro Edwards concerning formation of picture gallery,/,53
Manin country house,/,located_in,Passeriano,/,56
Manin family,/,located_in,Venice,/,57
Manin palace,/,located_in,Venice,/,58
"Maratta, Carlo",/,collaborated_on,Altieri palace,/,65
"Maratta, Carlo",/,sponsored,Allegory of Clemency,/,66
"Maratta, Carlo",/,sponsored,Apollo,/,67
"Maratta, Carlo",/,sponsored,Daphne,/,67
"Maratta, Carlo",/,sponsored,Augustus closing the Temple of Janus,/,68
"Maratta, Carlo",/,sponsored,Bathsheba,/,69
"Maratta, Carlo",/,sponsored,documents relating to S. Andrea al Quirinale altarpieces,/,70
"Maratta, Carlo",/,sponsored,payment,/,71
"Maratta, Carlo",/,created,portrait of Pope Clement IX,/,72
"Maratta, Carlo",/,created,portraits of Cardinal Antonio Barberini,/,73
"Maratta, Carlo",/,sponsored,St Stanislas Kostka,/,74
"March, Lord",/,refer_to,"Richmond, Duke of",/,75
"Marchesini, Alessandro",/,created,work for Stefano Conti,/,79
work for Stefano Conti,/,intended_for,Stefano Conti,/,79
"Marigny, Marquis de",/,refer_to,Vandières,/,87
"Marino, Giambattista",/,sponsored,Adone,/,89
"Marino, Giambattista",/,collaborated_on,Poussin,/,90
"Marino, Giambattista",/,sponsored,poems on works by leading artists,/,91
"Marucelli, Francesco",/,sponsored,library,/,95
"Marucelli, Francesco",/,sponsored,lives of painters,/,96
Marucelli Palace,/,located_in,Florence,/,98
"Massimi, Camillo",/,is,the Elder,/,103
"Massimi, Cardinal Camillo",/,is,Carlo,/,104
"Massimi, Cardinal Camillo",/,is,Carlo,/,105
"Massimi, Cardinal Camillo",/,collaborated_on,Claude,/,105
"Massimi, Cardinal Camillo",/,is,Carlo,/,106
"Massimi, Cardinal Camillo",/,collaborated_on,Maratta,/,106
"Massimi, Cardinal Camillo",/,is,Carlo,/,107
"Massimi, Cardinal Camillo",/,collaborated_on,Poussin,/,107
"Massimi, Cardinal Camillo",/,is,Carlo,/,108
"Massimi, Cardinal Camillo",/,collaborated_on,Velasquez,/,108
"Massimi, Cardinal Camillo",/,is,Carlo,/,109
"Massimi, Cardinal Camillo",/,sponsored,appointment as Cardinal,/,109
"Massimi, Cardinal Camillo",/,is,Carlo,/,110
"Massimi, Cardinal Camillo",/,sponsored,as Nunzio to Spain,/,110
"Massimi, Cardinal Camillo",/,is,Carlo,/,111
"Massimi, Cardinal Camillo",/,sponsored,collection of antiquities,/,111
"Massimi, Cardinal Camillo",/,is,Carlo,/,112
"Massimi, Cardinal Camillo",/,sponsored,copies of illustrations of late antique Virgil manuscript,/,112
"Massimi, Cardinal Camillo",/,is,Carlo,/,113
"Massimi, Cardinal Camillo",/,sponsored,dispersal of collection after death,/,113
"Massimi, Cardinal Camillo",/,is,Carlo,/,114
"Massimi, Cardinal Camillo",/,sponsored,library,/,114
"Massimi, Cardinal Camillo",/,is,Carlo,/,115
"Massimi, Cardinal Camillo",/,sponsored,reorganisation of Accademia degli Umoristi,/,115
"Mattei, Tommaso",/,sponsored,"Archbishop's Palace, Ferrara",/,120
"Matteis, Paolo de",/,sponsored,Hercules at the Crossroads,/,122
"Matteis, Paolo de",/,sponsored,between Vice,/,122
"Matteis, Paolo de",/,sponsored,Virtue,/,122
"Matteis, Paolo de",/,created,work for 3rd Earl of Shaftesbury,/,123
"Mazarin, Cardinal",/,collaborated_on,Poussin,/,129
"Mazarin, Cardinal",/,collaborated_on,Poussin,/,130
"Mazarin, Cardinal",/,sponsored,neglect of his mature style,/,130
"Mazarin, Cardinal",/,collaborated_on,Romanelli,/,131
"Mazarin, Cardinal",/,collaborated_on,Sacchetti family,/,132
"Mazarin, Cardinal",/,sponsored,association with Barberini,/,133
"Mazarin, Cardinal",/,sponsored,association with Bentivoglio families,/,133
attempt to get Bernini to settle in France,/,located_in,France,/,134
"Mazarin, Cardinal",/,sponsored,attempt to get Bernini to settle in France,/,134
"Mazarin, Cardinal",/,sponsored,attempt to persuade Algardi to come to France,/,135
"Mazarin, Cardinal",/,sponsored,Brienne's account of farewell to his treasures,/,136
"Mazarin, Cardinal",/,sponsored,inventory of collection,/,137
"Mazarin, Cardinal",/,sponsored,opposition of Fronde to,/,138
purchase of Bentivoglio palace in Rome,/,located_in,Rome,/,139
"Mazarin, Cardinal",/,sponsored,purchase of Bentivoglio palace in Rome,/,139
"Mazarin, Cardinal",/,sponsored,taste,/,140
"Mazzarini, Giulio",/,refer_to,Mazarin,/,143
"Medici, Anna Maria Ludovica de'",/,is,"wife of Johann Wilhelm, Elector Palatinate",/,147
"Medici, Grand Prince Ferdinand de'",/,collaborated_on,art exhibitions,/,151
"Medici, Grand Prince Ferdinand de'",/,collaborated_on,G. M. Crespi,/,152
"Medici, Grand Prince Ferdinand de'",/,collaborated_on,G. M. Crespi,/,153
"Medici, Grand Prince Ferdinand de'",/,sponsored,support in break with conventional 'history picture',/,153
"Medici, Grand Prince Ferdinand de'",/,collaborated_on,Fumiani,/,154
"Medici, Grand Prince Ferdinand de'",/,collaborated_on,Gabbiani,/,155
"Medici, Grand Prince Ferdinand de'",/,collaborated_on,Karl Loth,/,156
"Medici, Grand Prince Ferdinand de'",/,collaborated_on,Livio Mehus,/,157
"Medici, Grand Prince Ferdinand de'",/,collaborated_on,S. Ricci,/,158
"Medici, Grand Prince Ferdinand de'",/,collaborated_on,16th-century Venetian painting,/,159
"Medici, Grand Prince Ferdinand de'",/,collaborated_on,Venice,/,160
"Medici, Grand Prince Ferdinand de'",/,sponsored,collection,/,161
"Medici, Grand Prince Ferdinand de'",/,sponsored,employment of Niccolò Cassana,/,162
"Medici, Grand Prince Ferdinand de'",/,sponsored,patronage of contemporary artists,/,163
"Medici, Grand Prince Ferdinand de'",/,sponsored,collaboration with painters,/,164
"Medici, Grand Prince Ferdinand de'",/,sponsored,support of writers,/,165
"Medici, Grand Prince Ferdinand de'",/,sponsored,taste in painting,/,166
"Medici, Isabella de'",/,is,Duchess of Bracciano,/,169
"Mei, Bernardino",/,sponsored,Justice,/,175
"Mei, Bernardino",/,sponsored,Peace,/,175
"Mei, Bernardino",/,sponsored,Youth rescued from the Pleasures of Venus,/,176
"Melanconici, Niccolò",/,sponsored,Abraham,/,178
"Melanconici, Niccolò",/,sponsored,David with the Head of Goliath,/,179
"work in S. Maria Maggiore, Bergamo",/,located_in,"S. Maria Maggiore, Bergamo",/,180
"Melanconici, Niccolò",/,created,"work in S. Maria Maggiore, Bergamo",/,180
"work in S. Maria Maggiore, Bergamo",/,located_in,"S. Maria Maggiore, Bergamo",/,181
"Melanconici, Niccolò",/,created,"work in S. Maria Maggiore, Bergamo",/,181
"Melanconici, Niccolò",/,sponsored,payment,/,181
"Memmo, Andrea",/,collaborated_on,Carlo Lodoli,/,184
