Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
Naples,/,sponsored,feudal landowners,/,3
"Napoletano, Filippo",/,refer_to,"Angeli, Filippo d'",/,4
"Nazari, Bartolommeo",/,created,Portrait of Carlo Lodoli,/,9
"Negroni, Cardinal Giovan Francesco",/,collaborated_on,chapel of St Francis Xavier,/,14
"Nogari, Giuseppe",/,sponsored,Allegories of Education,/,25
"Nogari, Giuseppe",/,sponsored,Old Man with a Pipe,/,26
"Nogari, Giuseppe",/,sponsored,Old Man with Tobacco Pouch,/,26
"Nogari, Giuseppe",/,sponsored,Old Woman with Glasses,/,27
"Nogari, Giuseppe",/,sponsored,teste di fantasia,/,28
"Nomé, François",/,is,'Monsù Desiderio',/,30
"Nomé, François",/,is,'Monsù Desiderio',/,31
"Nomé, François",/,sponsored,Babylon,/,31
"Nomé, François",/,is,'Monsù Desiderio',/,32
"Nomé, François",/,sponsored,Temple of Solomon,/,32
"Non, Dominique De",/,is,Dominique Vivant-Denon,/,33
"Non, Dominique De",/,is,Dominique Vivant-Denon,/,34
"Non, Dominique De",/,created,engraving of Voltaire portrait,/,34
"Novelli, Pietro",/,is,'il Monrealese',/,38
"Novelli, Pietro Antonio",/,sponsored,Creusa imploring Aeneas to rescue his father Anchises,/,40
"Novelli, Pietro Antonio",/,created,illustrations for Pasquali edition of Goldoni,/,41
illustrations for Pasquali edition of Goldoni,/,intended_for,Pasquali edition of Goldoni,/,41
"Novelli, Pietro Antonio",/,created,illustrations for Zatta edition of Goldoni,/,42
illustrations for Zatta edition of Goldoni,/,intended_for,Zatta edition of Goldoni,/,42
"Novelli, Pietro Antonio",/,sponsored,Perseus and the Head of Medusa,/,43
"Nuzzi, Mario",/,is,Mario de' Fiori,/,46
