Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Odescalchi, Benedetto",/,is,Pope Innocent XI,/,3
"Olina, P.",/,sponsored,Uccelliera,/,5
"Oliva, Gian Paolo",/,collaborated_on,Bernini,/,7
"Oliva, Gian Paolo",/,collaborated_on,Borgognone,/,8
"Oliva, Gian Paolo",/,collaborated_on,Duke of Parma,/,9
"Oliva, Gian Paolo",/,collaborated_on,Gaulli,/,10
"Oliva, Gian Paolo",/,collaborated_on,Cardinal Negroni,/,11
Oratorians,/,located_in,Rome,/,17
Oratorians,/,located_in,Venice,/,18
Oratorio,/,located_in,Rome,/,19
"Orleans, Philippe d', Regent",/,created,illustrations for Daphnis,/,22
"Orleans, Philippe d', Regent",/,created,illustrations for Chloe,/,22
illustrations for Daphnis,/,intended_for,Daphnis,/,22
illustrations for Chloe,/,intended_for,Chloe,/,22
"Orsini, Paolo Giordano",/,refer_to,Bracciano,/,24
"Ottoboni, Pietro",/,is,Pope Alexander VIII,/,30
"Ottoboni, Cardinal Pietro",/,is,nephew to Pope Alexander VIII,/,31
"Ottoboni, Cardinal Pietro",/,is,nephew to Pope Alexander VIII,/,32
"Ottoboni, Cardinal Pietro",/,sponsored,effect of patronage on painters,/,32
"Ottoboni, Cardinal Pietro",/,is,nephew to Pope Alexander VIII,/,33
"Ottoboni, Cardinal Pietro",/,sponsored,failure to attract painters to Rome,/,33
"Ottoboni, Cardinal Pietro",/,is,nephew to Pope Alexander VIII,/,34
"Ottoboni, Cardinal Pietro",/,sponsored,patronage of Francesco Trevisani,/,34
"Ottoboni, Cardinal Pietro",/,is,nephew to Pope Alexander VIII,/,35
"Ottoboni, Cardinal Pietro",/,sponsored,theatre,/,35
