Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
Padovanino,/,refer_to,"Varotari, Alessandro",/,2
Padua,/,sponsored,Prà della Valle,/,4
"Painting, social significance of",/,sponsored,as discussed in Italy in mid 18th century,/,5
Palazzo Ducale,/,located_in,Venice,/,6
"Palladio, Andrea",/,sponsored,"Palazzo Chiericati, Vicenza",/,8
"Palma, Jacopo",/,is,il Giovane,/,11
"Paltronieri, Pietro",/,is,'il Mirandolese',/,13
"Pamfili, Prince Camillo",/,is,nephew to Pope Innocent X,/,14
"Pamfili, Prince Camillo",/,is,nephew to Pope Innocent X,/,15
"Pamfili, Prince Camillo",/,sponsored,meanness and occasional generosity,/,15
"Pamfili, Prince Camillo",/,is,nephew to Pope Innocent X,/,16
"Pamfili, Prince Camillo",/,sponsored,palace,/,16
"Pamfili, Prince Camillo",/,is,nephew to Pope Innocent X,/,17
"Pamfili, Prince Camillo",/,commissioned,villa built by Algardi,/,17
Algardi,/,built,villa built by Algardi,/,17
"Pamfili, Gianbattista",/,is,Pope Innocent X,/,19
"Pamfili, Gianbattista",/,is,Pope Innocent X,/,20
"Pamfili, Gianbattista",/,sponsored,conservative nature of patronage,/,20
"Pamfili, Gianbattista",/,is,Pope Innocent X,/,21
"Pamfili, Gianbattista",/,sponsored,dispute over burial of,/,21
"Pamfili, Gianbattista",/,is,Pope Innocent X,/,22
"Pamfili, Gianbattista",/,sponsored,effect of economic retrenchment on artists,/,22
Pamfili palace,/,is,Piazza Navona,/,24
"Pannini, Giovanni Paolo",/,sponsored,Interior of the Pantheon,/,28
"Paolini, Pietro",/,sponsored,Death of Wallenstein,/,30
Papal states,/,sponsored,increasing poverty,/,32
Papal states,/,sponsored,wealth of in 1623,/,33
"Pareja, Juan de",/,sponsored,Velasquez portrait of,/,34
"Paris, Venetian 18th-century artists in",/,sponsored,see also under French patronage,/,37
"Parma, Dukes of",/,refer_to,Farnese,/,39
"Parmigianino, Francesco",/,sponsored,Madonna del Collo Lungo,/,41
"Pasquali, Giambattista",/,collaborated_on,Carlo Lodoli,/,46
"Pasquali, Giambattista",/,collaborated_on,Joseph Smith,/,47
"Pasquali, Giambattista",/,sponsored,books illustrating paintings by Cignani,/,48
"Pasquali, Giambattista",/,sponsored,books illustrating paintings by Ricci,/,48
"Pasquali, Giambattista",/,sponsored,Dactylografia Smithiana,/,49
"Pasquali, Giambattista",/,sponsored,Beatae Mariae Virginis Officium,/,50
"Pasquali, Giambattista",/,sponsored,difficulties with censorship,/,51
"Pasquali, Giambattista",/,sponsored,edition of Goldoni's works,/,52
"Pasquali, Giambattista",/,created,works of scientific popularization,/,53
Patron-artist relation,/,sponsored,17th century,/,60
"Paul V, Pope",/,refer_to,"Borghese, Camillo",/,61
"Pellegrini, Giovanni Antonio",/,collaborated_on,Crozat,/,65
"Pellegrini, Giovanni Antonio",/,sponsored,Fall of Phaeton,/,66
"Pellegrini, Giovanni Antonio",/,sponsored,Mississippi Gallery of Banque Royale,/,67
"Pellegrini, Giovanni Antonio",/,created,"work for Johann Wilhelm, Elector Palatinate",/,68
"work for Johann Wilhelm, Elector Palatinate",/,intended_for,"Johann Wilhelm, Elector Palatinate",/,68
work in Amsterdam,/,located_in,Amsterdam,/,69
work in Antwerp,/,located_in,Amsterdam,/,69
work in Amsterdam,/,located_in,Antwerp,/,69
work in Antwerp,/,located_in,Antwerp,/,69
"Pellegrini, Giovanni Antonio",/,created,work in Amsterdam,/,69
"Pellegrini, Giovanni Antonio",/,created,work in Antwerp,/,69
work in Dresden,/,located_in,Dresden,/,70
"Pellegrini, Giovanni Antonio",/,created,work in Dresden,/,70
"Pellegrini, Giovanni Antonio",/,created,work in Düsseldorf,/,71
work in England,/,located_in,England,/,72
"Pellegrini, Giovanni Antonio",/,created,work in England,/,72
work in Paris,/,located_in,Paris,/,73
"Pellegrini, Giovanni Antonio",/,created,work in Paris,/,73
Pepoli palace,/,located_in,Bologna,/,74
"Peretti, Felice",/,is,Pope Sixtus V,/,76
"Peretti-Montalto, Cardinal Alessandro",/,collaborated_on,S. Andrea della Valle,/,79
"Permoser, Balthasar",/,sponsored,Apotheosis of Prince Eugene,/,82
Pesaro palace,/,located_in,Venice,/,88
"Pesne, Antoine",/,created,portraits of Frederick the Great,/,91
"Pesne, Antoine",/,created,portraits of of Queen of Prussia,/,91
statue of in Prà della Valle,/,located_in,Pr,/,95
Petrarch,/,created,statue of in Prà della Valle,/,95
Philip IV of Spain,/,sponsored,equestrian statue by Tacca,/,99
"Piazzetta, Giovanni Battista",/,collaborated_on,Francesco Algarotti,/,104
"Piazzetta, Giovanni Battista",/,collaborated_on,Zaccaria Sagredo,/,105
"Piazzetta, Giovanni Battista",/,sponsored,Angelo Custode,/,106
"Piazzetta, Giovanni Battista",/,sponsored,Assumption of the Virgin,/,107
"Piazzetta, Giovanni Battista",/,sponsored,as Marshal Schulenburg's agent in purchase of pictures,/,108
"Piazzetta, Giovanni Battista",/,created,book illustration for Albrizzi,/,109
book illustration for Albrizzi,/,intended_for,Albrizzi,/,109
"Piazzetta, Giovanni Battista",/,sponsored,Beggar holding a Rosary,/,110
"Piazzetta, Giovanni Battista",/,sponsored,Caesar and the Corsairs of Cilicia,/,111
"Piazzetta, Giovanni Battista",/,sponsored,Death of Darius,/,112
"Piazzetta, Giovanni Battista",/,sponsored,Girl with a Basket of Chickens,/,113
"Piazzetta, Giovanni Battista",/,sponsored,Glory of St Dominic,/,114
"Piazzetta, Giovanni Battista",/,created,illustrations for Gerusalemme Liberata,/,115
illustrations for Gerusalemme Liberata,/,intended_for,Gerusalemme Liberata,/,115
"Piazzetta, Giovanni Battista",/,sponsored,Judith with the Head of Holofernes,/,116
"Piazzetta, Giovanni Battista",/,created,Monument to Lord Somers (McSwiny's British Worthies),/,117
"Piazzetta, Giovanni Battista",/,sponsored,Mucius Scaevola at the Altar,/,118
"Piazzetta, Giovanni Battista",/,created,Pastorals painted for Marshal Schulenburg,/,119
Pastorals painted for Marshal Schulenburg,/,intended_for,Marshal Schulenburg,/,119
"Piazzetta, Giovanni Battista",/,created,portraits for Marshal Schulenburg,/,120
"Piazzetta, Giovanni Battista",/,created,other paintings for Marshal Schulenburg,/,120
portraits for Marshal Schulenburg,/,intended_for,Marshal Schulenburg,/,120
other paintings for Marshal Schulenburg,/,intended_for,Marshal Schulenburg,/,120
"Piazzetta, Giovanni Battista",/,sponsored,prices,/,121
"Piazzetta, Giovanni Battista",/,sponsored,Religion trampling on Heresy,/,122
"Piazzetta, Giovanni Battista",/,sponsored,Sacrifice of Iphigenia,/,123
"Piazzetta, Giovanni Battista",/,sponsored,St Philip Neri and the Virgin,/,124
"Piazzetta, Giovanni Battista",/,sponsored,Standard Bearer,/,125
"Piazzetta, Giovanni Battista",/,sponsored,Three Dominican Saints,/,126
"Pignatelli, Antonio",/,is,Pope Innocent XII,/,131
"Piola, Paolo Girolamo",/,sponsored,Danita,/,138
"Pisani, Giorgio",/,sponsored,arrest,/,145
"Pisani, Giorgio",/,sponsored,election as Procuratore di San Marco,/,146
"Pisani, Giorgio",/,sponsored,poems in support of,/,147
"Pisani, Giorgio",/,sponsored,pamphlets in support of,/,147
Pisani palace,/,located_in,Venice,/,148
Pitti Palace,/,located_in,Florence,/,151
"Pittoni, Giovan Battista",/,sponsored,Agrippina being killed on the orders of her son Nero,/,153
"Pittoni, Giovan Battista",/,sponsored,German patrons,/,154
"Pittoni, Giovan Battista",/,created,history paintings for Marshal Schulenburg,/,155
history paintings for Marshal Schulenburg,/,intended_for,Marshal Schulenburg,/,155
"Pittoni, Giovan Battista",/,created,Monuments to (McSwiny's British Worthies),/,156
"Pittoni, Giovan Battista",/,created,Monuments to (McSwiny's British Worthies),/,157
"Pittoni, Giovan Battista",/,sponsored,Archbishop Tillotson,/,157
"Pittoni, Giovan Battista",/,created,Monuments to (McSwiny's British Worthies),/,158
"Pittoni, Giovan Battista",/,sponsored,Isaac Newton,/,158
"Pittoni, Giovan Battista",/,created,Monuments to (McSwiny's British Worthies),/,159
"Pittoni, Giovan Battista",/,sponsored,Lord Dorset,/,159
"Pittoni, Giovan Battista",/,created,Monuments to (McSwiny's British Worthies),/,160
"Pittoni, Giovan Battista",/,sponsored,Lord Stanhope,/,160
"Pittoni, Giovan Battista",/,sponsored,Nero being shown the corpse of Seneca,/,161
Platnerus,/,sponsored,Institutiones Chirurgicae,/,163
Pomerancio,/,refer_to,"Roncalli, Cristoforo",/,173
"Porta, Guglielmo della",/,created,tomb of Paul III,/,181
"Portland, Henry, first Duke of",/,collaborated_on,Sebastiano Ricci,/,183
"Portland, Henry, first Duke of",/,sponsored,Bulstrode Park,/,184
"Portland, Henry, first Duke of",/,sponsored,Rigaud portrait,/,185
"Poussin, Gaspard",/,refer_to,"Dughet, Gaspard",/,187
"Poussin, Nicolas",/,created,altarpieces,/,189
"Poussin, Nicolas",/,collaborated_on,the Barberini,/,190
"Poussin, Nicolas",/,collaborated_on,Leonardo da Vinci,/,191
"Poussin, Nicolas",/,collaborated_on,Marino,/,192
"Poussin, Nicolas",/,collaborated_on,Camillo Massimi,/,193
"Poussin, Nicolas",/,collaborated_on,Cassiano dal Pozzo,/,194
"Poussin, Nicolas",/,sponsored,Annunciation,/,195
"Poussin, Nicolas",/,sponsored,Apollo,/,196
"Poussin, Nicolas",/,sponsored,Daphne,/,196
"Poussin, Nicolas",/,sponsored,Arcadian Shepherds,/,197
"Poussin, Nicolas",/,sponsored,Arcadian Shepherds,/,198
"Poussin, Nicolas",/,sponsored,first version,/,198
"Poussin, Nicolas",/,sponsored,Arcadian Shepherds,/,199
"Poussin, Nicolas",/,sponsored,second version,/,199
"Poussin, Nicolas",/,sponsored,Assumption of the Virgin,/,200
"Poussin, Nicolas",/,sponsored,Aurora,/,201
"Poussin, Nicolas",/,sponsored,Cephalus,/,201
"Poussin, Nicolas",/,sponsored,Bacchanals,/,202
"Poussin, Nicolas",/,sponsored,Camillus handing the Schoolmaster of the Falerii to his Pupils,/,203
"Poussin, Nicolas",/,sponsored,Capture of Jerusalem,/,204
"Poussin, Nicolas",/,sponsored,Capture of Jerusalem,/,205
"Poussin, Nicolas",/,sponsored,second version,/,205
"Poussin, Nicolas",/,sponsored,Dance of Human Life,/,206
"Poussin, Nicolas",/,sponsored,Death of Germanicus,/,207
"Poussin, Nicolas",/,sponsored,Diana,/,208
"Poussin, Nicolas",/,sponsored,Endymion,/,208
"Poussin, Nicolas",/,sponsored,Funeral of Phocion,/,209
"Poussin, Nicolas",/,sponsored,Holy Family with St Catherine,/,210
"Poussin, Nicolas",/,sponsored,illustrations to Cassiano dal Pozzo's edition of Leonardo's Trattato della pittura,/,211
"Poussin, Nicolas",/,sponsored,Inspiration du Poète,/,212
"Poussin, Nicolas",/,sponsored,King Midas,/,213
"Poussin, Nicolas",/,sponsored,Landscape with Man fleeing from Serpent,/,214
"Poussin, Nicolas",/,sponsored,Landscape with St John,/,215
"Poussin, Nicolas",/,sponsored,Landscape with St Matthew,/,216
"Poussin, Nicolas",/,sponsored,Landscape with Woman washing her Feet,/,217
"Poussin, Nicolas",/,sponsored,Mars,/,218
"Poussin, Nicolas",/,sponsored,Venus,/,218
"Poussin, Nicolas",/,sponsored,Martyrdom of St Erasmus,/,219
"Poussin, Nicolas",/,sponsored,Massacre of the Innocents,/,220
"Poussin, Nicolas",/,sponsored,Moses changing Aaron's Rod into a Serpent,/,221
"Poussin, Nicolas",/,sponsored,Moses trampling on Pharaoh's Crown,/,222
"Poussin, Nicolas",/,sponsored,Plague at Ashdod,/,223
"Poussin, Nicolas",/,sponsored,pressure on to return to France,/,224
"Poussin, Nicolas",/,sponsored,Rebecca,/,225
"Poussin, Nicolas",/,sponsored,Eliezer,/,225
"Poussin, Nicolas",/,sponsored,Rest on the Flight into Egypt,/,226
"Poussin, Nicolas",/,sponsored,Sacrifice of Noah,/,227
"Poussin, Nicolas",/,sponsored,Samson,/,228
"Poussin, Nicolas",/,sponsored,Seven Sacraments,/,229
"Poussin, Nicolas",/,sponsored,Spring,/,230
"Poussin, Nicolas",/,sponsored,Tempest with Pyramus,/,231
"Poussin, Nicolas",/,sponsored,Tempest with Thisbe,/,231
"Poussin, Nicolas",/,sponsored,Triumph of Neptune,/,232
"Poussin, Nicolas",/,sponsored,Triumph of Amphitrite,/,232
"Poussin, Nicolas",/,sponsored,Truth uncovered by Time,/,233
"Poussin, Nicolas",/,sponsored,Virgin protecting the City of Spoleto,/,234
work in S. Ignazio,/,located_in,S. Ignazio,/,238
"Pozzo, Andrea",/,created,work in S. Ignazio,/,238
"Pozzo, Cassiano dal",/,collaborated_on,Barberini,/,241
"Pozzo, Cassiano dal",/,collaborated_on,Bernini,/,242
"Pozzo, Cassiano dal",/,collaborated_on,Duquesnoy,/,243
"Pozzo, Cassiano dal",/,collaborated_on,Pietro da Cortona,/,244
"Pozzo, Cassiano dal",/,collaborated_on,Poussin,/,245
"Pozzo, Cassiano dal",/,collaborated_on,Testa,/,246
"Pozzo, Cassiano dal",/,collaborated_on,Vouet,/,247
"Pozzo, Cassiano dal",/,sponsored,Bernini caricature,/,248
"Pozzo, Cassiano dal",/,sponsored,edition of Leonardo's Trattato della pittura,/,249
"Pozzo, Cassiano dal",/,sponsored,influence on artists,/,250
"Pozzo, Cassiano dal",/,sponsored,interest in archaeology,/,251
interest in Venetian painting,/,located_in,Venetian painting,/,252
"Pozzo, Cassiano dal",/,sponsored,interest in Venetian painting,/,252
"Pozzo, Cassiano dal",/,sponsored,museum,/,253
"Pozzo, Cassiano dal",/,sponsored,Museum Chartaceum,/,254
"Pozzo, Cassiano dal",/,sponsored,religious views,/,255
"Pozzo, Cassiano dal",/,sponsored,scientific interests,/,256
"Pozzo, Cassiano dal",/,sponsored,situation after death of Urban VIII,/,257
"Pozzo, Cassiano dal",/,sponsored,visit to Paris with Cardinal Francesco Barberini,/,258
"Preti, Mattia",/,sponsored,Beheading of St Paul,/,261
"Preti, Mattia",/,sponsored,Crucifixion of St Peter,/,262
"Preti, Mattia",/,sponsored,Gaspar Roomer and,/,263
"Preti, Mattia",/,sponsored,Marriage Feast at Cana,/,264
"Preti, Mattia",/,sponsored,Martyrdom of St Bartholomew,/,265
