Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Querini, Angelo",/,collaborated_on,De Non,/,4
"Querini, Angelo",/,collaborated_on,Enlightenment,/,5
"Querini, Angelo",/,collaborated_on,Carlo Lodoli,/,6
"Querini, Angelo",/,sponsored,arrest and detention,/,7
"Querini, Angelo",/,sponsored,country house at Alticchiero,/,8
"Querini, Angelo",/,sponsored,garden,/,9
"Querini, Angelo",/,sponsored,influence of Rousseau,/,10
"Querini, Angelo",/,sponsored,opposition of Marco Foscarini to,/,11
"Querini, Angelo",/,sponsored,romantic,/,12
"Querini, Angelo",/,sponsored,'pagan,/,12
"Querini, Angelo",/,sponsored,Manichean' soul,/,12
"Querini, Angelo",/,sponsored,taste for antique,/,13
"Querini, Angelo",/,sponsored,visit to Voltaire,/,14
Quirinal,/,located_in,Rome,/,16
"Rambaldi, Carlo Antonio",/,sponsored,Apotheosis of Aeneas (with Dardani),/,23
Raphael,/,sponsored,Deposition,/,27
Raphael,/,sponsored,Galatea,/,28
Raphael,/,sponsored,Holy Family,/,29
Raphael,/,sponsored,Madonna del Baldacchino,/,30
Raphael,/,sponsored,St Cecilia,/,31
Raphael,/,sponsored,St George,/,32
Raphael,/,sponsored,St John the Baptist,/,33
Raphael,/,sponsored,St Michael,/,34
"Rapparini, Giorgio Maria",/,created,Portrait du Vrai Mérite dans la personne serenissime de Monseigneur l'Electeur Palatin,/,36
Reason and fantasy,/,sponsored,18th century discussion of roles in creation,/,38
"Religious orders, patronage by",/,sponsored,(see also under individual orders),/,41
"Religious orders, patronage by",/,located_in,Rome,/,42
"Religious orders, patronage by",/,located_in,Rome,/,43
"Religious orders, patronage by",/,sponsored,effect of legal and financial power of Roman aristocracy,/,43
"Religious orders, patronage by",/,located_in,Venice,/,44
Rembrandt,/,sponsored,Alexander the Great,/,46
Rembrandt,/,sponsored,Aristotle contemplating the Bust of Homer,/,47
Rembrandt,/,sponsored,Blind Homer,/,48
Rembrandt,/,created,sketch for The Concord of the State,/,49
sketch for The Concord of the State,/,intended_for,The Concord of the State,/,49
Remondini,/,created,prints for by Piazzetta,/,51
Remondini,/,created,prints for by Amigoni,/,51
Remondini,/,created,prints for by Guarana,/,51
Remondini,/,created,prints for by Pietro Longhi,/,51
"Reni, Guido",/,sponsored,Abduction of Helen,/,53
"Reni, Guido",/,sponsored,Archangel Michael Trampling on the Devil,/,54
"Reni, Guido",/,sponsored,attack on Bamboccianti,/,55
"Reni, Guido",/,sponsored,Aurora,/,56
"Reni, Guido",/,sponsored,Bacchus,/,57
"Reni, Guido",/,sponsored,Ariadne,/,57
"Reni, Guido",/,sponsored,Massacre of the Innocents,/,58
"Reni, Guido",/,sponsored,Rape of Helen,/,59
"Reni, Guido",/,sponsored,S. Luigi Gonzaga,/,60
"Rezzonico, Carlo",/,is,Pope Clement XIII,/,65
"Ribera, Giuseppe",/,created,altarpieces for Monterey,/,69
