Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Sacchetti, Marcello",/,sponsored,country house at Castel Fusano,/,4
"Sacchetti, Marcello",/,sponsored,patronage of Pietro da Cortona,/,5
"Sacchetti, Marcello",/,sponsored,taste in painting,/,6
"Sacchi, Andrea",/,created,admiration for Raphael,/,8
admiration for Raphael,/,intended_for,Raphael,/,8
"Sacchi, Andrea",/,sponsored,Divine Wisdom,/,9
"Sacchi, Andrea",/,sponsored,hostility to Bamboccianti,/,10
"Sacchi, Andrea",/,created,modelli,/,11
"Sacchi, Andrea",/,sponsored,special relationship with Cardinal Antonio Barberini,/,12
work in Barberini palace,/,located_in,Barberini palace,/,13
"Sacchi, Andrea",/,created,work in Barberini palace,/,13
"Sagredo, Zaccaria",/,collaborated_on,Canaletto,/,19
"Sagredo, Zaccaria",/,collaborated_on,Piazzetta,/,20
"Sagredo, Zaccaria",/,sponsored,Carracci drawings,/,21
"Sagredo, Zaccaria",/,sponsored,Castiglione drawings,/,22
"Sagredo, Zaccaria",/,sponsored,collection of prints,/,23
"Sagredo, Zaccaria",/,sponsored,collection of drawings,/,23
"Sagredo, Zaccaria",/,sponsored,commissions to Crespi,/,24
"Sagredo, Zaccaria",/,sponsored,dispersal of collection,/,25
"Sagredo, Zaccaria",/,sponsored,inventories of collection,/,26
"Sagredo, Zaccaria",/,sponsored,nervous disposition,/,27
"Sagredo, Zaccaria",/,sponsored,patronage of younger generation of Venetian artists,/,28
"Saint-Non, Abbé de",/,sponsored,Voyage Pittoresque de la Grèce et de la Sicile,/,31
Salviati family,/,located_in,Florence,/,37
"San Giovanni, Giovanni da",/,created,frescoes for Cardinal Bentivoglio,/,39
frescoes for Cardinal Bentivoglio,/,intended_for,Cardinal Bentivoglio,/,39
"San Rocco, Scuola di",/,located_in,Venice,/,40
Sandi palace,/,located_in,Venice,/,41
"Sansovino, Jacopo",/,sponsored,Bacchus,/,44
"Sarto, Andrea del",/,sponsored,Madonna delle Arpie,/,51
"Sasso, Giuseppe Maria",/,sponsored,A. Longhi portrait,/,54
"Sasso, Giuseppe Maria",/,sponsored,Osservazioni sopra i lavori di niello,/,55
"Sasso, Giuseppe Maria",/,created,purchases of Venetian paintings for J. Strange,/,56
purchases of Venetian paintings for J. Strange,/,intended_for,J. Strange,/,56
"Sasso, Giuseppe Maria",/,sponsored,taste in art,/,57
Sassoferrato,/,is,Giovan Battista Salvi,/,58
Sassoferrato,/,is,Giovan Battista Salvi,/,59
Sassoferrato,/,created,painting of S. Francesco da Paola,/,59
Sassoferrato,/,is,Giovan Battista Salvi,/,60
Sassoferrato,/,created,portrait of Monsignor Ottaviano Prati,/,60
Sassoferrato,/,is,Giovan Battista Salvi,/,61
Sassoferrato,/,sponsored,style,/,61
Sassoferrato,/,is,Giovan Battista Salvi,/,62
Sassoferrato,/,sponsored,Virgin and Child holding Rosaries,/,62
Sassoferrato,/,is,Giovan Battista Salvi,/,63
Sassoferrato,/,sponsored,Virgin and Child holding Rosaries with Saints Catherine,/,63
Sassoferrato,/,sponsored,Virgin and Child holding Rosaries with Dominic,/,63
"Savoy, Prince Eugene of",/,sponsored,patronage of Italian artists,/,74
"Savoy, Prince Eugene of",/,sponsored,taste,/,75
Scalzi,/,located_in,Venice,/,78
"Scaramuccia, Luigi",/,created,print of Venus,/,80
"Scaramuccia, Luigi",/,created,print of Adonis dedicated to Niccolò Simonelli,/,80
"Schulenburg, Marshal Johann Matthias",/,collaborated_on,Canaletto,/,91
"Schulenburg, Marshal Johann Matthias",/,collaborated_on,Gian Antonio Guardi,/,92
"Schulenburg, Marshal Johann Matthias",/,sponsored,comparison of collection with Smith's,/,93
"Schulenburg, Marshal Johann Matthias",/,sponsored,defence of Corfu,/,94
"Schulenburg, Marshal Johann Matthias",/,sponsored,Dutch paintings,/,95
"Schulenburg, Marshal Johann Matthias",/,sponsored,Flemish paintings,/,95
"Schulenburg, Marshal Johann Matthias",/,sponsored,history paintings by Pittoni,/,96
"Schulenburg, Marshal Johann Matthias",/,sponsored,interest in contemporary Venetian sculpture,/,97
"Schulenburg, Marshal Johann Matthias",/,sponsored,Piazzetta genre paintings,/,98
"Schulenburg, Marshal Johann Matthias",/,created,portraits,/,99
"Schulenburg, Marshal Johann Matthias",/,sponsored,purchase of paintings,/,100
"Schulenburg, Marshal Johann Matthias",/,sponsored,purchase of sculpture from G. B. Rota,/,100
"Schulenburg, Marshal Johann Matthias",/,sponsored,records of principal battles,/,101
sending of pictures to estates in Germany,/,located_in,Germany,/,102
"Schulenburg, Marshal Johann Matthias",/,sponsored,sending of pictures to estates in Germany,/,102
"Schulenburg, Marshal Johann Matthias",/,sponsored,taste for naturalistic,/,103
"Schulenburg, Marshal Johann Matthias",/,sponsored,taste for genre painting,/,103
Scuola Grande dei Carmini,/,located_in,Venice,/,105
"Serra, Mgr Giacomo",/,collaborated_on,Rubens,/,110
"Shaftesbury, 3rd Earl of",/,collaborated_on,de Matteis,/,116
"Shaftesbury, 3rd Earl of",/,sponsored,instructions to artists,/,117
"Shaftesbury, 3rd Earl of",/,sponsored,on 'civilising' role of art,/,118
"Shaftesbury, 3rd Earl of",/,sponsored,retirement to Naples,/,119
"Shaftesbury, 3rd Earl of",/,sponsored,Second Characters,/,120
Sixtus V,/,refer_to,"Peretti, Felice",/,125
"Smith, Joseph",/,collaborated_on,Canaletto,/,131
"Smith, Joseph",/,collaborated_on,Rosalba Carriera,/,132
"Smith, Joseph",/,collaborated_on,McSwiny,/,133
"Smith, Joseph",/,collaborated_on,Marco Ricci,/,134
"Smith, Joseph",/,collaborated_on,neo-Palladianism,/,135
"Smith, Joseph",/,collaborated_on,Sebastiano Ricci,/,136
"Smith, Joseph",/,collaborated_on,Royal Collection,/,137
"Smith, Joseph",/,sponsored,artistic tastes,/,138
"Smith, Joseph",/,sponsored,attitude of English contemporaries,/,139
"Smith, Joseph",/,sponsored,Bibliotheca Smithiana,/,140
"Smith, Joseph",/,sponsored,"Bibliotheca Smithiana, pars altera",/,141
"Smith, Joseph",/,sponsored,Catalogus di Libri Raccolti dal fu Signor Giuseppe Smith,/,142
"Smith, Joseph",/,sponsored,commissioning of overdoors illustrating Palladian architecture,/,143
"Smith, Joseph",/,sponsored,comparison of collection with Marshal Schulenburg's,/,144
"Smith, Joseph",/,sponsored,contacts with British visitors to Venice,/,145
"Smith, Joseph",/,sponsored,contacts with Venetian society,/,146
"Smith, Joseph",/,sponsored,country house at Mogliano,/,147
"Smith, Joseph",/,sponsored,Dactylografia Smithiana,/,148
"Smith, Joseph",/,sponsored,early collecting of paintings,/,149
"Smith, Joseph",/,sponsored,"library, disposal of",/,150
"Smith, Joseph",/,sponsored,marriages,/,151
"Smith, Joseph",/,sponsored,medal cabinet,/,152
"Smith, Joseph",/,sponsored,move towards classicism in taste,/,153
"Smith, Joseph",/,sponsored,Palazzo Balbi,/,154
"Smith, Joseph",/,sponsored,publication of works of Jones,/,155
"Smith, Joseph",/,sponsored,publication of works of Palladio,/,155
"Smith, Joseph",/,sponsored,purchase of Castiglione,/,156
"Smith, Joseph",/,sponsored,purchase of Carracci drawings,/,156
"Smith, Joseph",/,sponsored,purchase of Dutch,/,157
"Smith, Joseph",/,sponsored,purchase of Flemish paintings from Pellegrini's widow,/,157
"Smith, Joseph",/,sponsored,purchase of Sagredo pictures,/,158
"Smith, Joseph",/,sponsored,purchases of gems,/,159
"Smith, Joseph",/,sponsored,purchases of cameos,/,159
"Smith, Joseph",/,sponsored,"resumption of Consulship, 1766",/,160
"Smith, Joseph",/,sponsored,sale of library,/,161
"Smith, Joseph",/,sponsored,sale of pictures to George III,/,161
"Smith, Joseph",/,sponsored,"sale of paintings to Elector of Saxony, 1741",/,162
"Smith, Joseph",/,sponsored,sale of remaining pictures,/,163
"Smith, Joseph",/,sponsored,sale of drawings,/,163
"Smith, Joseph",/,sponsored,sale of 1776,/,163
"Smith, Joseph",/,created,support for Pasquali's publishing firm,/,164
support for Pasquali's publishing firm,/,intended_for,Pasquali,/,164
"Smith, Joseph",/,sponsored,publication of controversial works,/,165
"Smith, Joseph",/,sponsored,will,/,166
Soderini family,/,located_in,Venice,/,168
"Sole, Giovan Gioseffo dal",/,sponsored,Andromache weeping before Aeneas,/,171
"Sole, Giovan Gioseffo dal",/,sponsored,Rape of the Sabines,/,172
"Sole, Giovan Gioseffo dal",/,sponsored,St Teresa wounded by Christ,/,173
"Solimena, Francesco",/,sponsored,Deborah,/,175
"Solimena, Francesco",/,sponsored,Barak,/,175
"Solimena, Francesco",/,sponsored,Dido welcoming Aeneas to the Royal Hunt,/,176
"Solimena, Francesco",/,sponsored,Jacob,/,177
"Solimena, Francesco",/,sponsored,Rebecca,/,177
"Solimena, Francesco",/,sponsored,Judith with the Head of Holofernes,/,178
"Solimena, Francesco",/,sponsored,Nativity,/,179
"Solimena, Francesco",/,sponsored,Presentation,/,180
"Solimena, Francesco",/,sponsored,Rebecca,/,181
"Solimena, Francesco",/,sponsored,Eliezer,/,181
"Solimena, Francesco",/,created,work for Raimondo Buonaccorsi,/,182
work for Raimondo Buonaccorsi,/,intended_for,Raimondo Buonaccorsi,/,182
"Spadaro, Micco",/,sponsored,Pool of Bethesda (with Codazzi),/,186
