Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
"Tacca, Pietro",/,sponsored,"documents relating to commissions from Paolo Giordano Orsini, Duke of Bracciano",/,2
"Tasso, Torquato",/,sponsored,Gerusalemme Liberata,/,9
"Temanza, Tommaso",/,sponsored,Zibaldone,/,11
"Tessin, Count Carl Gustav",/,collaborated_on,Tiepolo,/,17
"Tessin, Count Carl Gustav",/,collaborated_on,A. M. Zanetti the Elder,/,18
"Testa, Pietro",/,collaborated_on,Cassiano dal Pozzo,/,21
"Testa, Pietro",/,collaborated_on,Niccolò Simonelli,/,22
"Testa, Pietro",/,sponsored,Trattato di Pittura,/,23
church in Munich,/,located_in,Munich,/,27
Theatines,/,sponsored,church in Munich,/,27
in Paris,/,located_in,Paris,/,28
Theatines,/,sponsored,in Paris,/,28
in Rome,/,located_in,Rome,/,29
Theatines,/,sponsored,in Rome,/,29
"Théodon, Jean Baptiste",/,sponsored,Faith crushing Idolatry,/,31
"Tiepolo, Giambattista",/,created,admiration for Castiglione,/,34
admiration for Castiglione,/,intended_for,Castiglione,/,34
"Tiepolo, Giambattista",/,created,altarpieces for royal chapel at Aranjuez,/,35
"Tiepolo, Giambattista",/,collaborated_on,F. Algarotti,/,36
"Tiepolo, Giambattista",/,collaborated_on,F. Algarotti,/,37
"Tiepolo, Giambattista",/,sponsored,mutual influence,/,37
"Tiepolo, Giambattista",/,collaborated_on,F. Algarotti,/,38
"Tiepolo, Giambattista",/,sponsored,unfinished portrait of Algarotti,/,38
"Tiepolo, Giambattista",/,collaborated_on,Scuola del Carmine,/,39
"Tiepolo, Giambattista",/,sponsored,Apotheosis of Pisani,/,40
"Tiepolo, Giambattista",/,sponsored,Banquet of Cleopatra,/,41
"Tiepolo, Giambattista",/,sponsored,Banquet of Cleopatra,/,42
"Tiepolo, Giambattista",/,created,modello,/,42
"Tiepolo, Giambattista",/,sponsored,Banquet of Cleopatra,/,43
"Tiepolo, Giambattista",/,sponsored,F. Algarotti and,/,43
"Tiepolo, Giambattista",/,sponsored,Bath of Diana,/,44
belief in Venetian ancien régime,/,located_in,Venetian ancien r,/,45
"Tiepolo, Giambattista",/,sponsored,belief in Venetian ancien régime,/,45
"Tiepolo, Giambattista",/,sponsored,Brutus killing Arruns,/,46
"Tiepolo, Giambattista",/,sponsored,Continence of Scipio,/,47
