Subject,Subject QID,Predicate,Object,Object QID,Source_Raw
Urban VIII,/,refer_to,"Barberini, Maffeo",/,5
"Urbino, devolution to Papacy",/,created,pictures taken over by Papacy,/,7
Valentin de Boulogne,/,sponsored,Allegory of Rome,/,15
"Valeriani, Domenico",/,created,Monuments to (McSwiny's British Worthies),/,17
"Valeriani, Giuseppe",/,created,Monuments to (McSwiny's British Worthies),/,17
"Valeriani, Domenico",/,created,Monuments to (McSwiny's British Worthies),/,18
"Valeriani, Giuseppe",/,created,Monuments to (McSwiny's British Worthies),/,18
"Valeriani, Domenico",/,sponsored,Isaac Newton,/,18
"Valeriani, Giuseppe",/,sponsored,Isaac Newton,/,18
"Valeriani, Domenico",/,created,Monuments to (McSwiny's British Worthies),/,19
"Valeriani, Giuseppe",/,created,Monuments to (McSwiny's British Worthies),/,19
"Valeriani, Domenico",/,sponsored,William III,/,19
"Valeriani, Giuseppe",/,sponsored,William III,/,19
"Vandières, Marquis de",/,is,later Marquis de Marigny,/,29
"Vannini, Ottavio",/,sponsored,Fall of Manna,/,32
"frescoes in S. Gaetano, Florence",/,located_in,"S. Gaetano, Florence",/,33
"Vannini, Ottavio",/,created,"frescoes in S. Gaetano, Florence",/,33
"Vannini, Ottavio",/,sponsored,Moses striking the Rock,/,34
"Vannini, Ottavio",/,sponsored,Sacrifice of Isaac,/,35
"Vannini, Ottavio",/,sponsored,Susanna and the Elders,/,36
"Varotari, Alessandro",/,is,'il Padovanino',/,38
Vatican palace,/,located_in,Rome,/,41
Vatican palace,/,located_in,Rome,/,42
Vatican palace,/,sponsored,Scala Regia,/,42
Velasquez,/,sponsored,attempts to bring Italian painters to Spain,/,47
Velasquez,/,sponsored,membership of Congregazione dei Virtuosi,/,48
Velasquez,/,sponsored,membership of Accademia di San Luca,/,48
Velasquez,/,created,portrait of Camillo Massimi,/,49
Velasquez,/,created,portrait of Donna Olimpia Maidalchini,/,50
Velasquez,/,created,portrait of his servant Juan de Pareja,/,51
Velasquez,/,created,portrait of Pope Innocent X,/,52
Velasquez,/,sponsored,Toilet of Venus ('Rokeby Venus'),/,53
"Venezia, Padre Antonio da",/,sponsored,La Chiesa di Gesù Cristo vendicata,/,55
Venice,/,sponsored,art patronage by aristocracy,/,57
Venice,/,sponsored,art patronage by aristocracy,/,58
Venice,/,sponsored,apotheoses,/,58
Venice,/,sponsored,art patronage by aristocracy,/,59
Venice,/,sponsored,love of display,/,59
Venice,/,sponsored,censorship in,/,60
Venice,/,sponsored,"clergy, power of",/,61
Venice,/,sponsored,cosmopolitan aspect,/,62
Venice,/,sponsored,criticism of constitution in 18th century,/,63
Venice,/,sponsored,decline in art patronage in 18th century,/,64
decline in State patronage of arts,/,located_in,State patronage of arts,/,65
Venice,/,sponsored,decline in State patronage of arts,/,65
Venice,/,sponsored,decorative function of pictures,/,66
Venice,/,sponsored,desire to maintain status quo,/,67
Venice,/,sponsored,foreign patrons of Venetian artists,/,68
Venice,/,sponsored,government attempt to keep isolated,/,69
Venice,/,sponsored,government insistence on religious orthodoxy,/,70
Venice,/,sponsored,identification of aristocracy with state,/,71
Venice,/,sponsored,influence of aristocratic principles on religious art,/,72
Venice,/,sponsored,lack of autonomous bourgeois culture,/,73
Venice,/,created,lack of frivolity in paintings for Venetian nobility,/,74
lack of frivolity in paintings for Venetian nobility,/,intended_for,Venetian nobility,/,74
Venice,/,sponsored,maintenance of old customs,/,75
Venice,/,sponsored,new aristocracy,/,76
Venice,/,sponsored,new aristocracy,/,77
Venice,/,sponsored,patronage by,/,77
Venice,/,sponsored,new aristocracy,/,78
Venice,/,sponsored,demand for old masters,/,78
Venice,/,sponsored,opposition to Enlightenment,/,79
Venice,/,created,picture prices in 18th century,/,80
Venice,/,sponsored,prolongation of Counter Reformation,/,81
Venice,/,sponsored,recording of past achievements for older aristocracy,/,82
Venice,/,sponsored,Roman themes in art,/,83
