Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason,Formal_Full_Name,Normalization_Category
Index,Unmatched (Index),"'Artistic temperament', development of concept",E28 Conceptual Object,,,,A,Unmatched Index Entry,Development of concept Artistic temperament',Work
Index,Unmatched (Index),'Baciccio',E21 Person,,,,B,Unmatched Index Entry,Giovanni Battista Gaulli,Person
Index,Unmatched (Index),'Monsù Desiderio',E21 Person,,,,M,Unmatched Index Entry,François de Nomé,Person
Index,Unmatched (Index),'Rosichino',E21 Person,,,,Q-R,Unmatched Index Entry,'Rosichino',Person
Index,Unmatched (Index),'Status-seeking' by artists in 17th-century Rome,E28 Conceptual Object,,,,S,Unmatched Index Entry,Status-seeking' by artists in 17th-century Rome,Work
Index,Unmatched (Index),Accademia degli Umoristi,E74 Group,,,,A,Unmatched Index Entry,Accademia degli Umoristi,Place
Index,Unmatched (Index),Accademia dei Lincei,E74 Group,,,,A,Unmatched Index Entry,Accademia dei Lincei,Place
Index,Unmatched (Index),Accademia del Disegno,E74 Group,,,,A,Unmatched Index Entry,Accademia del Disegno,Place
Index,Unmatched (Index),Accademia di Pittura e Scultura,E74 Group,,,,A,Unmatched Index Entry,Accademia di Pittura e Scultura,Place
Index,Unmatched (Index),"Acqua, Cristoforo dall'",E21 Person,,,,A,Unmatched Index Entry,Cristoforo dall' Acqua,Person
Index,Unmatched (Index),"Adda, Cardinal d'",E21 Person,,,,A,Unmatched Index Entry,D' Adda,Person
Index,Unmatched (Index),"Aix-la-Chapelle, Peace of",E5 Event,,,,A,Unmatched Index Entry,"Aix-la-Chapelle, Peace of",Work
Index,Unmatched (Index),"Albani, Cardinal Annibale",E21 Person,,,,A,Unmatched Index Entry,Annibale Albani,Person
Index,Unmatched (Index),"Albani, Francesco",E53 Place,,,,A,Unmatched Index Entry,"Albani, Francesco",Place
Index,Unmatched (Index),"Albani, Gianfrancesco (Pope Clement XI)",E21 Person,,,,A,Unmatched Index Entry,Gianfrancesco Albani,Person
Index,Unmatched (Index),"Albergati-Capacelli, Francesco",E53 Place,,,,A,Unmatched Index Entry,"Albergati-Capacelli, Francesco",Place
Index,Unmatched (Index),"Albrizzi, Almor¨°",E21 Person,,,,A,Unmatched Index Entry,Almor¨° Albrizzi,Person
Index,Unmatched (Index),"Albrizzi, Giambattista",E21 Person,,,,A,Unmatched Index Entry,Giambattista Albrizzi,Person
Index,Unmatched (Index),"Aldobrandini, Cardinal Pietro (nephew of Pope Clement VIII)",E21 Person,,,,A,Unmatched Index Entry,Pietro Aldobrandini,Person
Index,Unmatched (Index),"Aldobrandini, Ippolito (Pope Clement VIII)",E21 Person,,,,A,Unmatched Index Entry,Ippolito Aldobrandini,Person
Index,Unmatched (Index),"Algarotti, Bonomo",E21 Person,,,,A,Unmatched Index Entry,Bonomo Algarotti,Person
Index,Unmatched (Index),Alticchiero (Querini villa),E22 Man-Made Object,,,,A,Unmatched Index Entry,Villa Alticchiero,Place (Reclassified)
Index,Unmatched (Index),Altieri palace,E22 Man-Made Object,,,,A,Unmatched Index Entry,Palazzo Altieri,Place (Reclassified)
Index,Unmatched (Index),"Altieri, Don Gasparo",E21 Person,,,,A,Unmatched Index Entry,Gasparo Altieri,Person
Index,Unmatched (Index),"Altieri, Emilio (Pope Clement X)",E21 Person,,,,A,Unmatched Index Entry,Emilio Altieri,Person
Index,Unmatched (Index),"Amelot de la Houssaye, A. N.",E21 Person,,,,A,Unmatched Index Entry,A. N. Amelot de la Houssaye,Person
Index,Unmatched (Index),"Angeli, Filippo d' (Napoletano)",E21 Person,,,,A,Unmatched Index Entry,Filippo d' Angeli,Person
Index,Unmatched (Index),"Anne of Austria, Regent of France",E53 Place,,,,A,Unmatched Index Entry,"Anne of Austria, Regent of France",Place
Index,Unmatched (Index),"Anne, Queen of England",E21 Person,,,,A,Unmatched Index Entry,Of England Anne,Person
Index,Unmatched (Index),Anti-papal satire in reign of Alexander VII,E28 Conceptual Object,,,,A,Unmatched Index Entry,Anti-papal satire in reign of Alexander VII,Work
Index,Unmatched (Index),"Antonazzi, Antonio Maria",E21 Person,,,,A,Unmatched Index Entry,Antonio Maria Antonazzi,Person
Index,Unmatched (Index),"Aquaviva, Claudio",E21 Person,,,,A,Unmatched Index Entry,Claudio Aquaviva,Person
Index,Unmatched (Index),"Arcadia, Society of",E74 Group,,,,A,Unmatched Index Entry,"Arcadia, Society of",Place
Index,Unmatched (Index),"Arconato, Galeazzo",E21 Person,,,,A,Unmatched Index Entry,Galeazzo Arconato,Person
Index,Unmatched (Index),Ariosto,E21 Person,,,,A,Unmatched Index Entry,Ariosto,Person
Index,Unmatched (Index),"Arlington, Lord",E21 Person,,,,A,Unmatched Index Entry,Arlington,Person
Index,Unmatched (Index),"Armanni, G. A.",E21 Person,,,,A,Unmatched Index Entry,G. A. Armanni,Person
Index,Unmatched (Index),"Arpino, Cavaliere d'",E21 Person,,,,A,Unmatched Index Entry,D' Arpino,Person
Index,Unmatched (Index),"Arrighi-Landini, Orazio",E21 Person,,,,A,Unmatched Index Entry,Orazio Arrighi-Landini,Person
Index,Unmatched (Index),Arrighini,E21 Person,,,,A,Unmatched Index Entry,Arrighini,Person
Index,Unmatched (Index),Art dealers,E74 Group,,,,A,Unmatched Index Entry,Art dealers,Place
Index,Unmatched (Index),Art exhibitions,E5 Event,,,,A,Unmatched Index Entry,Art exhibitions,Work
