Source_Side,Status,Index_Entry,CIDOC_Type,Manual_Name,Manual_QID,Match_Type,File_Code,Extraction_Reason
Manual,Unmatched (Manual),,,,A308,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,,A315,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,,A331,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,,A8,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,A.M. Zanetti the Elder with Marchese Gerini,A2,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Abigail giving Presents to David,A3,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Academy at Parma,G35,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Accademia dei Cacadubbi,G33,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Accbremia Albrizziana,G94,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Achille Bosisio,R1,,name-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Addison,A4,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Adoration of the Magi,A5,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Aedes Barberina ad Quirinalem,A7,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Aeneid,A416,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Albergo del Moretto,G8,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Alberto Vecchi,R2,,name-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Alessandro Vasalli,R3,,name-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Alessandro Zen,R4,,name-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Alfredo Bardella,R5,,name-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Alice Binion,R6,,name-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Allegory of Clemency,A9,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Allegory of Coral fishing,A10,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Allegory of Rome,A11,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Allegory of Venice,A14,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Allegory of the Arts,A12,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Allegory of the Education of the Crown Prince of the Palatinate,A13,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Altar Paintings for the Parish Church of San Canciano,A18,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Altar of Friendship,A15,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Altar of Friendship,G22,,gio-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Altar of Tranquility and Rural Life,A16,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Altar of Wealth and Apollo,A17,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Altarpiece for Chiesa Nuova,A19,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Altarpiece for Santa Maria dei Cappuccini,A20,,work-English_table.csv,Unmatched & Non-Q ID
Manual,Unmatched (Manual),,,Altarpiece for St. Sebastian,A21,,work-English_table.csv,Unmatched & Non-Q ID
